Attendance,AwayCode,AwayScore,AwayTeam,City,Date,Description,HomeCode,HomeScore,HomeTeam,MatchReport,Penalty
4444,MEX,1,Mexico,Montevideo,13 July 1930,Group matches - Group 1,FRA,4,France,https://www.fifa.com/worldcup/matches/round=201/match=1096/index.html#nosticky,
18346,BEL,0,Belgium,Montevideo,13 July 1930,Group matches - Group 4,USA,3,USA,https://www.fifa.com/worldcup/matches/round=201/match=1090/index.html#nosticky,
24059,BRA,1,Brazil,Montevideo,14 July 1930,Group matches - Group 2,YUG,2,Yugoslavia,https://www.fifa.com/worldcup/matches/round=201/match=1093/index.html#nosticky,
2549,PER,1,Peru,Montevideo,14 July 1930,Group matches - Group 3,ROU,3,Romania,https://www.fifa.com/worldcup/matches/round=201/match=1098/index.html#nosticky,
23409,FRA,0,France,Montevideo,15 July 1930,Group matches - Group 1,ARG,1,Argentina,https://www.fifa.com/worldcup/matches/round=201/match=1085/index.html#nosticky,
9249,MEX,0,Mexico,Montevideo,16 July 1930,Group matches - Group 1,CHI,3,Chile,https://www.fifa.com/worldcup/matches/round=201/match=1095/index.html#nosticky,
18306,BOL,0,Bolivia,Montevideo,17 July 1930,Group matches - Group 2,YUG,4,Yugoslavia,https://www.fifa.com/worldcup/matches/round=201/match=1092/index.html#nosticky,
18306,PAR,0,Paraguay,Montevideo,17 July 1930,Group matches - Group 4,USA,3,USA,https://www.fifa.com/worldcup/matches/round=201/match=1097/index.html#nosticky,
57735,PER,0,Peru,Montevideo,18 July 1930,Group matches - Group 3,URU,1,Uruguay,https://www.fifa.com/worldcup/matches/round=201/match=1099/index.html#nosticky,
2000,FRA,0,France,Montevideo,19 July 1930,Group matches - Group 1,CHI,1,Chile,https://www.fifa.com/worldcup/matches/round=201/match=1094/index.html#nosticky,
42100,MEX,3,Mexico,Montevideo,19 July 1930,Group matches - Group 1,ARG,6,Argentina,https://www.fifa.com/worldcup/matches/round=201/match=1086/index.html#nosticky,
25466,BOL,0,Bolivia,Montevideo,20 July 1930,Group matches - Group 2,BRA,4,Brazil,https://www.fifa.com/worldcup/matches/round=201/match=1091/index.html#nosticky,
12000,BEL,0,Belgium,Montevideo,20 July 1930,Group matches - Group 4,PAR,1,Paraguay,https://www.fifa.com/worldcup/matches/round=201/match=1089/index.html#nosticky,
70022,ROU,0,Romania,Montevideo,21 July 1930,Group matches - Group 3,URU,4,Uruguay,https://www.fifa.com/worldcup/matches/round=201/match=1100/index.html#nosticky,
41459,CHI,1,Chile,Montevideo,22 July 1930,Group matches - Group 1,ARG,3,Argentina,https://www.fifa.com/worldcup/matches/round=201/match=1084/index.html#nosticky,
72886,USA,1,USA,Montevideo,26 July 1930,Semi-finals,ARG,6,Argentina,https://www.fifa.com/worldcup/matches/round=202/match=1088/index.html#nosticky,
79867,YUG,1,Yugoslavia,Montevideo,27 July 1930,Semi-finals,URU,6,Uruguay,https://www.fifa.com/worldcup/matches/round=202/match=1101/index.html#nosticky,
68346,ARG,2,Argentina,Montevideo,30 July 1930,Final,URU,4,Uruguay,https://www.fifa.com/worldcup/matches/round=405/match=1087/index.html#nosticky,
