CountryCode,Goals,MatchesPlayed,MinutesPlayed,Player
ARG,8,4,360,Guillermo STABILE
URU,5,4,360,Pedro CEA
USA,4,3,270,Bert PATENAUDE
URU,3,2,180,Juan ANSELMO
BRA,3,2,180,PREGUINHO
YUG,3,3,270,Ivica BEK
ARG,3,4,360,Carlos PEUCELLE
ARG,2,1,90,Adolfo ZUMELZU
BRA,2,1,90,MODERATO
URU,2,2,180,Hector CASTRO
FRA,2,2,180,Andre MASCHINOT
MEX,2,3,270,Manuel ROSAS
URU,2,3,270,Pablo DORADO
YUG,2,3,270,Djordje VUJADINOVIC
CHI,2,3,270,Guillermo SUBIABRE
CHI,2,3,270,Carlos VIDAL
ARG,2,4,360,Luis MONTI
URU,2,4,360,Victoriano IRIARTE
ARG,1,1,90,Alejandro SCOPELLI
ROU,1,1,90,Constantin STANCIU
PER,1,2,180,Luis SOUZA
PAR,1,2,180,Luis VARGAS PENA
ROU,1,2,180,Nicolae KOVACS
MEX,1,2,180,Roberto GAYON
ROU,1,2,180,Adalbert DESU
FRA,1,2,180,Lucien LAURENT
USA,1,3,270,Jim BROWN
MEX,1,3,270,Juan CARRENO
USA,1,3,270,Tom FLORIE
FRA,1,3,270,Marcel LANGILLER
YUG,1,3,270,Blagoje MARJANOVIC
USA,1,3,270,Bart McGHEE
URU,1,3,270,Hector SCARONE
YUG,1,3,270,Aleksandar TIRNANIC
ARG,1,4,360,Mario EVARISTO
ARG,1,4,360,Francisco VARALLO
