Age,Country,CountryCode,Player,Position
19 March 1909  ,Argentina,ARG,Atilio DEMARIA,Forward
5 February 1910  ,Argentina,ARG,Francisco VARALLO,Forward
5 May 1905  ,Argentina,ARG,Angel BOSSIO,Goalkeeper
23 October 1908  ,Argentina,ARG,Juan BOTASSO,Goalkeeper
23 February 1907  ,Argentina,ARG,Alberto CHIVIDINI,Defender
23 March 1906  ,Argentina,ARG,Jose DELLA TORRE,Defender
20 June 1902  ,Argentina,ARG,Juan EVARISTO,Midfielder
10 December 1908  ,Argentina,ARG,Mario EVARISTO,Forward
22 October 1905  ,Argentina,ARG,Manuel FERREIRA,Forward
23 February 1907  ,Argentina,ARG,Roberto CERRO,Forward
12 March 1899  ,Argentina,ARG,Ramon MUTTIS,Defender
1 January 1905  ,Argentina,ARG,Rodolfo ORLANDINI,Defender
24 May 1903  ,Argentina,ARG,Fernando PATERNOSTER,Defender
28 December 1900  ,Argentina,ARG,Natalio PERINETTI,Forward
12 May 1908  ,Argentina,ARG,Alejandro SCOPELLI,Forward
5 February 1902  ,Argentina,ARG,Carlos SPADARO,Forward
21 December 1909  ,Argentina,ARG,Pedro SUAREZ,Midfielder
5 January 1902  ,Argentina,ARG,Adolfo ZUMELZU,Defender
17 January 1906  ,Argentina,ARG,Guillermo STABILE,Forward
3 October 1910  ,Argentina,ARG,Edmundo PIAGGIO,Midfielder
15 May 1901  ,Argentina,ARG,Luis MONTI,Midfielder
13 September 1908  ,Argentina,ARG,Carlos PEUCELLE,Forward
10 July 1885  ,Argentina,ARG,OLAZAR Francisco,Coach
21 October 1902  ,Argentina,ARG,TRAMUTOLA Juan,Coach
3 May 1903  ,Belgium,BEL,Fernand ADAMS,Forward
25 June 1909  ,Belgium,BEL,Arnold BADJOU,Goalkeeper
17 May 1905  ,Belgium,BEL,Jean DE CLERQ,Midfielder
3 August 1907  ,Belgium,BEL,Henri DE DEKEN,Defender
1 September 1903  ,Belgium,BEL,Gerard DELBEKE,Forward
14 September 1906  ,Belgium,BEL,Jan DIDDENS,Midfielder
14 September 1907  ,Belgium,BEL,Auguste HELLEMANS,Midfielder
29 December 1900  ,Belgium,BEL,Nikolaas HOYDONCKX,Defender
6 September 1900  ,Belgium,BEL,Jacques MOESCHAL,Forward
17 February 1908  ,Belgium,BEL,Theodore NOUWENS,Defender
20 February 1911  ,Belgium,BEL,Andre SAEYS,Forward
5 December 1908  ,Belgium,BEL,Louis VERSYP,Forward
11 May 1910  ,Belgium,BEL,Bernard VOORHOOF,Forward
26 October 1900  ,Belgium,BEL,Pierre BRAINE,Midfielder
16 March 1901  ,Belgium,BEL,Alexis CHANTRAINE,Midfielder
18 May 1892  ,Belgium,BEL,Jean DE BIE,Goalkeeper
5 March 1886  ,Belgium,BEL,GOETINCK Hector,Coach
19 September 1910  ,Bolivia,BOL,Mario ALBORTA,Forward
1 January 1906  ,Bolivia,BOL,Jorge ARGOTE,Midfielder
1 January 1902  ,Bolivia,BOL,Jesus BERMUDEZ,Goalkeeper
1 January 1907  ,Bolivia,BOL,Jose BUSTAMANTE,Forward
3 August 1901  ,Bolivia,BOL,Casiano CHAVARRIA,Defender
17 March 1907  ,Bolivia,BOL,Segundo DURANDAL,Defender
1 January 1906  ,Bolivia,BOL,Rene FERNANDEZ,Forward
1 January 1907  ,Bolivia,BOL,Gumercindo GOMEZ,Forward
6 April 1903  ,Bolivia,BOL,Diogenes LARA,Midfielder
1 January 1904  ,Bolivia,BOL,Rafael MENDEZ,Forward
1 January 1907  ,Bolivia,BOL,Eduardo REYES ORTIZ,Forward
14 December 1899  ,Bolivia,BOL,Renato SAINZ,Midfielder
12 December 1906  ,Bolivia,BOL,Jorge BALDERRAMA,Midfielder
1 January 1900  ,Bolivia,BOL,Miguel BRITO,Midfielder
1 January 1900  ,Bolivia,BOL,Jose NOYA,Forward
1 January 1900  ,Bolivia,BOL,Miguel MURILLO,Goalkeeper
1 January 1900  ,Bolivia,BOL,Luis REYES PENARANDA,Defender
3 March 1896  ,Bolivia,BOL,SAUCEDO Ulises,Coach
17 January 1907  ,Brazil,BRA,OSCARINO,Midfielder
4 November 1908  ,Brazil,BRA,HERMOGENES,Midfielder
22 May 1907  ,Brazil,BRA,ITALIA,Defender
1 March 1906  ,Brazil,BRA,FERNANDO GIUDICELLI,Midfielder
25 June 1912  ,Brazil,BRA,CARVALHO LEITE,Forward
