Attendance,AwayCode,AwayScore,AwayTeam,City,Date,Description,HomeCode,HomeScore,HomeTeam,MatchReport,Penalty
16000,FRA,2,France,Turin,27 May 1934,Preliminary round,AUT,3,Austria,https://www.fifa.com/worldcup/matches/round=204/match=1104/index.html#nosticky,
9000,EGY,2,Egypt,Naples,27 May 1934,Preliminary round,HUN,4,Hungary,https://www.fifa.com/worldcup/matches/round=204/match=1119/index.html#nosticky,
33000,NED,2,Netherlands,Milan,27 May 1934,Preliminary round,SUI,3,Switzerland,https://www.fifa.com/worldcup/matches/round=204/match=1133/index.html#nosticky,
14000,ARG,2,Argentina,Bologna,27 May 1934,Preliminary round,SWE,3,Sweden,https://www.fifa.com/worldcup/matches/round=204/match=1102/index.html#nosticky,
8000,BEL,2,Belgium,Florence,27 May 1934,Preliminary round,GER,5,Germany,https://www.fifa.com/worldcup/matches/round=204/match=1108/index.html#nosticky,
21000,BRA,1,Brazil,Genoa,27 May 1934,Preliminary round,ESP,3,Spain,https://www.fifa.com/worldcup/matches/round=204/match=1111/index.html#nosticky,
25000,USA,1,USA,Rome,27 May 1934,Preliminary round,ITA,7,Italy,https://www.fifa.com/worldcup/matches/round=204/match=1135/index.html#nosticky,
9000,ROU,1,Romania,Trieste,27 May 1934,Preliminary round,TCH,2,Czechoslovakia,https://www.fifa.com/worldcup/matches/round=204/match=1141/index.html#nosticky,
12000,SUI,2,Switzerland,Turin,31 May 1934,Quarter-finals,TCH,3,Czechoslovakia,https://www.fifa.com/worldcup/matches/round=418/match=1143/index.html#nosticky,
3000,SWE,1,Sweden,Milan,31 May 1934,Quarter-finals,GER,2,Germany,https://www.fifa.com/worldcup/matches/round=418/match=1129/index.html#nosticky,
35000,ESP,1,Spain,Florence,31 May 1934,Quarter-finals,ITA,1,Italy,https://www.fifa.com/worldcup/matches/round=418/match=1122/index.html#nosticky,
23000,HUN,1,Hungary,Bologna,31 May 1934,Quarter-finals,AUT,2,Austria,https://www.fifa.com/worldcup/matches/round=418/match=1106/index.html#nosticky,
43000,ESP,0,Spain,Florence,01 June 1934,Quarter-finals,ITA,1,Italy,https://www.fifa.com/worldcup/matches/round=418/match=1123/index.html#nosticky,
35000,AUT,0,Austria,Milan,03 June 1934,Semi-finals,ITA,1,Italy,https://www.fifa.com/worldcup/matches/round=3492/match=1107/index.html#nosticky,
15000,GER,1,Germany,Rome,03 June 1934,Semi-finals,TCH,3,Czechoslovakia,https://www.fifa.com/worldcup/matches/round=3492/match=1130/index.html#nosticky,
7000,AUT,2,Austria,Naples,07 June 1934,Match for third place,GER,3,Germany,https://www.fifa.com/worldcup/matches/round=3491/match=1105/index.html#nosticky,
55000,TCH,1,Czechoslovakia,Rome,10 June 1934,Final,ITA,2,Italy,https://www.fifa.com/worldcup/matches/round=3490/match=1134/index.html#nosticky,
