CountryCode,Goals,MatchesPlayed,MinutesPlayed,Player
TCH,5,4,390,Oldrich NEJEDLY
GER,4,4,360,Edmund CONEN
ITA,4,4,420,Angelo SCHIAVIO
SUI,3,2,180,Leopold KIELHOLZ
ITA,3,5,510,Raimundo ORSI
BEL,2,1,90,Bernard VOORHOOF
EGY,2,1,90,Abdel Rahman FAWZI
GER,2,2,180,Karl HOHMANN
AUT,2,2,180,Johann HORVATH
SWE,2,2,180,Sven JONASSON
HUN,2,2,180,Geza TOLDI
ESP,2,2,210,IRARAGORRI
GER,2,4,360,Ernest LEHNER
TCH,2,4,390,Antonin PUC
ITA,2,4,420,Giovanni FERRARI
ITA,2,5,510,Giuseppe MEAZZA
BRA,1,1,90,LEONIDAS
NED,1,1,90,Leen VENTE
HUN,1,1,90,Jeno VINCZE
SUI,1,1,90,Willy JAEGGI
HUN,1,1,90,Pal TELEKI
NED,1,1,90,Kick SMIT
GER,1,1,90,Rudolf NOACK
ARG,1,1,90,Alberto GALATEO
ROU,1,1,90,Stefan DOBAY
USA,1,1,90,Aldo DONELLI
HUN,1,1,90,Gyorgy SAROSI
ARG,1,1,90,Ernesto BELIS
FRA,1,1,120,Jean NICOLAS
FRA,1,1,120,Georges VERRIEST
SUI,1,2,180,Andre ABEGGLEN
SWE,1,2,180,Knut KROON
SWE,1,2,180,Gosta DUNKER
AUT,1,2,210,Toni SCHALL
ESP,1,2,210,Isidro LANGARA
ESP,1,2,210,LUIS REGUEIRO
GER,1,3,270,Stanislaus KOBIERSKI
TCH,1,3,300,Frantisek SVOBODA
AUT,1,3,300,Matthias SINDELAR
GER,1,4,360,Otto SIFFLING
TCH,1,4,390,Jiri SOBOTKA
AUT,1,4,390,Karl SESTA
AUT,1,4,390,Karl ZISCHEK
AUT,1,4,390,Josef BICAN
ITA,1,4,420,Enrique GUAITA
