Age,Country,CountryCode,Player,Position
1 February 1909  ,Argentina,ARG,Ernesto BELIS,Defender
24 January 1911  ,Argentina,ARG,Alfredo DE VINCENZI,Forward
22 May 1911  ,Argentina,ARG,Hector FRESCHI,Goalkeeper
1 January 1913  ,Argentina,ARG,Alberto GALATEO,Forward
21 March 1915  ,Argentina,ARG,Roberto IRANETA,Forward
15 September 1910  ,Argentina,ARG,Arcadio LOPEZ,Midfielder
1 January 1911  ,Argentina,ARG,Jose NEHIN,Midfielder
6 June 1909  ,Argentina,ARG,Juan PEDEVILLA,Defender
4 February 1911  ,Argentina,ARG,Francisco RUA,Forward
12 August 1907  ,Argentina,ARG,Costantino URBIETA SOSA,Midfielder
1 January 1909  ,Argentina,ARG,Federico WILDE,Forward
1 January 1900  ,Argentina,ARG,Angel GRIPPA,Goalkeeper
1 January 1900  ,Argentina,ARG,Enrique CHIMENTO,Defender
1 January 1900  ,Argentina,ARG,Ernesto ALBARRACIN,Midfielder
1 January 1900  ,Argentina,ARG,Luca IZZETA,Forward
1 January 1900  ,Argentina,ARG,Alfonso LORENZO,Midfielder
1 January 1900  ,Argentina,ARG,Vincente PEREZ,Forward
1 January 1900  ,Argentina,ARG,Ramon ASTUDILLO,Defender
1 January 1887  ,Argentina,ARG,PASCUCCI Felipe,Coach
22 June 1907  ,Austria,AUT,Toni SCHALL,Forward
18 March 1906  ,Austria,AUT,Karl SESTA,Defender
10 February 1903  ,Austria,AUT,Matthias SINDELAR,Forward
22 February 1907  ,Austria,AUT,Georg BRAUN,Forward
28 November 1908  ,Austria,AUT,Franz CISAR,Defender
31 October 1905  ,Austria,AUT,Leopold HOFMANN,Midfielder
20 May 1903  ,Austria,AUT,Johann HORVATH,Forward
7 February 1911  ,Austria,AUT,Rudolf RAFTL,Goalkeeper
28 November 1905  ,Austria,AUT,Josef SMISTIK,Midfielder
5 March 1913  ,Austria,AUT,Josef STROH,Forward
10 October 1910  ,Austria,AUT,Hans URBANEK,Midfielder
12 November 1902  ,Austria,AUT,Rudi VIERTL,Forward
23 September 1911  ,Austria,AUT,Franz WAGNER,Midfielder
23 March 1906  ,Austria,AUT,Johann WALZHOFER,Forward
28 August 1910  ,Austria,AUT,Karl ZISCHEK,Forward
6 March 1905  ,Austria,AUT,Friederich FRANZL,Goalkeeper
16 June 1911  ,Austria,AUT,Willi SCHMAUS,Defender
1 May 1904  ,Austria,AUT,Anton JANDA,Defender
9 February 1911  ,Austria,AUT,Mathias KABUREK,Forward
21 May 1910  ,Austria,AUT,Josef HASSMANN,Forward
25 September 1913  ,Austria,AUT,Josef BICAN,Forward
29 May 1910  ,Austria,AUT,Peter PLATZER,Goalkeeper
16 November 1881  ,Austria,AUT,MEISL Hugo,Coach
25 June 1909  ,Belgium,BEL,Arnold BADJOU,Goalkeeper
13 December 1908  ,Belgium,BEL,Desire BOURGEOIS,Midfielder
29 July 1911  ,Belgium,BEL,Jean BRICHAUT,Forward
26 October 1913  ,Belgium,BEL,Jean CAPELLE,Forward
18 June 1908  ,Belgium,BEL,Jean CLAESSENS,Midfielder
21 August 1913  ,Belgium,BEL,Francois DE VRIES,Forward
14 December 1902  ,Belgium,BEL,Laurent GRIMMONPREZ,Forward
14 September 1907  ,Belgium,BEL,Auguste HELLEMANS,Midfielder
3 March 1908  ,Belgium,BEL,Costant JOACIM,Defender
8 November 1907  ,Belgium,BEL,Rene LEDENT,Forward
5 November 1905  ,Belgium,BEL,Jules PAPPAERT,Defender
15 February 1913  ,Belgium,BEL,Frans PEERAER,Midfielder
17 January 1911  ,Belgium,BEL,Philibert SMELLINCKX,Defender
21 June 1909  ,Belgium,BEL,Andre VAN DE WEYER,Goalkeeper
23 January 1919  ,Belgium,BEL,Jos VAN INGELGEM,Midfielder
5 December 1908  ,Belgium,BEL,Louis VERSYP,Forward
11 May 1910  ,Belgium,BEL,Bernard VOORHOOF,Forward
12 December 1908  ,Belgium,BEL,Felix WELKENHUYSEN,Midfielder
13 April 1906  ,Belgium,BEL,Albert HEREMANS,Forward
27 June 1906  ,Belgium,BEL,Charles SIMONS,Midfielder
29 May 1914  ,Belgium,BEL,Georges PUTMANS,Midfielder
18 March 1911  ,Belgium,BEL,Robert LAMOOT,Forward
5 March 1886  ,Belgium,BEL,GOETINCK Hector,Coach
12 March 1907  ,Brazil,BRA,CANALLI,Midfielder
17 May 1913  ,Brazil,BRA,WALDEMAR DE BRITTO,Forward
25 June 1912  ,Brazil,BRA,CARVALHO LEITE,unspecified
29 November 1909  ,Brazil,BRA,LUIZ LUZ,Defender
8 July 1913  ,Brazil,BRA,PEDROSA,Goalkeeper
2 December 1904  ,Brazil,BRA,TINOCO,Midfielder
12 November 1910  ,Brazil,BRA,PATESKO,Forward
11 May 1905  ,Brazil,BRA,SYLVIO HOFFMANN,Defender
2 March 1911  ,Brazil,BRA,MARTIM,Midfielder
6 March 1911  ,Brazil,BRA,ARMANDINHO,Forward
6 September 1913  ,Brazil,BRA,LEONIDAS,Forward
29 March 1911  ,Brazil,BRA,LUISINHO,Forward
16 December 1910  ,Brazil,BRA,ATTILA,Forward
21 November 1909  ,Brazil,BRA,OCTACILIO,Defender
22 February 1910  ,Brazil,BRA,ARIEL,Midfielder
14 March 1911  ,Brazil,BRA,GERMANO,Goalkeeper
