CountryCode,Goals,MatchesPlayed,MinutesPlayed,Player
BRA,7,4,420,LEONIDAS
HUN,5,4,360,Gyorgy SAROSI
HUN,5,4,360,Gyula ZSENGELLER
ITA,5,4,390,Silvio PIOLA
POL,4,1,120,Ernest WILIMOWSKI
ITA,4,3,270,Gino COLAUSSI
SWE,3,2,180,Gustav WETTERSTROM
SWE,3,3,270,Harry ANDERSSON
SWE,3,3,270,Arne NYBERG
CUB,3,3,300,Hector SOCORRO
SUI,3,3,300,Andre ABEGGLEN
BRA,3,4,420,ROMEU
BRA,3,4,420,PERACIO
FRA,2,2,180,Jean NICOLAS
HUN,2,2,180,Pal TITKOS
ROU,2,2,210,Stefan DOBAY
TCH,2,2,240,Oldrich NEJEDLY
BEL,1,1,90,Henri ISEMBORGHS
GER,1,1,120,Josef GAUCHEL
ITA,1,1,120,Pietro FERRARIS
ROU,1,1,120,Silviu BINDEA
NOR,1,1,120,Arne BRUSTAD
TCH,1,1,120,Josef ZEMAN
POL,1,1,120,Fryedryk SZERFKE
HUN,1,2,180,Geza TOLDI
FRA,1,2,180,Emile VEINANTE
FRA,1,2,180,Oscar HEISSERER
SWE,1,2,180,Tore KELLER
HUN,1,2,180,Vilmos KOHUT
BRA,1,2,180,ROBERTO
ROU,1,2,210,Iuliu BARATKY
GER,1,2,210,Willhelm HAHNEMANN
CUB,1,2,210,Jose MAGRINA
SWE,1,3,270,Sven JONASSON
CUB,1,3,300,Tomas FERNANDEZ
SUI,1,3,300,Fredy BICKEL
SUI,1,3,300,Eugen WALASCHEK
TCH,1,3,330,Vlastimil KOPECKY
TCH,1,3,330,Josef KOSTALEK
ITA,1,4,390,Giuseppe MEAZZA
