Attendance,AwayCode,AwayScore,AwayTeam,City,Date,Description,HomeCode,HomeScore,HomeTeam,MatchReport,Penalty
81649,MEX,0,Mexico,Rio De Janeiro,24 June 1950,Group matches - Group 1,BRA,4,Brazil,https://www.fifa.com/worldcup/matches/round=208/match=1187/index.html#nosticky,
29703,CHI,0,Chile,Rio De Janeiro,25 June 1950,Group matches - Group 2,ENG,2,England,https://www.fifa.com/worldcup/matches/round=208/match=1192/index.html#nosticky,
9511,USA,1,USA,Curitiba,25 June 1950,Group matches - Group 2,ESP,3,Spain,https://www.fifa.com/worldcup/matches/round=208/match=1208/index.html#nosticky,
36502,ITA,2,Italy,Sao Paulo,25 June 1950,Group matches - Group 3,SWE,3,Sweden,https://www.fifa.com/worldcup/matches/round=208/match=1219/index.html#nosticky,
7336,SUI,0,Switzerland,Belo Horizonte,25 June 1950,Group matches - Group 1,YUG,3,Yugoslavia,https://www.fifa.com/worldcup/matches/round=208/match=1230/index.html#nosticky,
42032,SUI,2,Switzerland,Sao Paulo,28 June 1950,Group matches - Group 1,BRA,2,Brazil,https://www.fifa.com/worldcup/matches/round=208/match=1188/index.html#nosticky,
11078,MEX,1,Mexico,Porto Alegre,28 June 1950,Group matches - Group 1,YUG,4,Yugoslavia,https://www.fifa.com/worldcup/matches/round=208/match=1225/index.html#nosticky,
19790,CHI,0,Chile,Rio De Janeiro,29 June 1950,Group matches - Group 2,ESP,2,Spain,https://www.fifa.com/worldcup/matches/round=208/match=1193/index.html#nosticky,
7903,PAR,2,Paraguay,Curitiba,29 June 1950,Group matches - Group 3,SWE,2,Sweden,https://www.fifa.com/worldcup/matches/round=208/match=1228/index.html#nosticky,
10151,ENG,0,England,Belo Horizonte,29 June 1950,Group matches - Group 2,USA,1,USA,https://www.fifa.com/worldcup/matches/round=208/match=1202/index.html#nosticky,
142429,YUG,0,Yugoslavia,Rio De Janeiro,01 July 1950,Group matches - Group 1,BRA,2,Brazil,https://www.fifa.com/worldcup/matches/round=208/match=1191/index.html#nosticky,
74462,ENG,0,England,Rio De Janeiro,02 July 1950,Group matches - Group 2,ESP,1,Spain,https://www.fifa.com/worldcup/matches/round=208/match=1199/index.html#nosticky,
25811,PAR,0,Paraguay,Sao Paulo,02 July 1950,Group matches - Group 3,ITA,2,Italy,https://www.fifa.com/worldcup/matches/round=208/match=1218/index.html#nosticky,
5284,BOL,0,Bolivia,Belo Horizonte,02 July 1950,Group matches - Group 4,URU,8,Uruguay,https://www.fifa.com/worldcup/matches/round=208/match=1185/index.html#nosticky,
3580,MEX,1,Mexico,Porto Alegre,02 July 1950,Group matches - Group 1,SUI,2,Switzerland,https://www.fifa.com/worldcup/matches/round=208/match=1222/index.html#nosticky,
8501,USA,2,USA,Recife,02 July 1950,Group matches - Group 2,CHI,5,Chile,https://www.fifa.com/worldcup/matches/round=208/match=1194/index.html#nosticky,
44802,ESP,2,Spain,Sao Paulo,09 July 1950,Final round - Group 6,URU,2,Uruguay,https://www.fifa.com/worldcup/matches/round=209/match=1207/index.html#nosticky,
138886,SWE,1,Sweden,Rio De Janeiro,09 July 1950,Final round - Group 6,BRA,7,Brazil,https://www.fifa.com/worldcup/matches/round=209/match=1189/index.html#nosticky,
152772,ESP,1,Spain,Rio De Janeiro,13 July 1950,Final round - Group 6,BRA,6,Brazil,https://www.fifa.com/worldcup/matches/round=209/match=1186/index.html#nosticky,
7987,SWE,2,Sweden,Sao Paulo,13 July 1950,Final round - Group 6,URU,3,Uruguay,https://www.fifa.com/worldcup/matches/round=209/match=1231/index.html#nosticky,
11227,ESP,1,Spain,Sao Paulo,16 July 1950,Final round - Group 6,SWE,3,Sweden,https://www.fifa.com/worldcup/matches/round=209/match=1206/index.html#nosticky,
173850,BRA,1,Brazil,Rio De Janeiro,16 July 1950,Final round - Group 6,URU,2,Uruguay,https://www.fifa.com/worldcup/matches/round=209/match=1190/index.html#nosticky,
