CountryCode,Goals,MatchesPlayed,MinutesPlayed,Player
BRA,8,6,540,ADEMIR
URU,5,4,360,Oscar MIGUEZ
BRA,4,4,360,CHICO
URU,4,4,360,Alcides GHIGGIA
ESP,4,6,540,ZARRA
ESP,4,6,540,Estanislao BASORA
URU,3,4,360,Juan SCHIAFFINO
SWE,3,5,450,Karl-Erik PALMER
SWE,3,5,450,Stig SUNDQVIST
BRA,2,2,180,BALTAZAR
ITA,2,2,180,Riccardo CARAPELLESE
YUG,2,3,270,Zeljko CAJKOVSKI
CHI,2,3,270,Atilio CREMASCHI
SUI,2,3,270,Jackie FATTON
YUG,2,3,270,Kosta TOMASEVIC
BRA,2,4,360,ZIZINHO
SWE,2,4,360,Hans JEPPSSON
ESP,2,5,450,Silvestre IGOA
SWE,2,5,450,Sune ANDERSSON
BRA,2,5,450,JAIR
BRA,1,1,90,ALFREDO II
ITA,1,1,90,Egisto PANDOLFINI
YUG,1,1,90,Tihomir OGNJANOV
CHI,1,1,90,Fernando RIERA
ENG,1,2,180,Wilf MANNION
SWE,1,2,180,Bror MELLBERG
CHI,1,2,180,Andres PRIETO
PAR,1,2,180,Atilio LOPEZ
PAR,1,2,180,Cesar LOPEZ FRETES
ITA,1,2,180,Ermes MUCCINELLI
SUI,1,2,180,Kiki ANTENEN
MEX,1,3,270,Horacio CASARIN
YUG,1,3,270,Stjepan BOBEK
USA,1,3,270,Frank WALLACE
YUG,1,3,270,Rajko MITIC
ENG,1,3,270,Stan MORTENSEN
USA,1,3,270,Joe MACA
USA,1,3,270,Gino PARIANI
MEX,1,3,270,Hector ORTIZ
CHI,1,3,270,Jorge ROBLEDO
URU,1,3,270,Ernesto VIDAL
SUI,1,3,270,Rene BADER
USA,1,3,270,Joe GAETJENS
BRA,1,4,360,FRIACA
URU,1,4,360,Obdulio VARELA
URU,1,4,360,Julio PEREZ
BRA,1,4,360,MANECA
