Age,Country,CountryCode,Player,Position
3 April 1920  ,Bolivia,BOL,Alberto ACHA,Defender
6 April 1924  ,Bolivia,BOL,Victor ALGARANAZ,Forward
7 March 1927  ,Bolivia,BOL,Victor BROWN,Forward
18 November 1921  ,Bolivia,BOL,Roberto CAPPARELLI,Forward
7 July 1923  ,Bolivia,BOL,Leonardo FERREL,Midfielder
1 January 1923  ,Bolivia,BOL,Antonio GRECCO,Midfielder
1 September 1925  ,Bolivia,BOL,Benigno GUTIERREZ,Forward
17 January 1925  ,Bolivia,BOL,Eduardo GUTIERREZ,Goalkeeper
1 January 1928  ,Bolivia,BOL,Benjamin MALDONADO,Forward
28 July 1928  ,Bolivia,BOL,Mario MENA,Forward
5 May 1926  ,Bolivia,BOL,Victor UGARTE,Forward
5 May 1925  ,Bolivia,BOL,Antonio VALENCIA,Midfielder
25 January 1922  ,Bolivia,BOL,Vicente ARRAYA,Goalkeeper
21 December 1920  ,Bolivia,BOL,Duberty ARAOZ,Midfielder
1 January 1900  ,Bolivia,BOL,Hector SAAVEDRA,Midfielder
1 January 1900  ,Bolivia,BOL,Rene CABRERA,Midfielder
1 January 1900  ,Bolivia,BOL,Juan GUERRA,Forward
1 January 1900  ,Bolivia,BOL,Benedicto GODOY,Forward
5 March 1922  ,Bolivia,BOL,Jose BUSTAMANTE-NAVA,Defender
7 October 1915  ,Bolivia,BOL,PRETTO Mario,Coach
16 May 1925  ,Brazil,BRA,NILTON SANTOS,Defender
8 November 1922  ,Brazil,BRA,ADEMIR,Forward
27 March 1921  ,Brazil,BRA,BARBOSA,Goalkeeper
21 November 1925  ,Brazil,BRA,BAUER,Midfielder
27 November 1927  ,Brazil,BRA,CASTILHO,Goalkeeper
22 October 1920  ,Brazil,BRA,AUGUSTO,Defender
20 October 1924  ,Brazil,BRA,FRIACA,Forward
27 November 1923  ,Brazil,BRA,JUVENAL,Defender
2 February 1922  ,Brazil,BRA,RUY,Midfielder
3 December 1920  ,Brazil,BRA,DANILO ALVIM,Midfielder
4 April 1922  ,Brazil,BRA,BIGODE,Midfielder
14 September 1921  ,Brazil,BRA,ZIZINHO,Midfielder
21 March 1921  ,Brazil,BRA,JAIR,Forward
7 January 1923  ,Brazil,BRA,CHICO,Forward
14 May 1921  ,Brazil,BRA,ELY DO AMPARO,Defender
28 January 1926  ,Brazil,BRA,MANECA,Forward
14 January 1926  ,Brazil,BRA,BALTAZAR,Forward
25 September 1918  ,Brazil,BRA,NORONHA,Midfielder
1 January 1920  ,Brazil,BRA,ALFREDO II,Forward
2 April 1923  ,Brazil,BRA,ADAOZINHO,Forward
11 July 1923  ,Brazil,BRA,NENA,Defender
27 June 1925  ,Brazil,BRA,RODRIGUES,Forward
14 September 1906  ,Brazil,BRA,COSTA Flavio,Coach
23 May 1928  ,Chile,CHI,Manuel ALVAREZ,Defender
15 October 1920  ,Chile,CHI,Miguel BUSQUETS,Midfielder
19 August 1922  ,Chile,CHI,Hernan CARVALLO,Midfielder
8 March 1923  ,Chile,CHI,Atilio CREMASCHI,Forward
29 December 1930  ,Chile,CHI,Guillermo DIAZ,Forward
1 November 1927  ,Chile,CHI,Arturo FARIAS,Defender
30 November 1931  ,Chile,CHI,Carlos IBANEZ,Forward
26 March 1920  ,Chile,CHI,Sergio LIVINGSTONE,Goalkeeper
1 January 1924  ,Chile,CHI,Manuel MACHUCA,Defender
15 January 1925  ,Chile,CHI,Luis MAYANES,Forward
28 April 1928  ,Chile,CHI,Manuel MUNOZ,Forward
19 December 1928  ,Chile,CHI,Andres PRIETO,Forward
1 January 1900  ,Chile,CHI,Rene QUITRAL,Goalkeeper
27 June 1920  ,Chile,CHI,Fernando RIERA,Forward
14 April 1926  ,Chile,CHI,Jorge ROBLEDO,Forward
1 January 1928  ,Chile,CHI,Carlos ROJAS,Midfielder
1 January 1921  ,Chile,CHI,Fernando ROLDAN,Defender
1 January 1900  ,Chile,CHI,Osvaldo SAEZ,Midfielder
1 January 1900  ,Chile,CHI,Francisco URROZ,Defender
1 January 1921  ,Chile,CHI,Fernando CAMPOS,Midfielder
1 January 1900  ,Chile,CHI,Raymundo INFANTE,Forward
1 January 1900  ,Chile,CHI,Miguel FLORES,Defender
11 May 1914  ,Chile,CHI,BUCCIARDI Arturo,Coach
22 January 1920  ,England,ENG,Alf RAMSEY,Defender
6 February 1924  ,England,ENG,Billy WRIGHT,Defender
6 August 1925  ,England,ENG,Eddie BAILY,Forward
17 May 1924  ,England,ENG,Roy BENTLEY,Forward
24 April 1925  ,England,ENG,Jimmy DICKINSON,Midfielder
24 October 1921  ,England,ENG,Ted DITCHBURN,Goalkeeper
16 July 1925  ,England,ENG,Bill ECKERSLEY,Defender
5 April 1922  ,England,ENG,Tom FINNEY,Forward
2 March 1924  ,England,ENG,Laurie HUGHES,Midfielder
16 May 1918  ,England,ENG,Wilf MANNION,Forward
11 May 1924  ,England,ENG,Jackie MILBURN,Forward
6 January 1923  ,England,ENG,Jimmy MULLEN,Forward
31 January 1920  ,England,ENG,Bert WILLIAMS,Goalkeeper
23 April 1917  ,England,ENG,Laurie SCOTT,Defender
26 January 1919  ,England,ENG,Bill NICHOLSON,Midfielder
14 September 1921  ,England,ENG,Henry COCKBURN,Forward
5 November 1917  ,England,ENG,Jim TAYLOR,Defender
3 March 1920  ,England,ENG,Willie WATSON,Midfielder
3 September 1921  ,England,ENG,John ASTON,Defender
1 February 1915  ,England,ENG,Stanley MATTHEWS,Forward
26 May 1921  ,England,ENG,Stan MORTENSEN,Forward
31 March 1913  ,England,ENG,WINTERBOTTOM Walter,Coach
1 July 1920  ,Italy,ITA,Lucidio SENTIMENTI,Goalkeeper
26 July 1921  ,Italy,ITA,Amedeo AMADEI,Forward
24 May 1925  ,Italy,ITA,Carlo ANNOVAZZI,Midfielder
7 April 1919  ,Italy,ITA,Aldo CAMPATELLI,Midfielder
2 June 1920  ,Italy,ITA,Gino CAPPELLO,Forward
1 July 1922  ,Italy,ITA,Riccardo CARAPELLESE,Forward
22 June 1922  ,Italy,ITA,Osvaldo FATTORI,Midfielder
19 January 1923  ,Italy,ITA,Zeffiro FURIASSI,Defender
30 July 1924  ,Italy,ITA,Attilio GIOVANNINI,Defender
9 March 1923  ,Italy,ITA,Augusto MAGLI,Midfielder
17 October 1924  ,Italy,ITA,Giacomo MARI,Midfielder
16 January 1921  ,Italy,ITA,Giuseppe MORO,Goalkeeper
28 July 1927  ,Italy,ITA,Ermes MUCCINELLI,Forward
19 February 1926  ,Italy,ITA,Egisto PANDOLFINI,Forward
17 November 1917  ,Italy,ITA,Leandro REMONDINI,Defender
3 March 1924  ,Italy,ITA,Omero TOGNON,Midfielder
10 April 1922  ,Italy,ITA,Giuseppe CASARI,Goalkeeper
30 September 1928  ,Italy,ITA,Emilio CAPRILE,Forward
24 May 1923  ,Italy,ITA,Ivano BLASON,Defender
4 July 1928  ,Italy,ITA,Giampiero BONIPERTI,Forward
20 December 1925  ,Italy,ITA,Benito LORENZI,Forward
20 September 1921  ,Italy,ITA,Carlo PAROLA,Defender
14 June 1897  ,Italy,ITA,NOVO Ferruccio,Coach
31 January 1920  ,Mexico,MEX,Jose BORBOLLA,Forward
1 January 1900  ,Mexico,MEX,Raul CORDOBA,Goalkeeper
20 February 1928  ,Mexico,MEX,Samuel CUBURU,Midfielder
13 July 1923  ,Mexico,MEX,Antonio FLORES,Midfielder
26 June 1924  ,Mexico,MEX,Gregorio GOMEZ,Defender
1 January 1900  ,Mexico,MEX,Carlos GUEVARA,Midfielder
8 April 1920  ,Mexico,MEX,Manuel GUTIERREZ,Defender
1 January 1900  ,Mexico,MEX,Francisco HERNANDEZ,Midfielder
28 April 1922  ,Mexico,MEX,Alfonso MONTEMAYOR,Defender
19 March 1926  ,Mexico,MEX,Jose NARANJO,Forward
1 January 1927  ,Mexico,MEX,Mario OCHOA,Midfielder
20 December 1928  ,Mexico,MEX,Hector ORTIZ,Midfielder
19 February 1927  ,Mexico,MEX,Mario PEREZ,Forward
24 May 1928  ,Mexico,MEX,Jose ROCA,Defender
14 April 1923  ,Mexico,MEX,Rodrigo RUIZ,Defender
18 January 1923  ,Mexico,MEX,Carlos SEPTIEN,Forward
12 August 1923  ,Mexico,MEX,Guadalupe VELAZQUEZ,Forward
3 July 1923  ,Mexico,MEX,Felipe ZETTER,Defender
25 May 1918  ,Mexico,MEX,Horacio CASARIN,Forward
1 January 1900  ,Mexico,MEX,Jose NAVARRO,Forward
7 June 1929  ,Mexico,MEX,Antonio CARBAJAL,Goalkeeper
28 March 1919  ,Mexico,MEX,Max PRIETO,Forward
26 November 1918  ,Mexico,MEX,VIAL Octavio,Coach
16 May 1925  ,Paraguay,PAR,Leongino UNZAIN,Forward
1 January 1922  ,Paraguay,PAR,Enrique AVALOS,Forward
1 January 1900  ,Paraguay,PAR,Antonio CABRERA,Defender
