Attendance,AwayCode,AwayScore,AwayTeam,City,Date,Description,HomeCode,HomeScore,HomeTeam,MatchReport,Penalty
20500,TCH,0,Czechoslovakia,Berne,16 June 1954,Group matches - Group 3,URU,2,Uruguay,https://www.fifa.com/worldcup/matches/round=211/match=1315/index.html#nosticky,
25000,SCO,0,Scotland,Zurich,16 June 1954,Group matches - Group 3,AUT,1,Austria,https://www.fifa.com/worldcup/matches/round=211/match=1236/index.html#nosticky,
13470,MEX,0,Mexico,Geneva,16 June 1954,Group matches - Group 1,BRA,5,Brazil,https://www.fifa.com/worldcup/matches/round=211/match=1249/index.html#nosticky,
16000,FRA,0,France,Lausanne,16 June 1954,Group matches - Group 1,YUG,1,Yugoslavia,https://www.fifa.com/worldcup/matches/round=211/match=1276/index.html#nosticky,
28000,TUR,1,Turkey,Berne,17 June 1954,Group matches - Group 2,FRG,4,Germany FR,https://www.fifa.com/worldcup/matches/round=211/match=1283/index.html#nosticky,
13000,KOR,0,Korea Republic,Zurich,17 June 1954,Group matches - Group 2,HUN,9,Hungary,https://www.fifa.com/worldcup/matches/round=211/match=1294/index.html#nosticky,
14000,BEL,4,Belgium,Basel,17 June 1954,Group matches - Group 4,ENG,4,England,https://www.fifa.com/worldcup/matches/round=211/match=1240/index.html#nosticky,
43000,ITA,1,Italy,Lausanne,17 June 1954,Group matches - Group 4,SUI,2,Switzerland,https://www.fifa.com/worldcup/matches/round=211/match=1300/index.html#nosticky,
34000,SCO,0,Scotland,Basel,19 June 1954,Group matches - Group 3,URU,7,Uruguay,https://www.fifa.com/worldcup/matches/round=211/match=1313/index.html#nosticky,
26000,TCH,0,Czechoslovakia,Zurich,19 June 1954,Group matches - Group 3,AUT,5,Austria,https://www.fifa.com/worldcup/matches/round=211/match=1238/index.html#nosticky,
19000,MEX,2,Mexico,Geneva,19 June 1954,Group matches - Group 1,FRA,3,France,https://www.fifa.com/worldcup/matches/round=211/match=1275/index.html#nosticky,
24637,YUG,1,Yugoslavia,Lausanne,19 June 1954,Group matches - Group 1,BRA,1,Brazil,https://www.fifa.com/worldcup/matches/round=211/match=1252/index.html#nosticky,
56000,FRG,3,Germany FR,Basel,20 June 1954,Group matches - Group 2,HUN,8,Hungary,https://www.fifa.com/worldcup/matches/round=211/match=1277/index.html#nosticky,
4000,KOR,0,Korea Republic,Geneva,20 June 1954,Group matches - Group 2,TUR,7,Turkey,https://www.fifa.com/worldcup/matches/round=211/match=1304/index.html#nosticky,
43500,SUI,0,Switzerland,Berne,20 June 1954,Group matches - Group 4,ENG,2,England,https://www.fifa.com/worldcup/matches/round=211/match=1263/index.html#nosticky,
24000,BEL,1,Belgium,Lugano,20 June 1954,Group matches - Group 4,ITA,4,Italy,https://www.fifa.com/worldcup/matches/round=211/match=1243/index.html#nosticky,
17000,TUR,2,Turkey,Zurich,23 June 1954,Group matches - Group 2,FRG,7,Germany FR,https://www.fifa.com/worldcup/matches/round=211/match=1284/index.html#nosticky,
30000,ITA,1,Italy,Basel,23 June 1954,Group matches - Group 4,SUI,4,Switzerland,https://www.fifa.com/worldcup/matches/round=211/match=1301/index.html#nosticky,
28000,ENG,2,England,Basel,26 June 1954,Quarter-finals,URU,4,Uruguay,https://www.fifa.com/worldcup/matches/round=212/match=1264/index.html#nosticky,
35000,SUI,5,Switzerland,Lausanne,26 June 1954,Quarter-finals,AUT,7,Austria,https://www.fifa.com/worldcup/matches/round=212/match=1237/index.html#nosticky,
17000,YUG,0,Yugoslavia,Geneva,27 June 1954,Quarter-finals,FRG,2,Germany FR,https://www.fifa.com/worldcup/matches/round=212/match=1285/index.html#nosticky,
40000,BRA,2,Brazil,Berne,27 June 1954,Quarter-finals,HUN,4,Hungary,https://www.fifa.com/worldcup/matches/round=212/match=1248/index.html#nosticky,
58000,AUT,1,Austria,Basel,30 June 1954,Semi-finals,FRG,6,Germany FR,https://www.fifa.com/worldcup/matches/round=462/match=1233/index.html#nosticky,
45000,URU,2,Uruguay,Lausanne,30 June 1954,Semi-finals,HUN,4,Hungary,https://www.fifa.com/worldcup/matches/round=462/match=1295/index.html#nosticky,
32000,URU,1,Uruguay,Zurich,03 July 1954,Match for third place,AUT,3,Austria,https://www.fifa.com/worldcup/matches/round=3485/match=1239/index.html#nosticky,
62500,HUN,2,Hungary,Berne,04 July 1954,Final,FRG,3,Germany FR,https://www.fifa.com/worldcup/matches/round=3484/match=1278/index.html#nosticky,
