CountryCode,Goals,MatchesPlayed,MinutesPlayed,Player
HUN,11,5,480,Sandor KOCSIS
SUI,6,3,270,Sepp HUEGI
AUT,6,5,450,Erich PROBST
FRG,6,5,450,Max MORLOCK
HUN,4,3,270,Ferenc PUSKAS
SUI,4,4,360,Robert BALLAMAN
FRG,4,4,360,Helmut RAHN
HUN,4,4,390,Nandor HIDEGKUTI
FRG,4,5,450,Hans SCHAEFER
FRG,4,5,450,Ottmar WALTER
URU,4,5,480,Carlos BORGES
TUR,3,2,180,Buhran SARGUN
TUR,3,2,180,Suat MAMAT
BEL,3,2,210,Leopold ANOUL
URU,3,2,210,Juan HOHBERG
ENG,3,2,210,Nat LOFTHOUSE
URU,3,3,270,Oscar MIGUEZ
AUT,3,4,360,Ernst STOJASPAL
AUT,3,4,360,Theodor WAGNER
HUN,3,5,480,Zoltan CZIBOR
FRG,3,6,540,Fritz WALTER
HUN,2,2,210,Peter PALOTAS
BRA,2,2,210,PINGA
TUR,2,3,270,Lefter KUCUKANDONYADIS
ENG,2,3,300,Ivor BROADIS
BRA,2,3,300,JULINHO
BRA,2,3,300,DIDI
URU,2,4,360,Julio ABBADIE
AUT,2,4,360,Alfred KOERNER
AUT,2,5,450,Ernst OCWIRK
HUN,2,5,480,Mihaly LANTOS
URU,2,5,480,Juan SCHIAFFINO
ITA,1,1,90,Giampiero BONIPERTI
FRG,1,1,90,Richard HERRMANN
FRG,1,1,90,Alfred PFAFF
ENG,1,1,90,Jimmy MULLEN
FRG,1,2,180,Berni KLODT
MEX,1,2,180,Jose LAMADRID
ITA,1,2,180,Amleto FRIGNANI
MEX,1,2,180,Tomas BALCAZAR
ITA,1,2,180,Carlo GALLI
FRA,1,2,180,Jean VINCENT
ENG,1,2,180,Dennis WILSHAW
FRA,1,2,180,Raymond KOPA
HUN,1,2,180,Jozsef TOTH
BRA,1,2,210,BALTAZAR
BEL,1,2,210,Rik COPPENS
TUR,1,3,270,Erol KESKIN
URU,1,3,270,Obdulio VARELA
ITA,1,3,270,Fulvio NESTI
ITA,1,3,270,Egisto PANDOLFINI
ITA,1,3,270,Benito LORENZI
YUG,1,3,300,Milos MILUTINOVIC
BRA,1,3,300,DJALMA SANTOS
YUG,1,3,300,Branko ZEBEC
ENG,1,3,300,Tom FINNEY
SUI,1,4,360,Jackie FATTON
URU,1,4,390,Javier AMBROIS
