Age,Country,CountryCode,Player,Position
14 June 1926  ,Austria,AUT,Kurt SCHMIED,Goalkeeper
16 February 1929  ,Austria,AUT,Gerhard HANAPPI,Defender
29 November 1925  ,Austria,AUT,Ernst HAPPEL,Defender
12 August 1925  ,Austria,AUT,Leopold BARSCHANDT,Defender
7 March 1926  ,Austria,AUT,Ernst OCWIRK,Midfielder
9 February 1929  ,Austria,AUT,Karl KOLLER,Midfielder
21 August 1924  ,Austria,AUT,Robert KOERNER,Forward
19 September 1929  ,Austria,AUT,Walter SCHLEGER,Forward
6 August 1927  ,Austria,AUT,Theodor WAGNER,Forward
5 December 1927  ,Austria,AUT,Erich PROBST,Forward
14 February 1926  ,Austria,AUT,Alfred KOERNER,Forward
27 March 1927  ,Austria,AUT,Karl STOTZ,Midfielder
17 June 1932  ,Austria,AUT,Walter KOLLMANN,Defender
29 October 1928  ,Austria,AUT,Karl GIESSER,Midfielder
6 November 1925  ,Austria,AUT,Franz PELIKAN,Goalkeeper
1 May 1927  ,Austria,AUT,Walter ZEMAN,Goalkeeper
29 July 1929  ,Austria,AUT,Alfred TEINITZER,Midfielder
17 July 1929  ,Austria,AUT,Johann RIEGLER,Midfielder
1 March 1928  ,Austria,AUT,Robert DIENST,Forward
10 April 1931  ,Austria,AUT,Paul HALLA,Defender
14 January 1925  ,Austria,AUT,Ernst STOJASPAL,Forward
22 November 1928  ,Austria,AUT,Walter HAUMMER,Forward
5 February 1907  ,Austria,AUT,NAUSCH Walter,Coach
25 February 1927  ,Belgium,BEL,Leopold GERNAEY,Goalkeeper
19 September 1929  ,Belgium,BEL,Marcel DRIES,Defender
24 June 1927  ,Belgium,BEL,Alfons VAN BRANDT,Defender
11 October 1928  ,Belgium,BEL,Constant HUYSMANS,Midfielder
7 January 1925  ,Belgium,BEL,Louis CARRE,Midfielder
26 January 1927  ,Belgium,BEL,Victor MEES,Midfielder
18 December 1932  ,Belgium,BEL,Jozef VLIERS,Forward
16 February 1932  ,Belgium,BEL,Denis HOUF,Forward
29 April 1930  ,Belgium,BEL,Rik COPPENS,Forward
19 August 1922  ,Belgium,BEL,Leopold ANOUL,Forward
16 February 1922  ,Belgium,BEL,Joseph MERMANS,Forward
