CountryCode,Goals,MatchesPlayed,MinutesPlayed,Player
FRA,13,6,540,Just FONTAINE
BRA,6,4,360,PELÃ (Edson Arantes do Nascimento)
FRG,6,6,540,Helmut RAHN
BRA,5,4,360,VAVA
NIR,5,5,480,Peter McPARLAND
TCH,4,3,300,Zdenek ZIKAN
HUN,4,4,360,Lajos TICHY
SWE,4,5,450,Agne SIMONSSON
SWE,4,5,450,Kurt HAMRIN
ARG,3,3,270,Oreste Omar CORBATTA
YUG,3,4,360,Toza VESELINOVIC
FRA,3,5,450,Roger PIANTONI
FRA,3,6,540,Raymond KOPA
FRG,3,6,540,Hans SCHAEFER
PAR,2,3,270,Jorge ROMERO
BRA,2,3,270,Jose ALTAFINI
PAR,2,3,270,Juan AGUERO
PAR,2,3,270,Florencio AMARILLA
PAR,2,3,270,Jose PARODI
TCH,2,3,270,Vaclav HOVORKA
ENG,2,4,360,Derek KEVAN
YUG,2,4,360,Aleksandar PETAKOVIC
TCH,2,4,390,Milan DVORAK
FRG,2,5,450,Uwe SEELER
WAL,2,5,450,Ivor ALLCHURCH
SWE,2,5,450,Nils LIEDHOLM
URS,2,5,450,Anatoli ILYIN
FRA,2,6,540,Maryan WISNIESKI
SCO,1,1,90,Sammy BAIRD
FRA,1,1,90,Yvon DOUIS
ENG,1,1,90,Tom FINNEY
YUG,1,2,180,Radivoje OGNJANOVIC
MEX,1,2,180,Jaime BELMONTE
HUN,1,2,180,Jozsef BENCSIS
ARG,1,2,180,Ludovico AVIO
FRG,1,2,180,Hans CIESCLARCZYK
SCO,1,2,180,Jimmy MURRAY
PAR,1,3,270,Cayetano RE
SCO,1,3,270,Jackie MUDIE
HUN,1,3,270,Karoly SANDOR
SCO,1,3,270,Bobby COLLINS
HUN,1,3,270,Jozsef BOZSIK
ARG,1,3,270,Norberto MENENDEZ
AUT,1,3,270,Alfred KOERNER
AUT,1,3,270,Karl KOLLER
TCH,1,3,300,Jiri FEUREISL
ENG,1,4,360,John HAYNES
URS,1,4,360,Aleksandr IVANOV
WAL,1,4,360,Terry MEDWIN
WAL,1,4,360,John CHARLES
YUG,1,4,360,Zdravko RAJKOV
SWE,1,5,450,Gunnar GREN
URS,1,5,450,Valentin IVANOV
NIR,1,5,480,Wilbur CUSH
BRA,1,6,540,NILTON SANTOS
SWE,1,6,540,Lennart SKOGLUND
FRA,1,6,540,Jean VINCENT
BRA,1,6,540,DIDI
BRA,1,6,540,Mario ZAGALLO
