Age,Country,CountryCode,Player,Position
12 June 1926  ,Argentina,ARG,Amadeo CARRIZO,Goalkeeper
9 July 1926  ,Argentina,ARG,Pedro DELLACHA,Midfielder
27 January 1930  ,Argentina,ARG,Federico VAIRO,Defender
11 June 1925  ,Argentina,ARG,Juan Francesco LOMBARDO,Defender
10 May 1925  ,Argentina,ARG,Nestor ROSSI,Midfielder
27 May 1932  ,Argentina,ARG,Jose VARACKA,Midfielder
11 March 1936  ,Argentina,ARG,Oreste Omar CORBATTA,Forward
17 September 1929  ,Argentina,ARG,Eliseo PRADO,Forward
14 December 1936  ,Argentina,ARG,Norberto MENENDEZ,Forward
20 February 1937  ,Argentina,ARG,Alfredo ROJAS,Forward
28 September 1918  ,Argentina,ARG,Angel LABRUNA,Forward
9 July 1923  ,Argentina,ARG,Julio MUSSIMESI,Goalkeeper
10 April 1929  ,Argentina,ARG,Alfredo PEREZ,Midfielder
27 January 1931  ,Argentina,ARG,Federico EDWARDS,Defender
20 February 1937  ,Argentina,ARG,David ACEVEDO,Defender
2 June 1927  ,Argentina,ARG,Eliseo MOURINO,Midfielder
26 August 1935  ,Argentina,ARG,Jose RAMOS DELGADO,Defender
11 August 1931  ,Argentina,ARG,Norberto BOGGIO,Forward
6 October 1931  ,Argentina,ARG,Ludovico AVIO,Forward
21 June 1924  ,Argentina,ARG,Ricardo INFANTE,Forward
4 May 1935  ,Argentina,ARG,Jose SANFILIPPO,Forward
29 May 1931  ,Argentina,ARG,Osvaldo CRUZ,Forward
17 January 1906  ,Argentina,ARG,STABILE Guillermo,Coach
6 July 1931  ,Austria,AUT,Rudolf SZANWALD,Goalkeeper
10 April 1931  ,Austria,AUT,Paul HALLA,Defender
29 November 1925  ,Austria,AUT,Ernst HAPPEL,Defender
15 February 1933  ,Austria,AUT,Franz SWOBODA,Defender
16 February 1929  ,Austria,AUT,Gerhard HANAPPI,Defender
9 February 1929  ,Austria,AUT,Karl KOLLER,Midfielder
1 June 1931  ,Austria,AUT,Walter HORAK,Forward
22 July 1937  ,Austria,AUT,Paul KOZLICEK,Forward
22 May 1938  ,Austria,AUT,Hans BUZEK,Forward
14 February 1926  ,Austria,AUT,Alfred KOERNER,Forward
22 October 1933  ,Austria,AUT,Helmut SENEKOWITSCH,Forward
14 June 1926  ,Austria,AUT,Kurt SCHMIED,Goalkeeper
19 September 1929  ,Austria,AUT,Walter SCHLEGER,Forward
22 January 1931  ,Austria,AUT,Pepi HAMMERL,Forward
17 June 1932  ,Austria,AUT,Walter KOLLMANN,Defender
27 March 1927  ,Austria,AUT,Karl STOTZ,Midfielder
27 January 1931  ,Austria,AUT,Ernst KOZLICEK,Midfielder
12 August 1925  ,Austria,AUT,Leopold BARSCHANDT,Defender
1 March 1928  ,Austria,AUT,Robert DIENST,Forward
31 March 1937  ,Austria,AUT,Herbert NINAUS,Forward
5 February 1934  ,Austria,AUT,Ignaz PUSCHNIK,Midfielder
5 September 1927  ,Austria,AUT,Bruno ENGELMEIER,Goalkeeper
15 November 1910  ,Austria,AUT,ARGAUER Josef,Coach
27 November 1927  ,Brazil,BRA,CASTILHO,Goalkeeper
7 June 1930  ,Brazil,BRA,BELLINI,Defender
22 August 1930  ,Brazil,BRA,GILMAR (Gilmar Dos Santos Neves),Goalkeeper
27 February 1929  ,Brazil,BRA,DJALMA SANTOS,Defender
23 May 1932  ,Brazil,BRA,DINO SANI,Midfielder
8 October 1928  ,Brazil,BRA,DIDI,Midfielder
