Attendance,AwayCode,AwayScore,AwayTeam,City,Date,Description,HomeCode,HomeScore,HomeTeam,MatchReport,Penalty
7908,COL,1,Colombia,Arica,30 May 1962,Group matches - Group 1,URU,2,Uruguay,https://www.fifa.com/worldcup/matches/round=231/match=1479/index.html#nosticky,
10484,MEX,0,Mexico,Vina Del Mar,30 May 1962,Group matches - Group 3,BRA,2,Brazil,https://www.fifa.com/worldcup/matches/round=231/match=1461/index.html#nosticky,
7134,BUL,0,Bulgaria,Rancagua,30 May 1962,Group matches - Group 4,ARG,1,Argentina,https://www.fifa.com/worldcup/matches/round=231/match=1447/index.html#nosticky,
65006,SUI,1,Switzerland,Santiago De Chile,30 May 1962,Group matches - Group 2,CHI,3,Chile,https://www.fifa.com/worldcup/matches/round=231/match=1473/index.html#nosticky,
9622,YUG,0,Yugoslavia,Arica,31 May 1962,Group matches - Group 1,URS,2,Soviet Union,https://www.fifa.com/worldcup/matches/round=231/match=1563/index.html#nosticky,
12700,ESP,0,Spain,Vina Del Mar,31 May 1962,Group matches - Group 3,TCH,1,Czechoslovakia,https://www.fifa.com/worldcup/matches/round=231/match=1498/index.html#nosticky,
7938,ENG,1,England,Rancagua,31 May 1962,Group matches - Group 4,HUN,2,Hungary,https://www.fifa.com/worldcup/matches/round=231/match=1490/index.html#nosticky,
65440,ITA,0,Italy,Santiago De Chile,31 May 1962,Group matches - Group 2,FRG,0,Germany FR,https://www.fifa.com/worldcup/matches/round=231/match=1507/index.html#nosticky,
8829,URU,1,Uruguay,Arica,02 June 1962,Group matches - Group 1,YUG,3,Yugoslavia,https://www.fifa.com/worldcup/matches/round=231/match=1564/index.html#nosticky,
14903,TCH,0,Czechoslovakia,Vina Del Mar,02 June 1962,Group matches - Group 3,BRA,0,Brazil,https://www.fifa.com/worldcup/matches/round=231/match=1462/index.html#nosticky,
9794,ARG,1,Argentina,Rancagua,02 June 1962,Group matches - Group 4,ENG,3,England,https://www.fifa.com/worldcup/matches/round=231/match=1450/index.html#nosticky,
66057,ITA,0,Italy,Santiago De Chile,02 June 1962,Group matches - Group 2,CHI,2,Chile,https://www.fifa.com/worldcup/matches/round=231/match=1472/index.html#nosticky,
8040,COL,4,Colombia,Arica,03 June 1962,Group matches - Group 1,URS,4,Soviet Union,https://www.fifa.com/worldcup/matches/round=231/match=1478/index.html#nosticky,
11875,MEX,0,Mexico,Vina Del Mar,03 June 1962,Group matches - Group 3,ESP,1,Spain,https://www.fifa.com/worldcup/matches/round=231/match=1497/index.html#nosticky,
7442,BUL,1,Bulgaria,Rancagua,03 June 1962,Group matches - Group 4,HUN,6,Hungary,https://www.fifa.com/worldcup/matches/round=231/match=1470/index.html#nosticky,
64922,SUI,1,Switzerland,Santiago De Chile,03 June 1962,Group matches - Group 2,FRG,2,Germany FR,https://www.fifa.com/worldcup/matches/round=231/match=1510/index.html#nosticky,
9973,URU,1,Uruguay,Arica,06 June 1962,Group matches - Group 1,URS,2,Soviet Union,https://www.fifa.com/worldcup/matches/round=231/match=1562/index.html#nosticky,
18715,ESP,1,Spain,Vina Del Mar,06 June 1962,Group matches - Group 3,BRA,2,Brazil,https://www.fifa.com/worldcup/matches/round=231/match=1460/index.html#nosticky,
7945,ARG,0,Argentina,Rancagua,06 June 1962,Group matches - Group 4,HUN,0,Hungary,https://www.fifa.com/worldcup/matches/round=231/match=1451/index.html#nosticky,
67224,CHI,0,Chile,Santiago De Chile,06 June 1962,Group matches - Group 2,FRG,2,Germany FR,https://www.fifa.com/worldcup/matches/round=231/match=1471/index.html#nosticky,
7167,COL,0,Colombia,Arica,07 June 1962,Group matches - Group 1,YUG,5,Yugoslavia,https://www.fifa.com/worldcup/matches/round=231/match=1480/index.html#nosticky,
10648,TCH,1,Czechoslovakia,Vina Del Mar,07 June 1962,Group matches - Group 3,MEX,3,Mexico,https://www.fifa.com/worldcup/matches/round=231/match=1544/index.html#nosticky,
5700,BUL,0,Bulgaria,Rancagua,07 June 1962,Group matches - Group 4,ENG,0,England,https://www.fifa.com/worldcup/matches/round=231/match=1464/index.html#nosticky,
59828,SUI,0,Switzerland,Santiago De Chile,07 June 1962,Group matches - Group 2,ITA,3,Italy,https://www.fifa.com/worldcup/matches/round=231/match=1532/index.html#nosticky,
17268,URS,1,Soviet Union,Arica,10 June 1962,Quarter-finals,CHI,2,Chile,https://www.fifa.com/worldcup/matches/round=232/match=1474/index.html#nosticky,
17736,ENG,1,England,Vina Del Mar,10 June 1962,Quarter-finals,BRA,3,Brazil,https://www.fifa.com/worldcup/matches/round=232/match=1459/index.html#nosticky,
11690,HUN,0,Hungary,Rancagua,10 June 1962,Quarter-finals,TCH,1,Czechoslovakia,https://www.fifa.com/worldcup/matches/round=232/match=1525/index.html#nosticky,
63324,FRG,0,Germany FR,Santiago De Chile,10 June 1962,Quarter-finals,YUG,1,Yugoslavia,https://www.fifa.com/worldcup/matches/round=232/match=1511/index.html#nosticky,
5890,YUG,1,Yugoslavia,Vina Del Mar,13 June 1962,Semi-finals,TCH,3,Czechoslovakia,https://www.fifa.com/worldcup/matches/round=514/match=1559/index.html#nosticky,
76594,CHI,2,Chile,Santiago De Chile,13 June 1962,Semi-finals,BRA,4,Brazil,https://www.fifa.com/worldcup/matches/round=514/match=1458/index.html#nosticky,
66697,YUG,0,Yugoslavia,Santiago De Chile,16 June 1962,Match for third place,CHI,1,Chile,https://www.fifa.com/worldcup/matches/round=3481/match=1475/index.html#nosticky,
68679,TCH,1,Czechoslovakia,Santiago De Chile,17 June 1962,Final,BRA,3,Brazil,https://www.fifa.com/worldcup/matches/round=3480/match=1463/index.html#nosticky,
