CountryCode,Goals,MatchesPlayed,MinutesPlayed,Player
HUN,4,3,270,Florian ALBERT
URS,4,4,360,Valentin IVANOV
BRA,4,6,533,GARRINCHA
BRA,4,6,540,VAVA
CHI,4,6,540,Leonel SANCHEZ
YUG,4,6,540,Drazen JERKOVIC
HUN,3,4,360,Lajos TICHY
YUG,3,6,540,Milan GALIC
TCH,3,6,540,Adolf SCHERER
ITA,2,1,90,Giacomo BULGARELLI
URS,2,3,270,Igor CHISLENKO
ENG,2,4,360,Ron FLOWERS
URS,2,4,360,Viktor PONEDELNIK
FRG,2,4,360,Uwe SEELER
CHI,2,5,450,Jorge TORO
CHI,2,6,540,Jaime RAMIREZ
CHI,2,6,540,Eladio ROJAS
ESP,1,1,90,ADELARDO
TCH,1,1,90,Vaclav MASEK
COL,1,1,90,Francisco ZULUAGA
URU,1,2,161,Angel Ruben CABRERA
ARG,1,2,180,Hector FACUNDO
URU,1,2,180,Luis CUBILLA
URS,1,2,180,Aleksei MAMYKIN
COL,1,2,180,Antonio RADA
YUG,1,2,180,Vojislav MELIC
BRA,1,2,180,PELÃ (Edson Arantes do Nascimento)
BUL,1,2,180,Georgi SOKOLOV
ARG,1,2,180,Jose SANFILIPPO
ENG,1,2,180,Gerry HITCHENS
ITA,1,2,180,Bruno MORA
ESP,1,2,180,Joaquin PEIRO
SUI,1,3,270,Heinz SCHNEITER
TCH,1,3,270,Josef STIBRANYI
SUI,1,3,270,Rolf WUETHRICH
MEX,1,3,270,Hector HERNANDEZ
TCH,1,3,270,Josef KADRABA
COL,1,3,270,Marino KLINGER
MEX,1,3,270,Alfredo DEL AGUILA
MEX,1,3,270,Isidoro DIAZ
COL,1,3,270,Marcos COLL
COL,1,3,270,German ACEROS
FRG,1,4,360,Albert BRUELLS
ENG,1,4,360,Bobby CHARLTON
HUN,1,4,360,Erno SOLYMOSI
FRG,1,4,360,Horst SZYMANIAK
ENG,1,4,360,Jimmy GREAVES
YUG,1,5,450,Josip SKOBLAR
YUG,1,5,450,Petar RADAKOVIC
BRA,1,6,540,Mario ZAGALLO
BRA,1,6,540,ZITO
TCH,1,6,540,Josef MASOPUST
