Age,Country,CountryCode,Player,Position
13 July 1932  ,Argentina,ARG,Antonio ROMA,Goalkeeper
26 August 1935  ,Argentina,ARG,Jose RAMOS DELGADO,Defender
4 October 1940  ,Argentina,ARG,Silvio MARZOLINI,Defender
13 December 1937  ,Argentina,ARG,Alberto SAINZ,Defender
9 August 1936  ,Argentina,ARG,Federico SACCHI,Midfielder
26 May 1937  ,Argentina,ARG,Raul PAEZ,Defender
2 November 1937  ,Argentina,ARG,Hector FACUNDO,Forward
26 December 1934  ,Argentina,ARG,Martin PANDO,Forward
19 August 1941  ,Argentina,ARG,Marcelo PAGANI,Forward
4 May 1935  ,Argentina,ARG,Jose SANFILIPPO,Forward
1 July 1931  ,Argentina,ARG,Raul BELEN,Forward
9 March 1931  ,Argentina,ARG,Rogelio DOMINGUEZ,Goalkeeper
27 July 1930  ,Argentina,ARG,Oscar ROSSI,Midfielder
28 March 1935  ,Argentina,ARG,Alberto MARIOTTI,Defender
30 March 1933  ,Argentina,ARG,Ruben NAVARRO,Defender
16 May 1937  ,Argentina,ARG,Antonio RATTIN,Midfielder
23 August 1941  ,Argentina,ARG,Rafael ALBRECHT,Defender
5 July 1934  ,Argentina,ARG,Vladislao CAP,Defender
14 November 1936  ,Argentina,ARG,Ruben SOSA,Forward
6 March 1942  ,Argentina,ARG,Juan OLENIAK,Forward
24 September 1937  ,Argentina,ARG,Ramon ABELEDO,Forward
21 August 1941  ,Argentina,ARG,Alberto GONZALEZ,Forward
22 October 1922  ,Argentina,ARG,LORENZO Juan Carlos,Coach
  ,Brazil,BRA,AMARILDO,unspecified
22 August 1930  ,Brazil,BRA,GILMAR (Gilmar Dos Santos Neves),Goalkeeper
27 February 1929  ,Brazil,BRA,DJALMA SANTOS,Defender
30 August 1930  ,Brazil,BRA,MAURO RAMOS,Defender
8 August 1932  ,Brazil,BRA,ZITO,Midfielder
19 June 1932  ,Brazil,BRA,ZOZIMO,Defender
16 May 1925  ,Brazil,BRA,NILTON SANTOS,Defender
28 October 1933  ,Brazil,BRA,GARRINCHA,Forward
8 October 1928  ,Brazil,BRA,DIDI,Midfielder
11 June 1943  ,Brazil,BRA,COUTINHO,Forward
23 October 1940  ,Brazil,BRA,PELÃ (Edson Arantes do Nascimento),Forward
25 February 1935  ,Brazil,BRA,PEPE,Forward
17 July 1936  ,Brazil,BRA,JAIR MARINHO,Defender
7 June 1930  ,Brazil,BRA,BELLINI,Defender
12 November 1940  ,Brazil,BRA,JURANDIR,Defender
22 January 1938  ,Brazil,BRA,ALTAIR,Defender
18 November 1934  ,Brazil,BRA,ZEQUINHA,Midfielder
17 December 1939  ,Brazil,BRA,MENGALVIO,Midfielder
9 July 1940  ,Brazil,BRA,JAIR DA COSTA,Forward
12 November 1934  ,Brazil,BRA,VAVA,Forward
29 June 1939  ,Brazil,BRA,AMARILDO,Forward
9 August 1931  ,Brazil,BRA,Mario ZAGALLO,Forward
27 November 1927  ,Brazil,BRA,CASTILHO,Goalkeeper
26 April 1912  ,Brazil,BRA,MOREIRA Aymore,Coach
12 November 1942  ,Bulgaria,BUL,Dobromir JECHEV,unspecified
21 December 1931  ,Bulgaria,BUL,Georgi NAIDENOV,Goalkeeper
24 May 1932  ,Bulgaria,BUL,Kiril RAKAROV,Defender
14 May 1935  ,Bulgaria,BUL,Ivan DIMITROV,Defender
27 August 1938  ,Bulgaria,BUL,Stoyan KITOV,Defender
27 July 1936  ,Bulgaria,BUL,Dimitar KOSTOV,Defender
4 June 1934  ,Bulgaria,BUL,Nikola KOVACHEV,Midfielder
28 January 1934  ,Bulgaria,BUL,Todor DIEV,Midfielder
13 December 1937  ,Bulgaria,BUL,Dimitar DIMOV,Defender
11 May 1936  ,Bulgaria,BUL,Hristo ILIEV,Forward
