Attendance,AwayCode,AwayScore,AwayTeam,City,Date,Description,HomeCode,HomeScore,HomeTeam,MatchReport,Penalty
87148,URU,0,Uruguay,London,11 July 1966,Group matches - Group 1,ENG,0,England,https://www.fifa.com/worldcup/matches/round=238/match=1636/index.html#nosticky,
36127,SUI,0,Switzerland,Sheffield,12 July 1966,Group matches - Group 2,FRG,5,Germany FR,https://www.fifa.com/worldcup/matches/round=238/match=1656/index.html#nosticky,
47308,BUL,0,Bulgaria,Liverpool,12 July 1966,Group matches - Group 3,BRA,2,Brazil,https://www.fifa.com/worldcup/matches/round=238/match=1596/index.html#nosticky,
23006,PRK,0,Korea DPR,Middlesbrough,12 July 1966,Group matches - Group 4,URS,3,Soviet Union,https://www.fifa.com/worldcup/matches/round=238/match=1710/index.html#nosticky,
69237,MEX,1,Mexico,London,13 July 1966,Group matches - Group 1,FRA,1,France,https://www.fifa.com/worldcup/matches/round=238/match=1650/index.html#nosticky,
29886,HUN,1,Hungary,Manchester,13 July 1966,Group matches - Group 3,POR,3,Portugal,https://www.fifa.com/worldcup/matches/round=238/match=1675/index.html#nosticky,
42738,ESP,1,Spain,Birmingham,13 July 1966,Group matches - Group 2,ARG,2,Argentina,https://www.fifa.com/worldcup/matches/round=238/match=1578/index.html#nosticky,
27199,CHI,0,Chile,Sunderland,13 July 1966,Group matches - Group 4,ITA,2,Italy,https://www.fifa.com/worldcup/matches/round=238/match=1608/index.html#nosticky,
45662,FRA,1,France,London,15 July 1966,Group matches - Group 1,URU,2,Uruguay,https://www.fifa.com/worldcup/matches/round=238/match=1653/index.html#nosticky,
32028,SUI,1,Switzerland,Sheffield,15 July 1966,Group matches - Group 2,ESP,2,Spain,https://www.fifa.com/worldcup/matches/round=238/match=1641/index.html#nosticky,
51387,BRA,1,Brazil,Liverpool,15 July 1966,Group matches - Group 3,HUN,3,Hungary,https://www.fifa.com/worldcup/matches/round=238/match=1597/index.html#nosticky,
13792,CHI,1,Chile,Middlesbrough,15 July 1966,Group matches - Group 4,PRK,1,Korea DPR,https://www.fifa.com/worldcup/matches/round=238/match=1609/index.html#nosticky,
25438,BUL,0,Bulgaria,Manchester,16 July 1966,Group matches - Group 3,POR,3,Portugal,https://www.fifa.com/worldcup/matches/round=238/match=1602/index.html#nosticky,
46587,ARG,0,Argentina,Birmingham,16 July 1966,Group matches - Group 2,FRG,0,Germany FR,https://www.fifa.com/worldcup/matches/round=238/match=1579/index.html#nosticky,
27793,ITA,0,Italy,Sunderland,16 July 1966,Group matches - Group 4,URS,1,Soviet Union,https://www.fifa.com/worldcup/matches/round=238/match=1682/index.html#nosticky,
92570,MEX,0,Mexico,London,16 July 1966,Group matches - Group 1,ENG,2,England,https://www.fifa.com/worldcup/matches/round=238/match=1634/index.html#nosticky,
61112,MEX,0,Mexico,London,19 July 1966,Group matches - Group 1,URU,0,Uruguay,https://www.fifa.com/worldcup/matches/round=238/match=1689/index.html#nosticky,
32127,SUI,0,Switzerland,Sheffield,19 July 1966,Group matches - Group 2,ARG,2,Argentina,https://www.fifa.com/worldcup/matches/round=238/match=1582/index.html#nosticky,
58479,BRA,1,Brazil,Liverpool,19 July 1966,Group matches - Group 3,POR,3,Portugal,https://www.fifa.com/worldcup/matches/round=238/match=1598/index.html#nosticky,
17829,ITA,0,Italy,Middlesbrough,19 July 1966,Group matches - Group 4,PRK,1,Korea DPR,https://www.fifa.com/worldcup/matches/round=238/match=1679/index.html#nosticky,
98270,FRA,0,France,London,20 July 1966,Group matches - Group 1,ENG,2,England,https://www.fifa.com/worldcup/matches/round=238/match=1632/index.html#nosticky,
24129,BUL,1,Bulgaria,Manchester,20 July 1966,Group matches - Group 3,HUN,3,Hungary,https://www.fifa.com/worldcup/matches/round=238/match=1599/index.html#nosticky,
42187,ESP,1,Spain,Birmingham,20 July 1966,Group matches - Group 2,FRG,2,Germany FR,https://www.fifa.com/worldcup/matches/round=238/match=1637/index.html#nosticky,
16027,CHI,1,Chile,Sunderland,20 July 1966,Group matches - Group 4,URS,2,Soviet Union,https://www.fifa.com/worldcup/matches/round=238/match=1610/index.html#nosticky,
90584,ARG,0,Argentina,London,23 July 1966,Quarter-finals,ENG,1,England,https://www.fifa.com/worldcup/matches/round=239/match=1577/index.html#nosticky,
40007,URU,0,Uruguay,Sheffield,23 July 1966,Quarter-finals,FRG,4,Germany FR,https://www.fifa.com/worldcup/matches/round=239/match=1660/index.html#nosticky,
26844,HUN,1,Hungary,Sunderland,23 July 1966,Quarter-finals,URS,2,Soviet Union,https://www.fifa.com/worldcup/matches/round=239/match=1676/index.html#nosticky,
40248,PRK,3,Korea DPR,Liverpool,23 July 1966,Quarter-finals,POR,5,Portugal,https://www.fifa.com/worldcup/matches/round=239/match=1702/index.html#nosticky,
38273,URS,1,Soviet Union,Liverpool,25 July 1966,Semi-finals,FRG,2,Germany FR,https://www.fifa.com/worldcup/matches/round=536/match=1659/index.html#nosticky,
94493,POR,1,Portugal,London,26 July 1966,Semi-finals,ENG,2,England,https://www.fifa.com/worldcup/matches/round=536/match=1635/index.html#nosticky,
87696,URS,1,Soviet Union,London,28 July 1966,Match for third place,POR,2,Portugal,https://www.fifa.com/worldcup/matches/round=3479/match=1709/index.html#nosticky,
96924,FRG,2,Germany FR,London,30 July 1966,Final,ENG,4,England,https://www.fifa.com/worldcup/matches/round=3478/match=1633/index.html#nosticky,
