CountryCode,MatchesPlayed,Player,RedCards,YellowCards
URU,2,Hector SILVA,1,1
ARG,4,Antonio RATTIN,1,1
ARG,3,Rafael ALBRECHT,1,0
URS,4,Igor CHISLENKO,1,0
URU,4,Horacio TROCHE,1,0
FRG,6,Franz BECKENBAUER,0,2
ESP,1,Jesus GLARIA,0,1
BUL,2,Ivan KOLEV,0,1
BUL,2,Dinko DERMENDZHIEV,0,1
BRA,2,DENILSON,0,1
BUL,3,Dobromir JECHEV,0,1
CHI,3,Ruben MARCOS,0,1
URS,4,Galimzyan KHUSAINOV,0,1
ARG,4,Luis ARTIME,0,1
ARG,4,Jorge SOLARI,0,1
URS,4,Yozhef SABO,0,1
URS,5,Valeri VORONIN,0,1
ENG,5,Martin PETERS,0,1
FRG,6,Wolfgang OVERATH,0,1
POR,6,MARIO COLUNA,0,1
POR,6,EUSEBIO (Eusebio da Silva Ferreira),0,1
ENG,6,Nobby STILES,0,1
FRG,6,Wolfgang WEBER,0,1
