CountryCode,Goals,MatchesPlayed,MinutesPlayed,Player
POR,9,6,540,EUSEBIO (Eusebio da Silva Ferreira)
FRG,6,5,480,Helmut HALLER
URS,4,3,270,Valeriy PORKUYAN
ENG,4,3,300,Geoff HURST
HUN,4,4,360,Ferenc BENE
FRG,4,6,570,Franz BECKENBAUER
ARG,3,4,360,Luis ARTIME
URS,3,5,450,Eduard MALOFEYEV
POR,3,6,540,JOSE TORRES
POR,3,6,540,JOSE AUGUSTO
ENG,3,6,570,Roger HUNT
ENG,3,6,570,Bobby CHARLTON
CHI,2,3,270,Ruben MARCOS
URS,2,4,314,Igor CHISLENKO
PRK,2,4,360,PAK Seung Zin
HUN,2,4,360,Kalman MESZOLY
FRG,2,6,570,Uwe SEELER
BRA,1,1,90,TOSTAO
BRA,1,1,90,RILDO
FRA,1,1,90,Hector DE BOURGOING
ESP,1,1,90,Jose Maria FUSTE
SUI,1,2,180,Rene-Pierre QUENTIN
PRK,1,2,180,LI Dong Woon
BRA,1,2,180,GARRINCHA
BRA,1,2,180,PELÃ (Edson Arantes do Nascimento)
ESP,1,2,180,PIRRI
ESP,1,2,180,AMANCIO
PRK,1,2,180,YANG Seung Kook
ITA,1,2,180,Paolo BARISON
ITA,1,3,270,Sandro MAZZOLA
ESP,1,3,270,Manuel SANCHIS
BUL,1,3,270,Georgi ASPARUKHOV
MEX,1,3,270,Enrique BORJA
FRA,1,3,270,Gerard HAUSSER
ARG,1,4,360,Ermindo ONEGA
HUN,1,4,360,Janos FARKAS
URU,1,4,360,Julio CORTES
URU,1,4,360,Pedro ROCHA
PRK,1,4,360,PAK Doo Ik
FRG,1,4,390,Lothar EMMERICH
URS,1,5,450,Anatoli BANISHEVSKI
ENG,1,5,480,Martin PETERS
POR,1,6,540,ANTONIO SIMOES
FRG,1,6,570,Wolfgang WEBER
FRG,1,6,570,Sigi HELD
