Age,Country,CountryCode,Player,Position
13 July 1932  ,Argentina,ARG,Antonio ROMA,Goalkeeper
27 March 1938  ,Argentina,ARG,Roland IRUSTA,Goalkeeper
19 August 1944  ,Argentina,ARG,Hugo GATTI,Goalkeeper
3 October 1942  ,Argentina,ARG,Roberto PERFUMO,Defender
27 May 1932  ,Argentina,ARG,Jose VARACKA,Midfielder
18 November 1939  ,Argentina,ARG,Oscar CALICS,Defender
4 October 1940  ,Argentina,ARG,Silvio MARZOLINI,Defender
25 April 1935  ,Argentina,ARG,Roberto FERRERO,Defender
22 September 1934  ,Argentina,ARG,Carmelo SIMEONE,Midfielder
16 May 1937  ,Argentina,ARG,Antonio RATTIN,Midfielder
23 May 1942  ,Argentina,ARG,Jose PASTORIZA,Midfielder
23 August 1941  ,Argentina,ARG,Rafael ALBRECHT,Midfielder
24 June 1941  ,Argentina,ARG,Nelson LOPEZ,Defender
6 June 1942  ,Argentina,ARG,Mario CHALDU,Forward
11 November 1941  ,Argentina,ARG,Jorge SOLARI,Forward
21 August 1941  ,Argentina,ARG,Alberto GONZALEZ,Forward
22 January 1942  ,Argentina,ARG,Juan SARNARI,Midfielder
20 February 1937  ,Argentina,ARG,Alfredo ROJAS,Forward
2 December 1938  ,Argentina,ARG,Luis ARTIME,Forward
30 April 1940  ,Argentina,ARG,Ermindo ONEGA,Forward
29 October 1946  ,Argentina,ARG,Oscar MAS,Forward
4 August 1941  ,Argentina,ARG,Anibal TARABINI,Forward
22 October 1922  ,Argentina,ARG,LORENZO Juan Carlos,Coach
22 August 1930  ,Brazil,BRA,GILMAR (Gilmar Dos Santos Neves),Goalkeeper
27 February 1929  ,Brazil,BRA,DJALMA SANTOS,Defender
13 March 1944  ,Brazil,BRA,FIDELIS,Defender
7 June 1930  ,Brazil,BRA,BELLINI,Defender
9 August 1939  ,Brazil,BRA,BRITO,Defender
22 January 1938  ,Brazil,BRA,ALTAIR,Defender
20 September 1935  ,Brazil,BRA,ORLANDO,Defender
5 January 1943  ,Brazil,BRA,PAULO HENRIQUE,Defender
23 January 1942  ,Brazil,BRA,RILDO,Defender
23 October 1940  ,Brazil,BRA,PELÃ (Edson Arantes do Nascimento),Forward
11 January 1941  ,Brazil,BRA,GERSON,Midfielder
26 April 1937  ,Brazil,BRA,MANGA,Goalkeeper
28 March 1943  ,Brazil,BRA,DENILSON,Midfielder
18 January 1942  ,Brazil,BRA,LIMA,Midfielder
8 August 1932  ,Brazil,BRA,ZITO,Midfielder
28 October 1933  ,Brazil,BRA,GARRINCHA,Forward
25 December 1944  ,Brazil,BRA,JAIRZINHO,Forward
16 December 1945  ,Brazil,BRA,ALCINDO,Forward
2 January 1940  ,Brazil,BRA,SILVA,Forward
25 January 1947  ,Brazil,BRA,TOSTAO,Midfielder
21 March 1942  ,Brazil,BRA,PARANA,Forward
6 August 1949  ,Brazil,BRA,EDU,Forward
1 November 1909  ,Brazil,BRA,FEOLA Vicente,Coach
21 December 1931  ,Bulgaria,BUL,Georgi NAIDENOV,Goalkeeper
4 September 1941  ,Bulgaria,BUL,Aleksandar SHALAMANOV,Defender
14 December 1939  ,Bulgaria,BUL,Ivan VUTSOV,Defender
7 October 1941  ,Bulgaria,BUL,Boris GAGANELOV,Defender
12 July 1945  ,Bulgaria,BUL,Dimitar PENEV,Defender
12 November 1942  ,Bulgaria,BUL,Dobromir JECHEV,Forward
2 June 1941  ,Bulgaria,BUL,Dinko DERMENDZHIEV,Midfielder
27 August 1938  ,Bulgaria,BUL,Stoyan KITOV,Midfielder
4 May 1943  ,Bulgaria,BUL,Georgi ASPARUKHOV,Forward
10 October 1944  ,Bulgaria,BUL,Petar ZHEKOV,Forward
1 November 1930  ,Bulgaria,BUL,Ivan KOLEV,Forward
6 January 1935  ,Bulgaria,BUL,Vasil METODIEV,Defender
12 August 1941  ,Bulgaria,BUL,Dimitar YAKIMOV,Forward
9 December 1938  ,Bulgaria,BUL,Nikola KOTKOV,Forward
10 September 1936  ,Bulgaria,BUL,Dimitar LARGOV,Defender
5 March 1938  ,Bulgaria,BUL,Aleksandar KOSTOV,Forward
3 July 1934  ,Bulgaria,BUL,Stefan ABADZHIEV,Forward
5 September 1939  ,Bulgaria,BUL,Evgeni YANCHOVSKI,Midfielder
17 October 1941  ,Bulgaria,BUL,Vidin APOSTOLOV,Defender
5 October 1943  ,Bulgaria,BUL,Ivan DAVIDOV,Midfielder
26 April 1946  ,Bulgaria,BUL,Simeon SIMEONOV,Goalkeeper
16 December 1937  ,Bulgaria,BUL,Ivan DEYANOV,Goalkeeper
9 February 1912  ,Bulgaria,BUL,VYTLACIL Rudolf,Coach
23 January 1942  ,Chile,CHI,Pedro ARAYA,Forward
31 December 1941  ,Chile,CHI,Hugo BERLY,Defender
14 February 1937  ,Chile,CHI,Carlos CAMPOS,Forward
8 December 1939  ,Chile,CHI,Humberto CRUZ,Midfielder
9 October 1938  ,Chile,CHI,Humberto DONOSO,Defender
22 June 1939  ,Chile,CHI,Luis EYZAGUIRRE,Defender
25 October 1946  ,Chile,CHI,Elias FIGUEROA,Defender
22 November 1940  ,Chile,CHI,Alberto FOUILLOUX,Midfielder
26 November 1936  ,Chile,CHI,Adan GODOY,Goalkeeper
30 July 1944  ,Chile,CHI,Roberto HODGE,Midfielder
1 June 1942  ,Chile,CHI,Honorino LANDA,Forward
6 December 1942  ,Chile,CHI,Ruben MARCOS,Midfielder
20 February 1941  ,Chile,CHI,Juan OLIVARES,Goalkeeper
23 September 1943  ,Chile,CHI,Ignacio PRIETO,Midfielder
14 August 1931  ,Chile,CHI,Jaime RAMIREZ,Forward
7 May 1943  ,Chile,CHI,Orlando RAMIREZ,Forward
25 April 1936  ,Chile,CHI,Leonel SANCHEZ,Midfielder
7 June 1938  ,Chile,CHI,Armando TOBAR,Forward
19 March 1943  ,Chile,CHI,Francisco VALDES,Forward
25 November 1938  ,Chile,CHI,Alberto VALENTINI,Defender
9 April 1939  ,Chile,CHI,Hugo VILLANUEVA,Defender
26 March 1943  ,Chile,CHI,Guillermo YAVAR,Forward
25 December 1923  ,Chile,CHI,ALAMOS Luis,Coach
30 December 1937  ,England,ENG,Gordon BANKS,Goalkeeper
22 October 1939  ,England,ENG,George COHEN,Defender
17 December 1934  ,England,ENG,Ray WILSON,Defender
18 May 1942  ,England,ENG,Nobby STILES,Midfielder
8 May 1935  ,England,ENG,Jack CHARLTON,Defender
12 April 1941  ,England,ENG,Bobby MOORE,Defender
12 May 1945  ,England,ENG,Alan BALL,Midfielder
20 February 1940  ,England,ENG,Jimmy GREAVES,Forward
11 October 1937  ,England,ENG,Bobby CHARLTON,Forward
8 December 1941  ,England,ENG,Geoff HURST,Forward
18 July 1938  ,England,ENG,John CONNELLY,Forward
22 July 1935  ,England,ENG,Ron SPRINGETT,Goalkeeper
27 September 1941  ,England,ENG,Peter BONETTI,Goalkeeper
21 September 1935  ,England,ENG,Jimmy ARMFIELD,Defender
29 August 1938  ,England,ENG,Gerry BYRNE,Defender
8 November 1943  ,England,ENG,Martin PETERS,Midfielder
28 July 1934  ,England,ENG,Ron FLOWERS,Midfielder
29 October 1943  ,England,ENG,Norman HUNTER,Defender
23 March 1939  ,England,ENG,Terry PAINE,Forward
10 April 1942  ,England,ENG,Ian CALLAGHAN,Midfielder
20 July 1938  ,England,ENG,Roger HUNT,Forward
23 September 1936  ,England,ENG,George EASTHAM,Forward
22 January 1920  ,England,ENG,RAMSEY Alf,Coach
17 June 1940  ,France,FRA,Marcel AUBOUR,Goalkeeper
2 July 1938  ,France,FRA,Marcel ARTELESA,Midfielder
19 October 1942  ,France,FRA,Edmond BARAFFE,Forward
4 January 1939  ,France,FRA,Joseph BONNEL,Midfielder
19 June 1942  ,France,FRA,Bernard BOSQUIER,Defender
21 May 1940  ,France,FRA,Robert BUDZYNSKI,Defender
20 February 1938  ,France,FRA,Andre CHORDA,Defender
29 December 1940  ,France,FRA,Nestor COMBIN,Forward
25 July 1944  ,France,FRA,Didier COUECOU,Forward
23 July 1934  ,France,FRA,Hector DE BOURGOING,Forward
6 March 1941  ,France,FRA,Gabriel DE MICHELE,Defender
27 October 1939  ,France,FRA,Jean DJORKAEFF,Defender
17 May 1942  ,France,FRA,Philippe GONDET,Forward
18 March 1939  ,France,FRA,Gerard HAUSSER,Forward
17 August 1945  ,France,FRA,Yves HERBERT,Midfielder
30 March 1939  ,France,FRA,Robert HERBIN,Midfielder
3 September 1934  ,France,FRA,Lucien MULLER,Midfielder
27 May 1940  ,France,FRA,Jean Claude PIUMI,Midfielder
5 October 1935  ,France,FRA,Laurent ROBUSCHI,Forward
25 March 1941  ,France,FRA,Jacques SIMON,Forward
13 August 1942  ,France,FRA,Georges CARNUS,Goalkeeper
7 December 1941  ,France,FRA,Johnny SCHUTH,Goalkeeper
27 August 1921  ,France,FRA,GUERIN Henri,Coach
12 July 1935  ,Germany FR,FRG,Hans TILKOWSKI,Goalkeeper
10 September 1943  ,Germany FR,FRG,Horst-Dieter HOETTGES,Defender
31 March 1939  ,Germany FR,FRG,Karl-Heinz SCHNELLINGER,Defender
11 September 1945  ,Germany FR,FRG,Franz BECKENBAUER,Midfielder
