Attendance,AwayCode,AwayScore,AwayTeam,City,Date,Description,HomeCode,HomeScore,HomeTeam,MatchReport,Penalty
107160,URS,0,Soviet Union,Mexico City,31 May 1970,Group matches - Group 1,MEX,0,Mexico,https://www.fifa.com/worldcup/matches/round=250/match=1902/index.html#nosticky,
20654,ISR,0,Israel,Puebla,02 June 1970,Group matches - Group 2,URU,2,Uruguay,https://www.fifa.com/worldcup/matches/round=250/match=1881/index.html#nosticky,
13765,BUL,2,Bulgaria,Leon,02 June 1970,Group matches - Group 4,PER,3,Peru,https://www.fifa.com/worldcup/matches/round=250/match=1780/index.html#nosticky,
50560,ROU,0,Romania,Guadalajara,02 June 1970,Group matches - Group 3,ENG,1,England,https://www.fifa.com/worldcup/matches/round=250/match=1812/index.html#nosticky,
13433,SWE,0,Sweden,Toluca,03 June 1970,Group matches - Group 2,ITA,1,Italy,https://www.fifa.com/worldcup/matches/round=250/match=1883/index.html#nosticky,
12942,MAR,1,Morocco,Leon,03 June 1970,Group matches - Group 4,FRG,2,Germany FR,https://www.fifa.com/worldcup/matches/round=250/match=1839/index.html#nosticky,
52897,TCH,1,Czechoslovakia,Guadalajara,03 June 1970,Group matches - Group 3,BRA,4,Brazil,https://www.fifa.com/worldcup/matches/round=250/match=1770/index.html#nosticky,
92205,SLV,0,El Salvador,Mexico City,03 June 1970,Group matches - Group 1,BEL,3,Belgium,https://www.fifa.com/worldcup/matches/round=250/match=1747/index.html#nosticky,
29968,ITA,0,Italy,Puebla,06 June 1970,Group matches - Group 2,URU,0,Uruguay,https://www.fifa.com/worldcup/matches/round=250/match=1884/index.html#nosticky,
13537,MAR,0,Morocco,Leon,06 June 1970,Group matches - Group 4,PER,3,Peru,https://www.fifa.com/worldcup/matches/round=250/match=1893/index.html#nosticky,
56818,TCH,1,Czechoslovakia,Guadalajara,06 June 1970,Group matches - Group 3,ROU,2,Romania,https://www.fifa.com/worldcup/matches/round=250/match=1919/index.html#nosticky,
95261,BEL,1,Belgium,Mexico City,06 June 1970,Group matches - Group 1,URS,4,Soviet Union,https://www.fifa.com/worldcup/matches/round=250/match=1753/index.html#nosticky,
9624,ISR,1,Israel,Toluca,07 June 1970,Group matches - Group 2,SWE,1,Sweden,https://www.fifa.com/worldcup/matches/round=250/match=1880/index.html#nosticky,
12710,BUL,2,Bulgaria,Leon,07 June 1970,Group matches - Group 4,FRG,5,Germany FR,https://www.fifa.com/worldcup/matches/round=250/match=1774/index.html#nosticky,
66843,ENG,0,England,Guadalajara,07 June 1970,Group matches - Group 3,BRA,1,Brazil,https://www.fifa.com/worldcup/matches/round=250/match=1764/index.html#nosticky,
103058,SLV,0,El Salvador,Mexico City,07 June 1970,Group matches - Group 1,MEX,4,Mexico,https://www.fifa.com/worldcup/matches/round=250/match=1820/index.html#nosticky,
18163,URU,0,Uruguay,Puebla,10 June 1970,Group matches - Group 2,SWE,1,Sweden,https://www.fifa.com/worldcup/matches/round=250/match=1922/index.html#nosticky,
17875,PER,1,Peru,Leon,10 June 1970,Group matches - Group 4,FRG,3,Germany FR,https://www.fifa.com/worldcup/matches/round=250/match=1840/index.html#nosticky,
50804,ROU,2,Romania,Guadalajara,10 June 1970,Group matches - Group 3,BRA,3,Brazil,https://www.fifa.com/worldcup/matches/round=250/match=1769/index.html#nosticky,
89979,SLV,0,El Salvador,Mexico City,10 June 1970,Group matches - Group 1,URS,2,Soviet Union,https://www.fifa.com/worldcup/matches/round=250/match=1823/index.html#nosticky,
9890,ISR,0,Israel,Toluca,11 June 1970,Group matches - Group 2,ITA,0,Italy,https://www.fifa.com/worldcup/matches/round=250/match=1877/index.html#nosticky,
12299,MAR,1,Morocco,Leon,11 June 1970,Group matches - Group 4,BUL,1,Bulgaria,https://www.fifa.com/worldcup/matches/round=250/match=1779/index.html#nosticky,
49292,TCH,0,Czechoslovakia,Guadalajara,11 June 1970,Group matches - Group 3,ENG,1,England,https://www.fifa.com/worldcup/matches/round=250/match=1813/index.html#nosticky,
108192,BEL,0,Belgium,Mexico City,11 June 1970,Group matches - Group 1,MEX,1,Mexico,https://www.fifa.com/worldcup/matches/round=250/match=1752/index.html#nosticky,
26851,MEX,1,Mexico,Toluca,14 June 1970,Quarter-finals,ITA,4,Italy,https://www.fifa.com/worldcup/matches/round=251/match=1882/index.html#nosticky,
23357,ENG,2,England,Leon,14 June 1970,Quarter-finals,FRG,3,Germany FR,https://www.fifa.com/worldcup/matches/round=251/match=1811/index.html#nosticky,
54233,PER,2,Peru,Guadalajara,14 June 1970,Quarter-finals,BRA,4,Brazil,https://www.fifa.com/worldcup/matches/round=251/match=1768/index.html#nosticky,
26085,URS,0,Soviet Union,Mexico City,14 June 1970,Quarter-finals,URU,1,Uruguay,https://www.fifa.com/worldcup/matches/round=251/match=1925/index.html#nosticky,
51261,URU,1,Uruguay,Guadalajara,17 June 1970,Semi-finals,BRA,3,Brazil,https://www.fifa.com/worldcup/matches/round=569/match=1771/index.html#nosticky,
102444,FRG,3,Germany FR,Mexico City,17 June 1970,Semi-finals,ITA,4,Italy,https://www.fifa.com/worldcup/matches/round=569/match=1838/index.html#nosticky,
104403,URU,0,Uruguay,Mexico City,20 June 1970,Match for third place,FRG,1,Germany FR,https://www.fifa.com/worldcup/matches/round=3477/match=1843/index.html#nosticky,
107412,ITA,1,Italy,Mexico City,21 June 1970,Final,BRA,4,Brazil,https://www.fifa.com/worldcup/matches/round=3476/match=1765/index.html#nosticky,
