CountryCode,MatchesPlayed,Player,RedCards,YellowCards
ENG,3,Francis LEE,0,2
ISR,3,David PRIMO,0,2
MEX,4,Gustavo PENA,0,2
URU,4,Dagoberto FONTES,0,2
FRG,6,Gerd MUELLER,0,2
FRG,1,Max LORENZ,0,1
URS,1,Givili NODIYA,0,1
ISR,1,Menachem BELLO,0,1
SWE,1,Claes CRONQVIST,0,1
URS,2,Gennadi LOGOFET,0,1
URS,2,Evgeni LOVCHEV,0,1
SLV,2,Sergio MENDEZ,0,1
TCH,2,Alexander HORVATH,0,1
TCH,2,Andrej KVASNAK,0,1
SWE,2,Orjan PERSSON,0,1
BEL,3,Jean THISSEN,0,1
TCH,3,Karol DOBIAS,0,1
SLV,3,Salvador FLAMENCO CABEZAS,0,1
SLV,3,Salvador MARIONA,0,1
SLV,3,Raul MAGANA,0,1
ROU,3,Radu NUNWEILLER,0,1
ROU,3,Mihai MOCANU,0,1
ROU,3,Ion DUMITRU,0,1
ISR,3,Shraga BAR,0,1
URS,3,Kakhi ASATIANI,0,1
BEL,3,Paul VAN HIMST,0,1
ITA,4,Gianni RIVERA,0,1
URS,4,Anatoly BISHOVETS,0,1
URS,4,Vitali KHMELNITSKI,0,1
MEX,4,Javier VALDIVIA,0,1
BRA,4,GERSON,0,1
BRA,5,RIVELINO,0,1
BRA,6,CARLOS ALBERTO,0,1
BRA,6,TOSTAO,0,1
URU,6,Luis UBINA,0,1
ITA,6,Roberto BONINSEGNA,0,1
ITA,6,Tarcisio BURGNICH,0,1
ITA,6,Angelo DOMENGHINI,0,1
ITA,6,Giancarlo DE SISTI,0,1
FRG,6,Wolfgang OVERATH,0,1
URU,6,Julio CORTES,0,1
ITA,6,Roberto ROSATO,0,1
URU,6,Julio MONTERO CASTILLO,0,1
URU,6,Juan MUJICA,0,1
URU,6,Ildo MANEIRO,0,1
FRG,6,Hennes LOEHR,0,1
