CountryCode,Goals,MatchesPlayed,MinutesPlayed,Player
FRG,10,6,600,Gerd MUELLER
BRA,7,6,530,JAIRZINHO
PER,5,4,360,Teofilo CUBILLAS
URS,4,4,390,Anatoly BISHOVETS
BRA,4,6,540,PELÃ (Edson Arantes do Nascimento)
BRA,3,5,450,RIVELINO
ITA,3,6,570,Gigi RIVA
FRG,3,6,600,Uwe SEELER
ITA,2,4,170,Gianni RIVERA
BEL,2,2,180,Raoul LAMBERT
ROU,2,3,252,Florea DUMITRACHE
TCH,2,3,270,Ladislav PETRAS
BEL,2,3,270,Wilfried VAN MOER
MEX,2,4,315,Javier VALDIVIA
PER,2,4,346,Alberto GALLARDO
BRA,2,6,518,TOSTAO
ITA,2,6,564,Roberto BONINSEGNA
MEX,1,2,59,Juan Ignacio BASAGUREN
ENG,1,1,90,Allan CLARKE
SWE,1,2,96,Ove GRAHN
SWE,1,2,122,Tom TURESSON
BUL,1,2,135,Dinko DERMENDZHIEV
BUL,1,2,180,Todor KOLEV
MAR,1,2,180,Houmane JARIR
BUL,1,2,180,Asparukh NIKODIMOV
ROU,1,3,197,Alexandru NEAGU
BUL,1,3,203,Hristo BONEV
MAR,1,3,236,Mahjoub GHAZOUANI
MEX,1,3,248,Jose Luis GONZALEZ
URS,1,3,251,Kakhi ASATIANI
ROU,1,3,270,Emerich DEMBROVSCHI
ISR,1,3,270,Mordechai SPIEGLER
ENG,1,3,300,Geoff HURST
BRA,1,4,309,GERSON
URU,1,6,316,Victor ESPARRAGO
URS,1,4,324,Vitali KHMELNITSKI
PER,1,4,342,Roberto CHALLE
ENG,1,4,351,Martin PETERS
MEX,1,4,360,Gustavo PENA
PER,1,4,360,Hector CHUMPITAZ
MEX,1,4,360,Javier FRAGOSO
FRG,1,5,360,Stan LIBUDA
ENG,1,4,390,Alan MULLERY
FRG,1,5,465,Karl-Heinz SCHNELLINGER
ITA,1,6,475,Angelo DOMENGHINI
URU,1,5,480,Luis CUBILLA
FRG,1,5,492,Franz BECKENBAUER
BRA,1,6,524,CLODOALDO
URU,1,6,534,Ildo MANEIRO
BRA,1,6,540,CARLOS ALBERTO
ITA,1,6,570,Tarcisio BURGNICH
URU,1,6,570,Juan MUJICA
FRG,1,6,600,Wolfgang OVERATH
