CountryCode,Goals,MatchesPlayed,MinutesPlayed,Player
POL,7,7,630,Grzegorz LATO
POL,5,6,460,Andrzej SZARMACH
NED,5,7,614,Johan NEESKENS
SWE,4,6,540,Ralf EDSTROM
FRG,4,7,630,Gerd MUELLER
NED,4,7,630,Johnny REP
YUG,3,3,250,Dusan BAJEVIC
ARG,3,6,328,Rene HOUSEMAN
POL,3,7,620,Kazimierz DEYNA
NED,3,7,630,Johan CRUYFF
FRG,3,7,630,Paul BREITNER
BRA,3,7,630,RIVELINO
YUG,2,4,220,Stanislav KARASI
ARG,2,3,258,Hector YAZALDE
HAI,2,3,270,Emmanuel SANON
SCO,2,3,270,Joe JORDAN
GDR,2,4,350,Joachim STREICH
SWE,2,6,540,Roland SANDBERG
YUG,2,6,540,Ivica SURJAK
FRG,2,7,594,Wolfgang OVERATH
BRA,2,7,630,JAIRZINHO
NED,1,4,73,Theo DE JONG
ITA,1,2,156,Gianni RIVERA
ITA,1,3,200,Pietro ANASTASI
FRG,1,3,247,Bernd CULLMANN
ARG,1,4,257,Miguel BRINDISI
SCO,1,3,270,Peter LORIMER
ITA,1,3,270,Romeo BENETTI
BUL,1,3,270,Hristo BONEV
ITA,1,3,270,Fabio CAPELLO
CHI,1,3,270,Sergio AHUMADA
URU,1,3,270,Ricardo PAVONI
YUG,1,5,357,Ilija PETKOVIC
FRG,1,4,360,Rainer BONHOF
YUG,1,5,370,Branko OBLAK
SWE,1,5,374,Conny TORSTENSSON
YUG,1,5,444,Dragan DZAJIC
ARG,1,5,450,Carlos BABINGTON
YUG,1,5,450,Vladislav BOGICEVIC
NED,1,6,472,Rob RENSENBRINK
FRG,1,6,476,Juergen GRABOWSKI
GDR,1,6,485,Martin HOFFMANN
BRA,1,6,530,VALDOMIRO
ARG,1,6,540,Ruben AYALA
YUG,1,6,540,Josip KATALINSKI
ARG,1,6,540,Ramon HEREDIA
GDR,1,6,540,Juergen SPARWASSER
FRG,1,7,557,Uli HOENESS
POL,1,7,630,Jerzy GORGON
NED,1,7,630,Ruud KROL
