Age,Country,CountryCode,Player,Position
4 December 1946  ,Argentina,ARG,Daniel CARNEVALI,Goalkeeper
8 January 1950  ,Argentina,ARG,Ruben AYALA,Forward
20 September 1949  ,Argentina,ARG,Carlos BABINGTON,Forward
1 September 1945  ,Argentina,ARG,Augustin BALBUENA,Forward
29 October 1946  ,Argentina,ARG,Angel BARGAS,Defender
8 October 1950  ,Argentina,ARG,Miguel BRINDISI,Midfielder
15 August 1948  ,Argentina,ARG,Jorge CARRASCOSA,Defender
29 July 1947  ,Argentina,ARG,Enrique CHAZARRETA,Midfielder
10 March 1948  ,Argentina,ARG,Ruben GLARIA,Defender
26 February 1951  ,Argentina,ARG,Ramon HEREDIA,Defender
19 July 1953  ,Argentina,ARG,Rene HOUSEMAN,Forward
21 July 1950  ,Argentina,ARG,Ubaldo FILLOL,Goalkeeper
15 July 1954  ,Argentina,ARG,Mario KEMPES,Forward
3 October 1942  ,Argentina,ARG,Roberto PERFUMO,Defender
14 September 1945  ,Argentina,ARG,Aldo POY,Forward
25 October 1945  ,Argentina,ARG,Francisco SA,Defender
4 June 1948  ,Argentina,ARG,Carlos SQUEO,Defender
6 November 1943  ,Argentina,ARG,Roberto TELCH,Midfielder
27 November 1942  ,Argentina,ARG,Nestor TOGNERI,Defender
21 February 1949  ,Argentina,ARG,Enrique WOLFF,Defender
27 February 1942  ,Argentina,ARG,Miguel SANTORO,Goalkeeper
29 May 1946  ,Argentina,ARG,Hector YAZALDE,Forward
5 July 1934  ,Argentina,ARG,CAP Vladislao,Coach
27 August 1945  ,Australia,AUS,Jack REILLY,Goalkeeper
8 October 1946  ,Australia,AUS,Doug UTJESENOVIC,Defender
15 September 1947  ,Australia,AUS,Peter WILSON,Defender
12 February 1943  ,Australia,AUS,Manfred SCHAEFER,Defender
21 August 1947  ,Australia,AUS,Colin CURRAN,Defender
18 May 1946  ,Australia,AUS,Ray RICHARDS,Midfielder
10 October 1945  ,Australia,AUS,Jimmy ROONEY,Midfielder
19 December 1943  ,Australia,AUS,Jimmy MACKAY,Midfielder
17 May 1943  ,Australia,AUS,John WARREN,Midfielder
20 February 1950  ,Australia,AUS,Gary MANUEL,Forward
