Attendance,AwayCode,AwayScore,AwayTeam,City,Date,Description,HomeCode,HomeScore,HomeTeam,MatchReport,Penalty
67579,POL,0,Poland,Buenos Aires,01 June 1978,Group matches - Group 2,FRG,0,Germany FR,https://www.fifa.com/worldcup/matches/round=278/match=2351/index.html#nosticky,
42373,FRA,1,France,Mar Del Plata,02 June 1978,Group matches - Group 1,ITA,2,Italy,https://www.fifa.com/worldcup/matches/round=278/match=2347/index.html#nosticky,
17396,MEX,1,Mexico,Rosario,02 June 1978,Group matches - Group 2,TUN,3,Tunisia,https://www.fifa.com/worldcup/matches/round=278/match=2433/index.html#nosticky,
71615,HUN,1,Hungary,Buenos Aires,02 June 1978,Group matches - Group 1,ARG,2,Argentina,https://www.fifa.com/worldcup/matches/round=278/match=2199/index.html#nosticky,
32569,BRA,1,Brazil,Mar Del Plata,03 June 1978,Group matches - Group 3,SWE,1,Sweden,https://www.fifa.com/worldcup/matches/round=278/match=2253/index.html#nosticky,
40841,ESP,1,Spain,Buenos Aires,03 June 1978,Group matches - Group 3,AUT,2,Austria,https://www.fifa.com/worldcup/matches/round=278/match=2216/index.html#nosticky,
37927,SCO,1,Scotland,Cordoba,03 June 1978,Group matches - Group 4,PER,3,Peru,https://www.fifa.com/worldcup/matches/round=278/match=2451/index.html#nosticky,
33431,IRN,0,Iran,Mendoza,03 June 1978,Group matches - Group 4,NED,3,Netherlands,https://www.fifa.com/worldcup/matches/round=278/match=2388/index.html#nosticky,
26533,HUN,1,Hungary,Mar Del Plata,06 June 1978,Group matches - Group 1,ITA,3,Italy,https://www.fifa.com/worldcup/matches/round=278/match=2396/index.html#nosticky,
9624,TUN,0,Tunisia,Rosario,06 June 1978,Group matches - Group 2,POL,1,Poland,https://www.fifa.com/worldcup/matches/round=278/match=2454/index.html#nosticky,
35258,MEX,0,Mexico,Cordoba,06 June 1978,Group matches - Group 2,FRG,6,Germany FR,https://www.fifa.com/worldcup/matches/round=278/match=2350/index.html#nosticky,
