CountryCode,MatchesPlayed,Player,RedCards,YellowCards
HUN,2,Andras TOROCSIK,1,1
HUN,2,Tibor NYILASI,1,1
NED,3,Dick NANNINGA,1,1
PER,5,Jose VELASQUEZ,0,3
IRN,2,Andranik ESKANDARIAN,0,2
ITA,6,Marco TARDELLI,0,2
ITA,6,Romeo BENETTI,0,2
ARG,2,Omar LARROSA,0,1
FRA,2,Henri MICHEL,0,1
PER,2,Alfredo QUESADA,0,1
ARG,2,Ricardo VILLA,0,1
FRA,3,Michel PLATINI,0,1
FRG,3,Ruediger ABRAMCZIK,0,1
SWE,3,Hasse BORG,0,1
SCO,3,Archie GEMMILL,0,1
TUN,3,Tarek DHIAB,0,1
ESP,3,Eugenio LEAL,0,1
HUN,3,Gyozo MARTOS,0,1
IRN,3,Hassan NAZARI,0,1
HUN,3,Sandor ZOMBORI,0,1
FRA,3,Didier SIX,0,1
MEX,3,Arturo VAZQUEZ,0,1
BRA,3,EDINHO,0,1
BRA,3,CHICAO,0,1
BRA,4,NELINHO,0,1
FRG,4,Hansi MUELLER,0,1
NED,4,Wim SUURBIER,0,1
NED,5,Johan NEESKENS,0,1
BRA,5,ROBERTO DINAMITE,0,1
POL,5,Jerzy GORGON,0,1
NED,6,Arie HAAN,0,1
FRG,6,Rainer BONHOF,0,1
BRA,6,JORGE MENDONCA,0,1
ARG,6,Osvaldo ARDILES,0,1
POL,6,Zbigniew BONIEK,0,1
AUT,6,Herbert PROHASKA,0,1
AUT,6,Robert SARA,0,1
BRA,6,TONINHO CEREZO,0,1
BRA,6,ZICO,0,1
FRG,6,Sepp MAIER,0,1
PER,6,Ramon QUIROGA,0,1
NED,6,Johnny REP,0,1
PER,6,Rodolfo MANZO,0,1
POL,6,Henryk MACULEWICZ,0,1
PER,6,Juan MUNANTE,0,1
ARG,7,Americo GALLEGO,0,1
NED,7,Rene VAN DE KERKHOF,0,1
NED,7,Willy VAN DE KERKHOF,0,1
ARG,7,Daniel PASSARELLA,0,1
NED,7,Ruud KROL,0,1
BRA,7,BATISTA,0,1
ITA,7,Antonio CABRINI,0,1
BRA,7,OSCAR,0,1
ITA,7,Claudio GENTILE,0,1
