CountryCode,Goals,MatchesPlayed,MinutesPlayed,Player
ARG,6,7,660,Mario KEMPES
PER,5,6,540,Teofilo CUBILLAS
NED,5,7,660,Rob RENSENBRINK
ARG,4,5,480,Leopoldo LUQUE
AUT,4,6,540,Hans KRANKL
FRG,3,5,450,Karl-Heinz RUMMENIGGE
BRA,3,5,450,ROBERTO DINAMITE
NED,3,6,484,Johnny REP
BRA,3,7,544,DIRCEU
ITA,3,7,630,Paolo ROSSI
SCO,2,3,195,Archie GEMMILL
BRA,2,4,274,NELINHO
FRG,2,4,330,Dieter MUELLER
FRG,2,4,338,Heinz FLOHE
NED,2,4,366,Ernie BRANDTS
POL,2,6,381,Zbigniew BONIEK
ARG,2,6,477,Daniel BERTONI
POL,2,6,540,Grzegorz LATO
NED,2,6,570,Arie HAAN
ITA,2,7,605,Roberto BETTEGA
HUN,1,1,45,Andras TOTH
ESP,1,1,90,DANI
NED,1,3,90,Dick NANNINGA
FRA,1,2,106,Marc BERDOLL
IRN,1,3,112,Hassan ROWSHAN
FRA,1,2,164,Bernard LACOMBE
FRA,1,2,165,Dominique ROCHETEAU
IRN,1,2,179,Iraj DANAYFAR
FRA,1,2,180,Christian LOPEZ
HUN,1,3,197,Karoly CSAPO
AUT,1,3,214,Walter SCHACHNER
FRA,1,3,225,Michel PLATINI
BRA,1,3,225,REINALDO
BRA,1,6,229,ZICO
SWE,1,3,246,Thomas SJOBERG
SCO,1,3,254,Kenny DALGLISH
FRG,1,3,270,Bernd HOELZENBEIN
SCO,1,3,270,Joe JORDAN
MEX,1,3,270,Arturo VAZQUEZ
HUN,1,3,270,Sandor ZOMBORI
MEX,1,3,270,Victor RANGEL
FRG,1,3,270,Ruediger ABRAMCZIK
TUN,1,3,270,Mokhtar DOUIEB
ESP,1,3,270,Juan Manuel ASENSI
TUN,1,3,270,Nejib GHOMMIDH
TUN,1,3,270,Ali KAABI
ITA,1,5,287,Renato ZACCARELLI
FRG,1,4,315,Hansi MUELLER
ARG,1,6,330,Rene HOUSEMAN
PER,1,5,411,Jose VELASQUEZ
POL,1,5,420,Andrzej SZARMACH
NED,1,7,520,Rene VAN DE KERKHOF
ITA,1,6,527,Romeo BENETTI
PER,1,6,532,Cesar CUETO
POL,1,6,540,Kazimierz DEYNA
AUT,1,6,540,Erich OBERMAYER
ITA,1,7,585,Franco CAUSIO
ARG,1,7,660,Daniel PASSARELLA
NED,1,7,660,Willy VAN DE KERKHOF
ARG,1,7,660,Alberto TARANTINI
