Age,Country,CountryCode,Player,Position
4 January 1953  ,Argentina,ARG,Norberto ALONSO,Midfielder
3 August 1952  ,Argentina,ARG,Osvaldo ARDILES,Midfielder
16 November 1950  ,Argentina,ARG,Hector BALEY,Goalkeeper
14 March 1955  ,Argentina,ARG,Daniel BERTONI,Forward
21 July 1950  ,Argentina,ARG,Ubaldo FILLOL,Goalkeeper
25 April 1955  ,Argentina,ARG,Americo GALLEGO,Midfielder
24 February 1948  ,Argentina,ARG,Luis GALVAN,Defender
7 April 1952  ,Argentina,ARG,Ruben GALVAN,Defender
19 July 1953  ,Argentina,ARG,Rene HOUSEMAN,Midfielder
15 July 1954  ,Argentina,ARG,Mario KEMPES,Forward
21 December 1949  ,Argentina,ARG,Daniel KILLER,Defender
18 November 1947  ,Argentina,ARG,Omar LARROSA,Midfielder
6 February 1952  ,Argentina,ARG,Ricardo LA VOLPE,Goalkeeper
3 May 1949  ,Argentina,ARG,Leopoldo LUQUE,Forward
17 May 1952  ,Argentina,ARG,Jorge OLGUIN,Defender
8 April 1953  ,Argentina,ARG,Oscar ORTIZ,Forward
12 October 1950  ,Argentina,ARG,Miguel OVIEDO,Midfielder
31 January 1949  ,Argentina,ARG,Ruben PAGNANINI,Defender
25 May 1953  ,Argentina,ARG,Daniel PASSARELLA,Defender
3 December 1955  ,Argentina,ARG,Alberto TARANTINI,Defender
3 October 1955  ,Argentina,ARG,Jose VALENCIA,Midfielder
18 August 1952  ,Argentina,ARG,Ricardo VILLA,Midfielder
5 November 1938  ,Argentina,ARG,MENOTTI Cesar Luis,Coach
25 February 1948  ,Austria,AUT,Friedl KONCILIA,Goalkeeper
9 June 1946  ,Austria,AUT,Robert SARA,Defender
23 January 1953  ,Austria,AUT,Erich OBERMAYER,Defender
14 October 1954  ,Austria,AUT,Gerhard BREITENBERGER,Defender
3 February 1955  ,Austria,AUT,Bruno PEZZEY,Defender
7 December 1948  ,Austria,AUT,Roland HATTENBERGER,Midfielder
27 April 1948  ,Austria,AUT,Josef HICKERSBERGER,Midfielder
8 August 1955  ,Austria,AUT,Herbert PROHASKA,Midfielder
