CountryCode,MatchesPlayed,Player,RedCards,YellowCards
ARG,4,Americo GALLEGO,1,1
ARG,5,Diego MARADONA,1,1
TCH,3,Ladislav VIZEK,1,0
HON,3,Gilberto YEARWOOD,1,0
NIR,4,Mal DONAGHY,1,0
SLV,2,Francisco OSORTO,0,2
NIR,5,Billy HAMILTON,0,2
FRA,5,Manuel AMOROS,0,2
ITA,5,Gabriele ORIALI,0,2
POL,6,Zbigniew BONIEK,0,2
ITA,6,Claudio GENTILE,0,2
POL,6,Wlodimierz SMOLAREK,0,2
FRG,7,Uli STIELIKE,0,2
POL,7,Andrzej BUNCOL,0,2
TCH,1,Pavel CHALOUPKA,0,1
AUT,1,Andy PICHLER,0,1
POL,1,Roman WOJCICKI,0,1
TCH,2,Antonin PANENKA,0,1
POL,2,Andrzej PALASZ,0,1
YUG,2,Zlatko KRMPOTIC,0,1
CHI,2,Juan LETELIER,0,1
SLV,2,Ramon FAGOAGA,0,1
CHI,2,Miguel GAMBOA,0,1
CHI,2,Lizardo GARRIDO,0,1
PER,3,Jaime DUARTE,0,1
CHI,3,Rodolfo DUBO,0,1
URS,3,Sergei BOROVSKI,0,1
SCO,3,Graeme SOUNESS,0,1
HUN,3,Laszlo FAZEKAS,0,1
KUW,3,Abdulaziz AL ANBARI,0,1
CMR,3,Ibrahim AOUDOU,0,1
ALG,3,Rabah MADJER,0,1
ALG,3,Faouzi MANSOURI,0,1
HON,3,Ramon MARADIAGA,0,1
KUW,3,Fathi MATAR,0,1
KUW,3,Naim FAJAH,0,1
CMR,3,Rene NDJEYA,0,1
SLV,3,Luis RAMIREZ,0,1
SLV,3,Carlos RECINOS,0,1
ESP,3,Jose SANCHEZ,0,1
YUG,3,Edhem SLJIVO,0,1
YUG,3,Nenad STOJKOVIC,0,1
PER,3,Jose VELASQUEZ,0,1
CMR,3,Thomas NKONO,0,1
HUN,3,Tibor NYILASI,0,1
BEL,3,Jean Marie PFAFF,0,1
CMR,3,Roger MILLA,0,1
ESP,4,Jesus ZAMORA,0,1
ESP,4,JUANITO,0,1
FRG,4,Bernd FOERSTER,0,1
ENG,4,Terry BUTCHER,0,1
BEL,4,Walter MEEUWS,0,1
AUT,4,Josef DEGEORGI,0,1
AUT,4,Roland HATTENBERGER,0,1
AUT,5,Reinhold HINTERMAIER,0,1
URS,5,Aleksandre CHIVADZE,0,1
ESP,5,Jose ALEXANKO,0,1
URS,5,Sergei BALTACHA,0,1
AUT,5,Walter SCHACHNER,0,1
FRA,5,Jean TIGANA,0,1
NIR,5,Norman WHITESIDE,0,1
ENG,5,Ray WILKINS,0,1
ENG,5,Paul MARINER,0,1
NIR,5,Sam McILROY,0,1
BEL,5,Luc MILLECAMPS,0,1
AUT,5,Erich OBERMAYER,0,1
ARG,5,Daniel BERTONI,0,1
URS,5,Vladimir BESSONOV,0,1
ESP,5,Rafael GORDILLO,0,1
ARG,5,Osvaldo ARDILES,0,1
FRA,5,Bernard GENGHINI,0,1
FRG,5,Horst HRUBESCH,0,1
BRA,5,WALDIR PERES,0,1
ESP,5,Jose Antonio CAMACHO,0,1
BRA,5,FALCAO,0,1
ARG,5,Jorge OLGUIN,0,1
ARG,5,Daniel PASSARELLA,0,1
ITA,5,Giampiero MARINI,0,1
ARG,5,Mario KEMPES,0,1
FRA,6,Alain GIRESSE,0,1
ITA,6,Giancarlo ANTOGNONI,0,1
FRA,6,Gerard SOLER,0,1
FRG,6,Klaus FISCHER,0,1
ITA,7,Gaetano SCIREA,0,1
ITA,7,Paolo ROSSI,0,1
POL,7,Wladyslaw ZMUDA,0,1
ITA,7,Marco TARDELLI,0,1
POL,7,Stefan MAJEWSKI,0,1
FRG,7,Hans Peter BRIEGEL,0,1
FRG,7,Wolfgang DREMMLER,0,1
ITA,7,Fulvio COLLOVATI,0,1
ITA,7,Bruno CONTI,0,1
FRG,7,Pierre LITTBARSKI,0,1
