CountryCode,Goals,MatchesPlayed,MinutesPlayed,Player
ITA,6,7,575,Paolo ROSSI
FRG,5,7,429,Karl-Heinz RUMMENIGGE
BRA,4,5,443,ZICO
POL,4,6,540,Zbigniew BONIEK
HUN,3,3,165,Laszlo KISS
BRA,3,5,450,FALCAO
NIR,3,5,450,Gerry ARMSTRONG
FRA,3,6,570,Alain GIRESSE
TCH,2,2,110,Antonin PANENKA
HUN,2,3,224,Laszlo FAZEKAS
ALG,2,3,270,Salah ASSAD
HUN,2,3,270,Gabor POLOSKEI
HUN,2,3,270,Tibor NYILASI
SCO,2,3,270,John WARK
ENG,2,4,315,Bryan ROBSON
FRG,2,6,344,Klaus FISCHER
FRA,2,4,349,Dominique ROCHETEAU
ARG,2,5,401,Daniel BERTONI
BRA,2,5,404,SERGINHO
FRA,2,5,405,Bernard GENGHINI
ENG,2,5,437,Trevor FRANCIS
FRA,2,7,443,Didier SIX
ARG,2,5,445,Diego MARADONA
ARG,2,5,450,Daniel PASSARELLA
BRA,2,5,450,EDER
BRA,2,5,450,SOCRATES
NIR,2,5,450,Billy HAMILTON
AUT,2,5,450,Walter SCHACHNER
FRA,2,5,471,Michel PLATINI
FRG,2,7,586,Pierre LITTBARSKI
ITA,2,7,615,Marco TARDELLI
HUN,1,2,51,Lazar SZENTES
HON,1,2,57,Eduardo LAING
SCO,1,1,71,Joe JORDAN
FRG,1,2,74,Uwe REINDERS
CHI,1,2,77,Juan LETELIER
POL,1,4,107,Wlodzimierz CIOLEK
ITA,1,3,112,Alessandro ALTOBELLI
SCO,1,2,115,Kenny DALGLISH
FRA,1,3,117,Alain COURIOL
ALG,1,3,141,Tedj BENSAOULA
PER,1,3,148,Guillermo LA ROSA
POL,1,2,155,Andrzej SZARMACH
ALG,1,2,155,Lakhdar BELLOUMI
HUN,1,2,180,Jozsef TOTH
HUN,1,2,180,Jozsef VARGA
CHI,1,3,185,Miguel NEIRA
SCO,1,3,187,David NAREY
ARG,1,4,189,Ramon DIAZ
FRA,1,5,195,Rene GIRARD
SCO,1,3,217,Steve ARCHIBALD
URS,1,3,225,Khoren OGANESIAN
ESP,1,4,229,Enrique SAURA
SLV,1,3,244,Luis RAMIREZ
CHI,1,3,249,Gustavo MOSCOSO
ALG,1,3,268,Rabah MADJER
CMR,1,3,270,Gregoire MBIDA
YUG,1,3,270,Vladimir PETROVIC
NZL,1,3,270,Steve SUMNER
KUW,1,3,270,Abdulaziz AL BALUSHI
KUW,1,3,270,Faisal AL DAKHIL
SCO,1,3,270,Graeme SOUNESS
YUG,1,3,270,Ivan GUDELJ
PER,1,3,270,Ruben DIAZ
NZL,1,3,270,Steve WOODDIN
HON,1,3,270,Hector ZELAYA
ESP,1,4,270,JUANITO
SCO,1,3,270,John ROBERTSON
ESP,1,4,303,LOPEZ UFARTE
FRG,1,5,324,Horst HRUBESCH
URS,1,4,357,Andrei BAL
AUT,1,4,360,Hans KRANKL
ESP,1,4,360,Jesus ZAMORA
BEL,1,5,383,Alex CZERNIATYNSKI
POL,1,5,404,Janusz KUPCEWICZ
AUT,1,5,405,Reinhold HINTERMAIER
URS,1,5,411,Yuri GAVRILOV
URS,1,5,412,Ramaz SHENGELIA
BRA,1,5,435,OSCAR
ARG,1,5,450,Osvaldo ARDILES
URS,1,5,450,Oleg BLOKHIN
AUT,1,5,450,Bruno PEZZEY
BRA,1,5,450,JUNIOR
ENG,1,5,450,Paul MARINER
URS,1,5,450,Aleksandre CHIVADZE
BEL,1,5,450,Ludo COECK
URS,1,5,450,Sergei BALTACHA
BEL,1,5,450,Erwin VANDENBERGH
POL,1,6,511,Wlodimierz SMOLAREK
FRA,1,6,512,Gerard SOLER
ITA,1,7,527,Francesco GRAZIANI
FRA,1,6,570,Maxime BOSSIS
ITA,1,7,630,Antonio CABRINI
ITA,1,7,630,Bruno CONTI
POL,1,7,630,Grzegorz LATO
POL,1,7,630,Stefan MAJEWSKI
POL,1,7,630,Andrzej BUNCOL
FRG,1,7,631,Paul BREITNER
FRA,1,7,660,Marius TRESOR
