Country,CountryCode,Goals,GoalsAgainst,MatchesPlayed
France,FRA,16,12,7
Brazil,BRA,15,6,5
Hungary,HUN,12,6,3
Italy,ITA,12,6,7
Germany FR,FRG,12,10,7
Poland,POL,11,5,7
Scotland,SCO,8,8,3
Argentina,ARG,8,7,5
Soviet Union,URS,7,4,5
England,ENG,6,1,5
Algeria,ALG,5,5,3
Austria,AUT,5,4,5
Northern Ireland,NIR,5,7,5
Spain,ESP,4,5,5
Chile,CHI,3,8,3
Belgium,BEL,3,5,5
Peru,PER,2,6,3
Kuwait,KUW,2,6,3
Honduras,HON,2,3,3
Yugoslavia,YUG,2,2,3
New Zealand,NZL,2,12,3
Czechoslovakia,TCH,2,4,3
Cameroon,CMR,1,1,3
El Salvador,SLV,1,13,3
