Age,Country,CountryCode,Player,Position
3 January 1953  ,Algeria,ALG,Mahdi CERBAH,Goalkeeper
24 February 1953  ,Algeria,ALG,Mahmoud GUENDOUZ,Defender
16 April 1954  ,Algeria,ALG,Mustafa KOUICI,Defender
12 April 1954  ,Algeria,ALG,Nordine KOURICHI,Defender
8 March 1959  ,Algeria,ALG,Chaabane MERZEKANE,Defender
9 January 1955  ,Algeria,ALG,Ali BENCHEIKH,Midfielder
10 June 1958  ,Algeria,ALG,Salah ASSAD,Forward
21 September 1952  ,Algeria,ALG,Ali FERGANI,Midfielder
1 December 1954  ,Algeria,ALG,Tedj BENSAOULA,Forward
29 December 1958  ,Algeria,ALG,Lakhdar BELLOUMI,Midfielder
15 February 1958  ,Algeria,ALG,Rabah MADJER,Forward
16 September 1952  ,Algeria,ALG,Salah LARBES,Defender
25 April 1960  ,Algeria,ALG,Hocine YAHI,Midfielder
28 April 1955  ,Algeria,ALG,Djamel ZIDANE,Midfielder
8 February 1952  ,Algeria,ALG,Mustafa DAHLEB,Midfielder
17 January 1956  ,Algeria,ALG,Faouzi MANSOURI,Defender
10 November 1953  ,Algeria,ALG,Abdelkader HORR,Defender
5 March 1958  ,Algeria,ALG,Karim MAROC,Midfielder
16 April 1955  ,Algeria,ALG,Djamel TLEMCANI,Midfielder
16 March 1951  ,Algeria,ALG,Abdelmajid BOUREBBOU,Forward
19 February 1959  ,Algeria,ALG,Mourad AMARA,Goalkeeper
24 September 1955  ,Algeria,ALG,Yacine BENTALA,Goalkeeper
12 August 1936  ,Algeria,ALG,MEKHLOUFI Rachid,Coach
12 August 1936  ,Algeria,ALG,MEKHLOUFI Rachid,Coach
17 January 1944  ,Algeria,ALG,KHALEF Mahieddine,Coach
3 August 1952  ,Argentina,ARG,Osvaldo ARDILES,Midfielder
16 November 1950  ,Argentina,ARG,Hector BALEY,Goalkeeper
23 August 1959  ,Argentina,ARG,Juan BARBAS,Midfielder
14 March 1955  ,Argentina,ARG,Daniel BERTONI,Forward
7 February 1960  ,Argentina,ARG,Gabriel CALDERON,Forward
29 August 1959  ,Argentina,ARG,Ramon DIAZ,Forward
21 July 1950  ,Argentina,ARG,Ubaldo FILLOL,Goalkeeper
24 February 1948  ,Argentina,ARG,Luis GALVAN,Defender
25 April 1955  ,Argentina,ARG,Americo GALLEGO,Midfielder
30 October 1960  ,Argentina,ARG,Diego MARADONA,Midfielder
15 July 1954  ,Argentina,ARG,Mario KEMPES,Forward
16 August 1956  ,Argentina,ARG,Patricio HERNANDEZ,Midfielder
