Country,CountryCode,Goals,GoalsAgainst,MatchesPlayed
Argentina,ARG,14,5,7
Soviet Union,URS,12,5,4
Belgium,BEL,12,15,7
France,FRA,12,6,7
Spain,ESP,11,4,5
Denmark,DEN,10,6,4
Brazil,BRA,10,1,5
Germany FR,FRG,8,7,7
England,ENG,7,3,5
Mexico,MEX,6,2,5
Italy,ITA,5,6,4
Korea Republic,KOR,4,7,3
Paraguay,PAR,4,6,4
Morocco,MAR,3,2,4
Hungary,HUN,2,9,3
Northern Ireland,NIR,2,6,3
Portugal,POR,2,4,3
Bulgaria,BUL,2,6,4
Uruguay,URU,2,8,4
Algeria,ALG,1,5,3
Iraq,IRQ,1,4,3
Scotland,SCO,1,3,3
Poland,POL,1,7,4
Canada,CAN,0,5,3
