CountryCode,MatchesPlayed,Player,RedCards,YellowCards
CMR,2,Benjamin MASSING,1,2
CMR,3,Andre KANA-BIYIK,1,2
ARG,4,Pedro MONZON,1,2
NED,4,Frank RIJKAARD,1,2
YUG,4,Refik SABANADZOVIC,1,2
TCH,5,Lubomir MORAVCIK,1,2
FRG,6,Rudi VOELLER,1,2
KOR,2,YOON Deok Yeo,1,1
ARG,3,Gustavo DEZOTTI,1,1
URS,2,Vladimir BESSONOV,1,0
AUT,2,Peter ARTNER,1,0
USA,2,Eric WYNALDA,1,0
BRA,4,RICARDO GOMES,1,0
ARG,4,Ricardo GIUSTI,0,1
ARG,5,Jose SERRIZUELA,0,3
FRG,6,Andreas BREHME,0,3
USA,2,Jimmy BANKS,0,2
BRA,2,MOZER,0,2
UAE,2,YOUSUF HUSSAIN,0,2
UAE,3,KHALEEL GHANIM,0,0
CMR,3,Jules Denis ONANA,0,2
AUT,3,Robert PECL,0,2
ROU,3,Marius LACATUS,0,2
AUT,3,Manfred ZSAK,0,2
TCH,3,Frantisek STRAKA,0,2
ROU,3,Gheorghe HAGI,0,2
BEL,3,Eric GERETS,0,0
CRC,3,Roger GOMEZ,0,2
ARG,4,Sergio BATISTA,0,2
ITA,4,Nicola BERTI,0,2
COL,4,Gabriel GOMEZ,0,2
CMR,4,Roger MILLA,0,2
TCH,4,Lubos KUBIK,0,2
CMR,4,Emile MBOUH,0,2
CRC,4,Hector MARCHENA,0,2
URU,4,Jose PERDOMO,0,2
CMR,4,Victor NDIP,0,2
CMR,5,Thomas NKONO,0,2
ARG,5,Julio OLARTICOECHEA,0,2
ARG,6,Pedro TROGLIO,0,2
ENG,6,Paul GASCOIGNE,0,2
ARG,6,Claudio CANIGGIA,0,2
ARG,7,Diego MARADONA,0,2
KOR,1,LEE Heung Sil,0,1
AUT,1,Gerald GLATZMAYER,0,1
USA,1,Steve TRITTSCHUH,0,1
AUT,1,Andreas REISINGER,0,1
URU,1,Jose PINTOS,0,1
ARG,2,Roberto SENSINI,0,1
EGY,2,Ahmed RAMZY,0,1
SWE,2,Jonas THERN,0,1
BRA,2,RICARDO ROCHA,0,1
URS,2,Andrei ZYGMANTOVICH,0,1
KOR,2,CHUNG Hae Won,0,1
ESP,2,Manuel JIMENEZ,0,1
KOR,2,HWANG Bo Kwan,0,1
ROU,2,Danut LUPU,0,1
SCO,2,Murdo McLEOD,0,1
AUT,2,Anton PFEFFER,0,1
URS,3,Oleg PROTASOV,0,1
EGY,3,Ahmed SHOBEIR,0,1
SWE,3,Joakim NILSSON,0,1
USA,3,Bruce MURRAY,0,1
URU,3,Santiago OSTOLAZA,0,1
YUG,3,Darko PANCEV,0,1
SCO,3,David McPHERSON,0,1
USA,3,Tony MEOLA,0,1
AUT,3,Klaus LINDENBERGER,0,1
SCO,3,Mo JOHNSTON,0,1
YUG,3,Srecko KATANEC,0,1
URS,3,Vagiz KHIDIYATULLIN,0,1
USA,3,Paul CALIGIURI,0,1
KOR,3,CHOI Kang Hee,0,1
EGY,3,Ibrahim HASSAN,0,1
URU,3,Jose HERRERA,0,1
AUT,3,Andreas HERZOG,0,1
EGY,3,Magdy ABDELGHANY,0,1
UAE,3,EISSA MEER,0,1
UAE,3,IBRAHIM MEER,0,1
UAE,3,HUSSAIN GHULOUM,0,1
ROU,3,Ioan LUPESCU,0,1
SWE,3,Glenn STROMBERG,0,1
USA,3,Michael WINDISCHMANN,0,1
KOR,3,CHOI Soon Ho,0,1
SWE,3,Stefan SCHWARZ,0,1
NED,4,Marco VAN BASTEN,0,1
YUG,4,Zoran VULIC,0,1
ESP,4,Francisco VILLARROYA,0,1
NED,4,Jan WOUTERS,0,1
BRA,4,BRANCO,0,1
BRA,4,JORGINHO,0,1
ESP,4,CHENDO,0,1
ESP,4,ROBERTO,0,1
CRC,4,Ronald GONZALEZ,0,1
URU,4,Ruben SOSA,0,1
COL,4,Luis HERRERA,0,1
ROU,4,Michael KLEIN,0,1
BRA,4,MAURO GALVAO,0,1
BRA,4,DUNGA,0,1
COL,4,Leonel ALVAREZ,0,1
URU,4,Fernando ALVEZ,0,1
URU,4,Nelson GUTIERREZ,0,1
NED,4,Wim KIEFT,0,1
CRC,4,Claudio JARA,0,1
TCH,4,Jan KOCIAN,0,1
ENG,4,Steve McMAHON,0,1
COL,4,Luis Carlos PEREA,0,1
URU,4,Enzo FRANCESCOLI,0,1
IRL,5,Chris MORRIS,0,1
IRL,5,Kevin MORAN,0,1
IRL,5,Paul McGRATH,0,1
TCH,5,Ivo KNOFLICEK,0,1
TCH,5,Miroslav KADLEC,0,1
TCH,5,Ivan HASEK,0,1
YUG,5,Dragoljub BRNOVIC,0,1
TCH,5,Michal BILEK,0,1
IRL,5,John ALDRIDGE,0,1
ENG,5,Peter BEARDSLEY,0,1
ITA,5,Roberto BAGGIO,0,1
TCH,5,Jozef CHOVANEC,0,1
YUG,5,Zlatko VUJOVIC,0,1
ARG,5,Oscar RUGGERI,0,1
TCH,5,Tomas SKUHRAVY,0,1
YUG,5,Dragan STOJKOVIC,0,1
ARG,6,Sergio GOYCOCHEA,0,1
ITA,6,Luigi DE AGOSTINI,0,1
ENG,6,Paul PARKER,0,1
ENG,6,Stuart PEARCE,0,1
FRG,7,Juergen KLINSMANN,0,1
FRG,7,Lothar MATTHAEUS,0,1
ARG,7,Jorge BURRUCHAGA,0,1
ITA,7,Giuseppe GIANNINI,0,1
ITA,7,Riccardo FERRI,0,1
FRG,7,Thomas BERTHOLD,0,1
ARG,7,Juan SIMON,0,1
