Country,CountryCode,MatchesPlayed,RedCards,YellowCards
Argentina,ARG,7,2,23
Cameroon,CMR,5,2,14
Czechoslovakia,TCH,5,1,13
Austria,AUT,3,1,9
Yugoslavia,YUG,5,1,8
Germany FR,FRG,7,1,8
USA,USA,3,1,7
Brazil,BRA,4,1,7
Korea Republic,KOR,3,1,6
Netherlands,NED,4,1,5
Soviet Union,URS,3,1,3
United Arab Emirates,UAE,3,0,6
Belgium,BEL,4,0,1
Uruguay,URU,4,0,9
Romania,ROU,4,0,7
Costa Rica,CRC,4,0,6
Italy,ITA,7,0,6
England,ENG,7,0,6
Colombia,COL,4,0,5
Egypt,EGY,3,0,4
Sweden,SWE,3,0,4
Spain,ESP,4,0,4
Republic of Ireland,IRL,5,0,4
Scotland,SCO,3,0,3
