Country,CountryCode,Goals,GoalsAgainst,MatchesPlayed
Germany FR,FRG,15,5,7
Czechoslovakia,TCH,10,5,5
Italy,ITA,10,2,7
Yugoslavia,YUG,8,6,5
England,ENG,8,6,7
Cameroon,CMR,7,9,5
Belgium,BEL,6,4,4
Spain,ESP,6,4,4
Argentina,ARG,5,4,7
Soviet Union,URS,4,4,3
Romania,ROU,4,3,4
Brazil,BRA,4,2,4
Colombia,COL,4,4,4
Costa Rica,CRC,4,6,4
Sweden,SWE,3,6,3
Netherlands,NED,3,4,4
USA,USA,2,8,3
Austria,AUT,2,3,3
United Arab Emirates,UAE,2,11,3
Scotland,SCO,2,3,3
Uruguay,URU,2,5,4
Republic of Ireland,IRL,2,3,5
Korea Republic,KOR,1,6,3
Egypt,EGY,1,2,3
