Attendance,AwayCode,AwayScore,AwayTeam,City,Date,Description,HomeCode,HomeScore,HomeTeam,MatchReport,Penalty
56247,KOR,2,Korea Republic,Dallas,17 June 1994,Group matches - Group C,ESP,2,Spain,https://www.fifa.com/worldcup/matches/round=337/match=3050/index.html#nosticky,
63117,BOL,0,Bolivia,Chicago,17 June 1994,Group matches - Group C,GER,1,Germany,https://www.fifa.com/worldcup/matches/round=337/match=3049/index.html#nosticky,
73425,SUI,1,Switzerland,Detroit,18 June 1994,Group matches - Group A,USA,1,USA,https://www.fifa.com/worldcup/matches/round=337/match=3051/index.html#nosticky,
75338,IRL,1,Republic of Ireland,New Yor,18 June 1994,Group matches - Group E,ITA,0,Italy,https://www.fifa.com/worldcup/matches/round=337/match=3052/index.html#nosticky,
91856,ROU,3,Romania,Los Angeles,18 June 1994,Group matches - Group A,COL,1,Colombia,https://www.fifa.com/worldcup/matches/round=337/match=3053/index.html#nosticky,
61219,MAR,0,Morocco,Orlando,19 June 1994,Group matches - Group F,BEL,1,Belgium,https://www.fifa.com/worldcup/matches/round=337/match=3054/index.html#nosticky,
52395,MEX,0,Mexico,Washington Dc,19 June 1994,Group matches - Group E,NOR,1,Norway,https://www.fifa.com/worldcup/matches/round=337/match=3055/index.html#nosticky,
93194,SWE,2,Sweden,Los Angeles,19 June 1994,Group matches - Group B,CMR,2,Cameroon,https://www.fifa.com/worldcup/matches/round=337/match=3056/index.html#nosticky,
50535,KSA,1,Saudi Arabia,Washington Dc,20 June 1994,Group matches - Group F,NED,2,Netherlands,https://www.fifa.com/worldcup/matches/round=337/match=3058/index.html#nosticky,
81061,RUS,0,Russia,San Francisco,20 June 1994,Group matches - Group B,BRA,2,Brazil,https://www.fifa.com/worldcup/matches/round=337/match=3057/index.html#nosticky,
54456,GRE,0,Greece,Boston,21 June 1994,Group matches - Group D,ARG,4,Argentina,https://www.fifa.com/worldcup/matches/round=337/match=3059/index.html#nosticky,
44132,BUL,0,Bulgaria,Dallas,21 June 1994,Group matches - Group D,NGA,3,Nigeria,https://www.fifa.com/worldcup/matches/round=337/match=3061/index.html#nosticky,
63113,ESP,1,Spain,Chicago,21 June 1994,Group matches - Group C,GER,1,Germany,https://www.fifa.com/worldcup/matches/round=337/match=3060/index.html#nosticky,
61428,SUI,4,Switzerland,Detroit,22 June 1994,Group matches - Group A,ROU,1,Romania,https://www.fifa.com/worldcup/matches/round=337/match=3062/index.html#nosticky,
93869,COL,1,Colombia,Los Angeles,22 June 1994,Group matches - Group A,USA,2,USA,https://www.fifa.com/worldcup/matches/round=337/match=3063/index.html#nosticky,
74624,NOR,0,Norway,New Yor,23 June 1994,Group matches - Group E,ITA,1,Italy,https://www.fifa.com/worldcup/matches/round=337/match=3064/index.html#nosticky,
54453,BOL,0,Bolivia,Boston,23 June 1994,Group matches - Group C,KOR,0,Korea Republic,https://www.fifa.com/worldcup/matches/round=337/match=3065/index.html#nosticky,
60790,IRL,1,Republic of Ireland,Orlando,24 June 1994,Group matches - Group E,MEX,2,Mexico,https://www.fifa.com/worldcup/matches/round=337/match=3066/index.html#nosticky,
71528,RUS,1,Russia,Detroit,24 June 1994,Group matches - Group B,SWE,3,Sweden,https://www.fifa.com/worldcup/matches/round=337/match=3068/index.html#nosticky,
83401,CMR,0,Cameroon,San Francisco,24 June 1994,Group matches - Group B,BRA,3,Brazil,https://www.fifa.com/worldcup/matches/round=337/match=3067/index.html#nosticky,
62387,NED,0,Netherlands,Orlando,25 June 1994,Group matches - Group F,BEL,1,Belgium,https://www.fifa.com/worldcup/matches/round=337/match=3069/index.html#nosticky,
76322,MAR,1,Morocco,New Yor,25 June 1994,Group matches - Group F,KSA,2,Saudi Arabia,https://www.fifa.com/worldcup/matches/round=337/match=3070/index.html#nosticky,
54453,NGA,1,Nigeria,Boston,25 June 1994,Group matches - Group D,ARG,2,Argentina,https://www.fifa.com/worldcup/matches/round=337/match=3071/index.html#nosticky,
63160,GRE,0,Greece,Chicago,26 June 1994,Group matches - Group D,BUL,4,Bulgaria,https://www.fifa.com/worldcup/matches/round=337/match=3072/index.html#nosticky,
