CountryCode,MatchesPlayed,Player,RedCards,YellowCards
SWE,5,Jonas THERN,1,1
BUL,6,Zlatko YANKOV,0,4
BOL,1,Marco ETCHEVERRY,1,0
ROU,1,Ion VLADOIU,1,0
ITA,1,Gianfranco ZOLA,1,0
CMR,2,Rigobert SONG,1,0
USA,3,Fernando CLAVIJO,0,1
ESP,3,Miguel Angel NADAL,1,0
MEX,4,Luis GARCIA,0,1
BRA,4,LEONARDO,1,0
NED,4,Jan WOUTERS,0,3
ESP,4,Jose Luis CAMINERO,0,3
ITA,5,Gianluca PAGLIUCA,1,0
SWE,6,Stefan SCHWARZ,0,1
BUL,6,Trifon IVANOV,0,3
ITA,7,Demetrio ALBERTINI,0,3
GER,2,Martin WAGNER,0,2
BOL,2,Julio BALDIVIESO,0,2
IRL,2,Denis IRWIN,0,2
BOL,2,Luis CRISTALDO,0,0
NOR,2,Alf HALAND,0,2
RUS,2,Sergei GORLUKOVICH,0,0
MAR,2,Noureddine NAYBET,0,2
USA,3,John HARKES,0,2
NGA,3,Michael EMENALO,0,2
KOR,3,CHOI Young Il,0,2
SUI,3,Nestor SUBIAT,0,2
COL,3,Leonel ALVAREZ,0,2
IRL,3,Terry PHELAN,0,2
GER,3,Stefan EFFENBERG,0,2
GER,3,Thomas HELMER,0,2
GRE,3,Tassos MITROPOULOS,0,2
MEX,3,Joaquin DEL OLMO,0,2
COL,3,Carlos VALDERRAMA,0,2
KSA,3,Fuad AMIN,0,2
RUS,3,Dmitri KHLESTOV,0,2
RUS,3,Yuri NIKIFOROV,0,2
MEX,3,Alberto GARCIA ASPE,0,2
MEX,4,Claudio SUAREZ,0,2
ROU,4,Tibor SELYMES,0,2
ARG,4,Oscar RUGGERI,0,2
ROU,4,Florin RADUCIOIU,0,2
ARG,4,Fernando CACERES,0,2
KSA,4,Khaled AL MUWALLID,0,2
NGA,4,Sunday OLISEH,0,2
GER,5,Juergen KLINSMANN,0,2
ROU,5,Gheorghe POPESCU,0,2
SWE,5,Martin DAHLIN,0,2
ESP,5,Albert FERRER,0,2
ESP,5,ABELARDO,0,2
BUL,5,Emil KREMENLIEV,0,0
BUL,6,Tsanko TSVETANOV,0,0
ITA,6,Alessandro COSTACURTA,0,2
SWE,6,Roger LJUNG,0,2
BRA,6,MAZINHO,0,2
BUL,7,Hristo STOICHKOV,0,2
BUL,7,Iordan LETCHKOV,0,2
SWE,7,Kennet ANDERSSON,0,2
CMR,1,Jacques SONGOO,0,1
GRE,1,Alexis ALEXOUDIS,0,1
CMR,1,Andre KANA-BIYIK,0,1
GRE,1,Stelios MANOLAS,0,1
NOR,1,Erland JOHNSEN,0,1
NGA,1,Stephen KESHI,0,1
ARG,1,Leonardo RODRIGUEZ,0,1
MAR,1,Hassan NADER,0,1
NOR,1,Goran SORLOTH,0,1
NED,1,Ulrich VAN GOBBEL,0,1
SUI,1,Juerg STUDER,0,1
MAR,1,Abdelmajid BOUYBOUD,0,1
MAR,2,Mohamed SAMADI,0,1
MAR,2,Taher EL KHALEJ,0,1
RUS,2,Dmitri KUZNETSOV,0,1
ESP,2,Jorge OTERO,0,1
IRL,2,Gary KELLY,0,1
ESP,2,Jose CAMARASA,0,1
GRE,2,Giotis TSALOUCHIDIS,0,1
GRE,2,Vaios KARAGIANNIS,0,1
BEL,2,Vital BORKELMANS,0,1
BOL,2,Gustavo QUINTEROS,0,1
COL,2,Herman GAVIRIA,0,1
RUS,2,Dmitri KHARIN,0,1
CMR,2,Emile MBOUH,0,1
MEX,2,Ramon RAMIREZ,0,1
COL,2,Anthony DE AVILA,0,1
GRE,2,Minas HANTZIDIS,0,1
KSA,2,Abdullah AL DOSARI,0,1
ROU,2,Nica PANDURU,0,1
KSA,3,Talal JEBRIN,0,1
BOL,3,Vladimir SORIA,0,1
BEL,3,Georges GRUN,0,1
BEL,3,Philippe ALBERT,0,1
NGA,3,Augustine EGUAVOEN,0,1
ITA,3,Luigi APOLLONI,0,1
MAR,3,Rachid AZZOUZI,0,1
COL,3,Luis HERRERA,0,1
CMR,3,Raymond KALLA,0,1
KOR,3,KIM Joo Sung,0,1
ARG,3,Claudio CANIGGIA,0,1
GRE,3,Giannis KALITZAKIS,0,1
SUI,3,Adrian KNUP,0,1
KOR,3,KO Jeong Woon,0,1
NOR,3,Stig BJORNEBYE,0,1
BOL,3,Carlos BORJA,0,1
GER,3,Rudi VOELLER,0,1
CMR,3,Stephen TATAW,0,1
NED,3,Aron WINTER,0,1
BRA,3,CAFU (Marcos Evangelista de Moraes),0,1
MAR,3,Rachid DAOUDI,0,1
IRL,3,Tommy COYNE,0,1
BOL,3,Miguel Angel RIMBA,0,1
KOR,3,PARK Jung Bae,0,1
KOR,3,SHIN Hong Gi,0,1
KSA,3,Hamza FALATAH,0,1
RUS,3,Valeri KARPIN,0,1
ITA,3,Pierluigi CASIRAGHI,0,1
NOR,3,Oyvind LEONHARDSEN,0,1
MAR,3,Abdelkarim EL HADRIOUI,0,1
MAR,3,Hababi EL ARBI,0,1
NGA,4,Emmanuel AMUNIKE,0,1
NGA,4,Mutiu ADEPOJU,0,1
KSA,4,Mohammed AL DEAYEA,0,1
BEL,4,Josip WEBER,0,1
BUL,4,Daniel BORIMIROV,0,1
ARG,4,Jose CHAMOT,0,1
ROU,4,Gheorghe MIHALI,0,1
NED,4,Frank DE BOER,0,1
USA,4,Alexi LALAS,0,1
SUI,4,Marco PASCOLO,0,1
ESP,4,LUIS ENRIQUE,0,1
USA,4,Thomas DOOLEY,0,1
ARG,4,Gabriel BATISTUTA,0,1
IRL,4,Roy KEANE,0,1
NED,4,Rob WITSCHGE,0,1
ARG,4,Fernando REDONDO,0,1
BEL,4,Rudi SMIDTS,0,1
NGA,4,Chidi NWANU,0,1
USA,4,Tab RAMOS,0,1
NED,4,Frank RIJKAARD,0,1
ESP,4,JULIO SALINAS,0,1
BEL,4,Enzo SCIFO,0,1
SUI,4,Georges BREGY,0,1
MEX,4,Jorge CAMPOS,0,1
KSA,4,Ahmed MADANI,0,1
SUI,4,Dominique HERR,0,1
SUI,4,Marc HOTTIGER,0,1
USA,4,Paul CALIGIURI,0,1
IRL,4,Ray HOUGHTON,0,1
NED,4,Stan VALCKX,0,1
GER,4,Andreas MOELLER,0,1
KSA,4,Mohamed ABDELJAWAD,0,1
ESP,5,Fernando HIERRO,0,1
GER,5,Thomas HAESSLER,0,1
NED,5,Ronald KOEMAN,0,1
GER,5,Juergen KOHLER,0,1
ROU,5,Ilie DUMITRESCU,0,1
GER,5,Andreas BREHME,0,1
ROU,5,Ioan LUPESCU,0,1
ESP,5,GOIKOETXEA,0,1
ROU,5,Miodrag BELODEDICI,0,1
ROU,5,Dan PETRESCU,0,1
NED,5,Wim JONK,0,1
NED,5,Dennis BERGKAMP,0,1
BUL,5,Ivaylo YORDANOV,0,1
SWE,5,Hakan MILD,0,1
ITA,6,Giuseppe SIGNORI,0,1
BUL,6,Ilian KIRYAKOV,0,1
ITA,6,Daniele MASSARO,0,1
BUL,7,Petar HOUBCHEV,0,1
BRA,7,DUNGA,0,1
SWE,7,Tomas BROLIN,0,1
ITA,7,Paolo MALDINI,0,1
SWE,7,Klas INGESSON,0,1
SWE,7,Roland NILSSON,0,1
BUL,7,Borislav MIHAYLOV,0,1
BUL,7,Emil KOSTADINOV,0,1
BUL,7,Krassimir BALAKOV,0,1
BUL,7,Nasko SIRAKOV,0,1
BRA,7,ALDAIR,0,1
BRA,7,JORGINHO,0,1
ITA,7,Dino BAGGIO,0,1
BRA,7,MAURO SILVA,0,1
BRA,7,ZINHO,0,1
