CountryCode,Goals,MatchesPlayed,MinutesPlayed,Player
RUS,6,3,215,Oleg SALENKO
BUL,6,7,642,Hristo STOICHKOV
GER,5,5,445,Juergen KLINSMANN
SWE,5,7,578,Kennet ANDERSSON
ITA,5,7,621,Roberto BAGGIO
BRA,5,7,660,ROMÃRIO (RomÃ¡rio de Souza Faria)
ARG,4,4,360,Gabriel BATISTUTA
ROU,4,4,383,Florin RADUCIOIU
SWE,4,5,444,Martin DAHLIN
ESP,3,4,315,Jose Luis CAMINERO
NED,3,5,450,Dennis BERGKAMP
ROU,3,5,475,Gheorghe HAGI
BRA,3,7,660,BEBETO
SWE,3,7,660,Tomas BROLIN
COL,2,2,153,Adolfo VALENCIA
ARG,2,3,206,Claudio CANIGGIA
GER,2,3,208,Rudi VOELLER
SUI,2,3,261,Adrian KNUP
KOR,2,3,270,HONG Myungbo
KSA,2,3,270,Fuad AMIN
BEL,2,3,270,Philippe ALBERT
NGA,2,4,305,Daniel AMOKACHI
MEX,2,4,320,Luis GARCIA
NGA,2,4,327,Emmanuel AMUNIKE
ESP,2,5,395,GOIKOETXEA
ROU,2,5,436,Ilie DUMITRESCU
NED,2,5,450,Wim JONK
ITA,2,7,560,Dino BAGGIO
BUL,2,7,616,Iordan LETCHKOV
COL,1,1,12,Harold LOZANO
ESP,1,1,29,Txiki BEGUIRISTAIN
KSA,1,2,47,Fahad AL GHESHEYAN
CMR,1,2,71,Roger MILLA
IRL,1,3,87,John ALDRIDGE
MAR,1,1,90,Hassan NADER
NOR,1,3,111,Kjetil REKDAL
NED,1,3,131,Gaston TAUMENT
KOR,1,3,141,SEO Jung Won
ESP,1,2,145,Pep GUARDIOLA
GER,1,2,150,Karlheinz RIEDLE
COL,1,2,168,Herman GAVIRIA
KSA,1,2,169,Sami AL JABER
MAR,1,2,172,Mohammed CHAOUCH
ARG,1,2,173,Diego MARADONA
SWE,1,5,191,Henrik LARSSON
RUS,1,3,193,Dmitri RADCHENKO
CMR,1,3,193,David EMBE
USA,1,4,194,Eric WYNALDA
BEL,1,3,203,Marc DE GRIJSE
BUL,1,4,214,Daniel BORIMIROV
NGA,1,3,215,Samson SIASIA
SUI,1,3,242,Alain SUTTER
NED,1,5,250,Bryan ROY
USA,1,4,261,Earnie STEWART
NED,1,3,270,Aron WINTER
BOL,1,3,270,Erwin SANCHEZ
KOR,1,3,270,HWANG Sun Hong
CMR,1,3,270,Francois OMAM-BIYIK
BEL,1,3,270,Georges GRUN
ESP,1,4,273,JULIO SALINAS
BRA,1,3,300,BRANCO
MEX,1,3,300,Alberto GARCIA ASPE
BRA,1,5,309,RAI
KSA,1,4,312,Said AL OWAIRAN
MEX,1,4,319,Marcelino BERNAL
ESP,1,5,327,Fernando HIERRO
ARG,1,4,330,Abel BALBO
SWE,1,5,335,Hakan MILD
IRL,1,4,338,Ray HOUGHTON
SUI,1,4,360,Stephane CHAPUISAT
ESP,1,4,360,LUIS ENRIQUE
SUI,1,4,360,Georges BREGY
NGA,1,4,368,Rasheed YEKINI
NGA,1,4,370,Finidi GEORGE
GER,1,5,379,Lothar MATTHAEUS
ITA,1,6,442,Daniele MASSARO
ROU,1,5,480,Dan PETRESCU
BUL,1,7,540,Nasko SIRAKOV
SWE,1,6,570,Roger LJUNG
BRA,1,7,660,MARCIO SANTOS
