Age,Country,CountryCode,Player,Position
17 October 1963  ,Argentina,ARG,Sergio GOYCOCHEA,Goalkeeper
23 November 1965  ,Argentina,ARG,Sergio VAZQUEZ,Defender
17 May 1969  ,Argentina,ARG,Jose CHAMOT,Defender
12 October 1966  ,Argentina,ARG,Roberto SENSINI,Defender
6 June 1969  ,Argentina,ARG,Fernando REDONDO,Midfielder
26 January 1962  ,Argentina,ARG,Oscar RUGGERI,Defender
9 January 1967  ,Argentina,ARG,Claudio CANIGGIA,Forward
20 June 1963  ,Argentina,ARG,Jose BASUALDO,Midfielder
1 February 1969  ,Argentina,ARG,Gabriel BATISTUTA,Forward
30 October 1960  ,Argentina,ARG,Diego MARADONA,Midfielder
29 April 1966  ,Argentina,ARG,Ramon MEDINA BELLO,Forward
22 December 1965  ,Argentina,ARG,Luis ISLAS,Goalkeeper
7 February 1969  ,Argentina,ARG,Fernando CACERES,Defender
28 April 1970  ,Argentina,ARG,Diego SIMEONE,Midfielder
2 November 1964  ,Argentina,ARG,Jorge BORELLI,Defender
26 February 1965  ,Argentina,ARG,Hernan DIAZ,Defender
4 March 1974  ,Argentina,ARG,Ariel ORTEGA,Forward
6 October 1968  ,Argentina,ARG,Hugo PEREZ,Midfielder
1 June 1966  ,Argentina,ARG,Abel BALBO,Forward
27 August 1966  ,Argentina,ARG,Leonardo RODRIGUEZ,Midfielder
4 September 1968  ,Argentina,ARG,Alejandro MANCUSO,Midfielder
13 January 1961  ,Argentina,ARG,Norberto SCOPONI,Goalkeeper
1 November 1943  ,Argentina,ARG,BASILE Alfio,Coach
24 January 1959  ,Belgium,BEL,Michel PREUDHOMME,Goalkeeper
15 September 1968  ,Belgium,BEL,Dirk MEDVED,Defender
1 June 1963  ,Belgium,BEL,Vital BORKELMANS,Defender
10 August 1967  ,Belgium,BEL,Philippe ALBERT,Defender
12 August 1963  ,Belgium,BEL,Rudi SMIDTS,Defender
30 April 1964  ,Belgium,BEL,Lorenzo STAELENS,Midfielder
30 April 1961  ,Belgium,BEL,Franky VAN DER ELST,Midfielder
25 May 1967  ,Belgium,BEL,Luc NILIS,Forward
4 September 1965  ,Belgium,BEL,Marc DE GRIJSE,Forward
19 February 1966  ,Belgium,BEL,Enzo SCIFO,Midfielder
28 July 1960  ,Belgium,BEL,Alex CZERNIATYNSKI,Forward
5 July 1964  ,Belgium,BEL,Filip DE WILDE,Goalkeeper
25 January 1962  ,Belgium,BEL,Georges GRUN,Defender
19 January 1958  ,Belgium,BEL,Michel DE WOLF,Defender
25 February 1966  ,Belgium,BEL,Marc EMMERS,Defender
10 July 1965  ,Belgium,BEL,Danny BOFFIN,Midfielder
16 November 1964  ,Belgium,BEL,Josip WEBER,Forward
22 February 1969  ,Belgium,BEL,Marc WILMOTS,Midfielder
28 February 1968  ,Belgium,BEL,Eric VAN MEIR,Defender
15 August 1963  ,Belgium,BEL,Dany VERLINDEN,Goalkeeper
3 July 1969  ,Belgium,BEL,Stephane VAN DER HEYDEN,Midfielder
3 August 1971  ,Belgium,BEL,Pascal RENIER,Defender
2 October 1943  ,Belgium,BEL,VAN HIMST Paul,Coach
11 August 1957  ,Bolivia,BOL,Carlos TRUCCO,Goalkeeper
17 January 1973  ,Bolivia,BOL,Juan Manuel PENA,Defender
29 August 1971  ,Bolivia,BOL,Marco Antonio SANDY,Defender
1 November 1967  ,Bolivia,BOL,Miguel Angel RIMBA,Defender
15 February 1965  ,Bolivia,BOL,Gustavo QUINTEROS,Defender
25 December 1956  ,Bolivia,BOL,Carlos BORJA,Midfielder
9 April 1964  ,Bolivia,BOL,Mario PINEDO,Midfielder
20 September 1959  ,Bolivia,BOL,Milton MELGAR,Midfielder
11 February 1966  ,Bolivia,BOL,Alvaro PENA,Forward
26 September 1970  ,Bolivia,BOL,Marco ETCHEVERRY,Midfielder
19 January 1974  ,Bolivia,BOL,Jaime MORENO,Forward
20 January 1960  ,Bolivia,BOL,Dario ROJAS,Goalkeeper
12 February 1966  ,Bolivia,BOL,Modesto SORUCO,Defender
23 September 1969  ,Bolivia,BOL,Mauricio RAMOS,Midfielder
15 July 1964  ,Bolivia,BOL,Vladimir SORIA,Midfielder
31 August 1969  ,Bolivia,BOL,Luis CRISTALDO,Defender
16 July 1971  ,Bolivia,BOL,Oscar SANCHEZ,Defender
4 July 1961  ,Bolivia,BOL,Luis RAMALLO,Forward
11 January 1972  ,Bolivia,BOL,Marcelo TORRICO,Goalkeeper
27 March 1966  ,Bolivia,BOL,Ramiro CASTILLO,Midfielder
19 October 1969  ,Bolivia,BOL,Erwin SANCHEZ,Midfielder
2 December 1971  ,Bolivia,BOL,Julio BALDIVIESO,Midfielder
26 September 1953  ,Bolivia,BOL,Xavier AZKARGORTA URIARTE,Coach
8 May 1966  ,Brazil,BRA,TAFFAREL,Goalkeeper
17 August 1964  ,Brazil,BRA,JORGINHO,Defender
11 September 1962  ,Brazil,BRA,RICARDO ROCHA,Defender
19 June 1965  ,Brazil,BRA,RONALDAO,Defender
12 January 1968  ,Brazil,BRA,MAURO SILVA,Midfielder
