Attendance,AwayCode,AwayScore,AwayTeam,City,Date,Description,HomeCode,HomeScore,HomeTeam,MatchReport,Penalty
80000,SCO,1,Scotland,Saint-Denis,10 June 1998,Group matches - Group A,BRA,2,Brazil,https://www.fifa.com/worldcup/matches/round=1014/match=4000/index.html#nosticky,
29800,NOR,2,Norway,Montpellier,10 June 1998,Group matches - Group A,MAR,2,Morocco,https://www.fifa.com/worldcup/matches/round=1014/match=8725/index.html#nosticky,
31800,CHI,2,Chile,Bordeaux,11 June 1998,Group matches - Group B,ITA,2,Italy,https://www.fifa.com/worldcup/matches/round=1014/match=8726/index.html#nosticky,
33500,AUT,1,Austria,Toulouse,11 June 1998,Group matches - Group B,CMR,1,Cameroon,https://www.fifa.com/worldcup/matches/round=1014/match=8727/index.html#nosticky,
29800,BUL,0,Bulgaria,Montpellier,12 June 1998,Group matches - Group D,PAR,0,Paraguay,https://www.fifa.com/worldcup/matches/round=1014/match=8728/index.html#nosticky,
38100,DEN,1,Denmark,Lens,12 June 1998,Group matches - Group C,KSA,0,Saudi Arabia,https://www.fifa.com/worldcup/matches/round=1014/match=8729/index.html#nosticky,
55000,RSA,0,South Africa,Marseilles,12 June 1998,Group matches - Group C,FRA,3,France,https://www.fifa.com/worldcup/matches/round=1014/match=8730/index.html#nosticky,
35500,NGA,3,Nigeria,Nantes,13 June 1998,Group matches - Group D,ESP,2,Spain,https://www.fifa.com/worldcup/matches/round=1014/match=8731/index.html#nosticky,
39100,MEX,3,Mexico,Lyon,13 June 1998,Group matches - Group E,KOR,1,Korea Republic,https://www.fifa.com/worldcup/matches/round=1014/match=8732/index.html#nosticky,
77000,BEL,0,Belgium,Saint-Denis,13 June 1998,Group matches - Group E,NED,0,Netherlands,https://www.fifa.com/worldcup/matches/round=1014/match=8733/index.html#nosticky,
33500,JPN,0,Japan,Toulouse,14 June 1998,Group matches - Group H,ARG,1,Argentina,https://www.fifa.com/worldcup/matches/round=1014/match=8734/index.html#nosticky,
30600,IRN,0,Iran,Saint-Etienne,14 June 1998,Group matches - Group F,YUG,1,Yugoslavia,https://www.fifa.com/worldcup/matches/round=1014/match=8735/index.html#nosticky,
38100,CRO,3,Croatia,Lens,14 June 1998,Group matches - Group H,JAM,1,Jamaica,https://www.fifa.com/worldcup/matches/round=1014/match=8736/index.html#nosticky,
55000,TUN,0,Tunisia,Marseilles,15 June 1998,Group matches - Group G,ENG,2,England,https://www.fifa.com/worldcup/matches/round=1014/match=8740/index.html#nosticky,
39100,COL,0,Colombia,Lyon,15 June 1998,Group matches - Group G,ROU,1,Romania,https://www.fifa.com/worldcup/matches/round=1014/match=8739/index.html#nosticky,
45500,USA,0,USA,Paris,15 June 1998,Group matches - Group F,GER,2,Germany,https://www.fifa.com/worldcup/matches/round=1014/match=8738/index.html#nosticky,
31800,NOR,1,Norway,Bordeaux,16 June 1998,Group matches - Group A,SCO,1,Scotland,https://www.fifa.com/worldcup/matches/round=1014/match=8741/index.html#nosticky,
35500,MAR,0,Morocco,Nantes,16 June 1998,Group matches - Group A,BRA,3,Brazil,https://www.fifa.com/worldcup/matches/round=1014/match=8742/index.html#nosticky,
30600,AUT,1,Austria,Saint-Etienne,17 June 1998,Group matches - Group B,CHI,1,Chile,https://www.fifa.com/worldcup/matches/round=1014/match=8743/index.html#nosticky,
29800,CMR,0,Cameroon,Montpellier,17 June 1998,Group matches - Group B,ITA,3,Italy,https://www.fifa.com/worldcup/matches/round=1014/match=8744/index.html#nosticky,
33500,DEN,1,Denmark,Toulouse,18 June 1998,Group matches - Group C,RSA,1,South Africa,https://www.fifa.com/worldcup/matches/round=1014/match=8746/index.html#nosticky,
80000,KSA,0,Saudi Arabia,Saint-Denis,18 June 1998,Group matches - Group C,FRA,4,France,https://www.fifa.com/worldcup/matches/round=1014/match=8745/index.html#nosticky,
45500,BUL,0,Bulgaria,Paris,19 June 1998,Group matches - Group D,NGA,1,Nigeria,https://www.fifa.com/worldcup/matches/round=1014/match=8747/index.html#nosticky,
30600,PAR,0,Paraguay,Saint-Etienne,19 June 1998,Group matches - Group D,ESP,0,Spain,https://www.fifa.com/worldcup/matches/round=1014/match=8748/index.html#nosticky,
35500,CRO,1,Croatia,Nantes,20 June 1998,Group matches - Group H,JPN,0,Japan,https://www.fifa.com/worldcup/matches/round=1014/match=8751/index.html#nosticky,
31800,MEX,2,Mexico,Bordeaux,20 June 1998,Group matches - Group E,BEL,2,Belgium,https://www.fifa.com/worldcup/matches/round=1014/match=8750/index.html#nosticky,
55000,KOR,0,Korea Republic,Marseilles,20 June 1998,Group matches - Group E,NED,5,Netherlands,https://www.fifa.com/worldcup/matches/round=1014/match=8749/index.html#nosticky,
