CountryCode,MatchesPlayed,Player,RedCards,YellowCards
CMR,3,Rigobert SONG,1,2
ARG,5,Ariel ORTEGA,1,2
RSA,1,Alfred PHIRI,1,1
MEX,3,Ramon RAMIREZ,1,1
DEN,3,Morten WIEGHORST,1,1
FRA,5,Zinedine ZIDANE,1,1
FRA,5,Laurent BLANC,1,1
BEL,1,Gert VERHEYEN,1,0
DEN,1,Miklos MOLNAR,1,0
CMR,1,LAUREN,1,0
CMR,2,Raymond KALLA,1,0
KSA,2,Mohammed AL KHILAIWI,1,0
KOR,2,HA Seok Ju,1,0
ENG,3,David BECKHAM,1,0
MEX,3,Pavel PARDO,1,0
SCO,3,Craig BURLEY,1,0
NED,4,Patrick KLUIVERT,1,0
GER,5,Christian WOERNS,1,0
CRO,6,Dario SIMIC,0,3
NED,6,Arthur NUMAN,0,1
FRA,6,Didier DESCHAMPS,0,3
BRA,6,CESAR SAMPAIO,0,3
CRO,7,Mario STANIC,0,3
JPN,2,Eisuke NAKANISHI,0,2
SCO,2,Darren JACKSON,0,2
MAR,2,Said CHIBA,0,2
JAM,2,Darryl POWELL,0,0
BUL,2,Anatoli NANKOV,0,0
TUN,2,CLAYTON,0,2
DEN,2,Stig TOFTING,0,2
COL,2,Jose SANTA,0,2
CHI,3,Nelson PARRAGUEZ,0,2
CHI,3,Francisco ROJAS,0,2
CHI,3,Moises VILLARROEL,0,2
AUT,3,Peter SCHOETTEL,0,2
NGA,3,Jay Jay OKOCHA,0,2
RSA,3,Lucas RADEBE,0,2
NGA,3,Uche OKECHUKWU,0,2
KOR,3,LEE Min Sung,0,2
ROU,3,Iulian FILIPESCU,0,2
PAR,3,Francisco ARCE,0,2
MEX,4,Cuauhtemoc BLANCO,0,2
PAR,4,Miguel BENITEZ,0,2
ROU,4,Gheorghe POPESCU,0,2
GER,4,Lothar MATTHAEUS,0,2
ARG,4,Jose CHAMOT,0,2
YUG,4,Dragan STOJKOVIC,0,2
ROU,4,Dan PETRESCU,0,2
NOR,4,Kjetil REKDAL,0,2
GER,4,Michael TARNAT,0,2
GER,5,Joerg HEINRICH,0,2
DEN,5,Soren COLDING,0,2
DEN,5,Marc RIEPER,0,2
ITA,5,Alessandro COSTACURTA,0,2
ITA,5,Paolo MALDINI,0,2
ITA,5,Luigi DI BIAGIO,0,2
GER,5,Didi HAMANN,0,2
NED,6,Edgar DAVIDS,0,2
BRA,6,CAFU (Marcos Evangelista de Moraes),0,2
BRA,6,ALDAIR,0,2
CRO,6,Zvonimir BOBAN,0,2
CRO,6,Zvonimir SOLDO,0,2
CRO,7,Aljosa ASANOVIC,0,2
NED,7,Jaap STAM,0,2
FRA,7,Marcel DESAILLY,0,0
CRO,7,Slaven BILIC,0,2
BRA,7,JUNIOR BAIANO,0,2
ESP,1,IVAN CAMPO,0,1
KOR,1,LEE Lim Saeng,0,1
NGA,1,Augustine EGUAVOEN,0,1
AUT,1,Hannes REINMAYR,0,1
BRA,1,ZE CARLOS II,0,1
ESP,1,Julen GUERRERO,0,1
NGA,1,Ben IROHA,0,1
ESP,2,Miguel Angel NADAL,0,1
MEX,2,Jaime ORDIALES,0,1
JAM,2,Peter CARGILL,0,1
BEL,2,Gordan VIDOVIC,0,1
GER,2,Markus BABBEL,0,1
JAM,2,Christopher DAWES,0,1
JAM,2,Stephen MALCOLM,0,1
JPN,2,Takashi HIRANO,0,1
KOR,2,CHOI Yongsoo,0,1
ESP,2,AGUILERA,0,1
MEX,2,Salvador CARMONA,0,1
KSA,2,Khaled AL MUWALLID,0,1
BUL,2,Georgi BACHEV,0,1
YUG,2,Zoran MIRKOVIC,0,1
USA,2,Eddie POPE,0,1
PAR,2,Aristides ROJAS,0,1
RSA,2,Willem JACKSON,0,1
CMR,2,Samuel IPOUA,0,1
FRA,2,Patrick VIEIRA,0,1
TUN,2,Riadh BOUAZIZI,0,1
MAR,3,Youssef CHIPPO,0,1
AUT,3,Anton PFEFFER,0,1
USA,3,David REGIS,0,1
TUN,3,Zoubeir BEYA,0,1
CMR,3,Pierre NJANKA,0,1
CMR,3,Didier ANGIBEAUD,0,1
ITA,3,Giuseppe BERGOMI,0,1
SCO,3,Gordon DURIE,0,1
YUG,3,Dejan STANKOVIC,0,1
RSA,3,Pierre ISSA,0,1
CRO,3,Krunoslav JURCIC,0,1
KOR,3,KIM Byung Ji,0,1
RSA,3,Quinton FORTUNE,0,1
IRN,3,Mehrdad MINAVAND,0,1
BUL,3,Radostin KISHISHEV,0,1
KOR,3,KIM Taeyoung,0,1
USA,3,Frankie HEJDUK,0,1
JAM,3,Deon BURTON,0,1
YUG,3,Perica OGNJENOVIC,0,1
TUN,3,Imed BEN YOUNES,0,1
COL,3,Jorge BERMUDEZ,0,1
FRA,3,Bernard DIOMEDE,0,1
JPN,3,Motohiro YAMAGUCHI,0,1
JPN,3,Hiroshi NANAMI,0,1
JPN,3,Yutaka AKITA,0,1
KOR,3,KO Jong Soo,0,1
KSA,3,Khamis AL DOSSARI,0,1
KSA,3,Mohammed AL JAHANI,0,1
MAR,3,Abdeljalil HADDA,0,1
MEX,3,German VILLA,0,1
TUN,3,Kais GHODHBANE,0,1
TUN,3,Skander SOUAYEH,0,1
GER,3,Jens JEREMIES,0,1
NED,3,Pierre VAN HOOIJDONK,0,1
CMR,3,Pierre WOME,0,1
ESP,3,KIKO,0,1
ESP,3,SERGI,0,1
CHI,3,Miguel RAMIREZ,0,1
BEL,3,Eric DEFLANDRE,0,1
AUT,3,Ivica VASTIC,0,1
COL,3,Mauricio SERNA,0,1
COL,3,Victor ARISTIZABAL,0,1
AUT,3,Wolfgang FEIERSINGER,0,1
BUL,3,Ilian ILIEV,0,1
JPN,3,Masami IHARA,0,1
BUL,3,Trifon IVANOV,0,1
ARG,3,Roberto SENSINI,0,1
BEL,3,Lorenzo STAELENS,0,1
SCO,3,Kevin GALLACHER,0,1
BEL,3,Vital BORKELMANS,0,1
BUL,3,Hristo STOICHKOV,0,1
BUL,3,Lyuboslav PENEV,0,1
MEX,3,Ricardo PELAEZ,0,1
NGA,3,Victor IKPEBA,0,1
NOR,3,Oyvind LEONHARDSEN,0,1
NOR,3,Erik MYKLAND,0,1
ESP,3,Guillermo AMOR,0,1
KSA,3,Sami AL JABER,0,1
USA,3,Claudio REYNA,0,1
RSA,3,David NYATHI,0,1
NGA,3,Mutiu ADEPOJU,0,1
IRN,3,Javad ZARINCHEH,0,1
IRN,3,Ali DAEI,0,1
ROU,4,Dorinel MUNTEANU,0,1
NOR,4,Henning BERG,0,1
MEX,4,Alberto GARCIA ASPE,0,1
CHI,4,Ivan ZAMORANO,0,1
ROU,4,Gheorghe HAGI,0,1
ENG,4,David SEAMAN,0,1
FRA,4,Christian KAREMBEU,0,1
ENG,4,Paul INCE,0,1
ENG,4,Alan SHEARER,0,1
ARG,4,Nelson VIVAS,0,1
CHI,4,Clarence ACUNA,0,1
CHI,4,Fabian ESTAY,0,1
CHI,4,Ronald FUENTES,0,1
CHI,4,Marcelo SALAS,0,1
CHI,4,Nelson TAPIA,0,1
DEN,4,Michael SCHJONBERG,0,1
ENG,4,Paul SCHOLES,0,1
NED,4,Michael REIZIGER,0,1
NED,4,Clarence SEEDORF,0,1
ITA,4,Alessandro DEL PIERO,0,1
ITA,4,Angelo DI LIVIO,0,1
ROU,4,Liviu CIOBOTARIU,0,1
ROU,4,Adrian ILIE,0,1
NOR,4,Havard FLO,0,1
NOR,4,Tore Andre FLO,0,1
MEX,4,Duilio DAVINO,0,1
ENG,4,Sol CAMPBELL,0,1
PAR,4,Jose Luis CHILAVERT,0,1
PAR,4,Celso AYALA,0,1
PAR,4,Julio Cesar ENCISO,0,1
YUG,4,Goran DJOROVIC,0,1
YUG,4,Zeljko PETROVIC,0,1
MEX,4,Luis HERNANDEZ,0,1
GER,4,Thomas HAESSLER,0,1
ITA,4,Francesco MORIERO,0,1
GER,5,Juergen KLINSMANN,0,1
CRO,5,Robert PROSINECKI,0,1
DEN,5,Jes HOGH,0,1
ITA,5,Fabio CANNAVARO,0,1
DEN,5,Thomas HELVEG,0,1
ARG,5,Carlos ROA,0,1
ARG,5,Juan VERON,0,1
ARG,5,Matias ALMEYDA,0,1
ARG,5,Roberto AYALA,0,1
DEN,5,Allan NIELSEN,0,1
DEN,5,Peter SCHMEICHEL,0,1
ARG,5,Diego SIMEONE,0,1
NED,6,Wim JONK,0,1
FRA,6,Emmanuel PETIT,0,1
FRA,6,Stephane GUIVARCH,0,1
FRA,6,Bixente LIZARAZU,0,1
BRA,7,ROBERTO CARLOS,0,1
CRO,7,Robert JARNI,0,1
CRO,7,Igor STIMAC,0,1
BRA,7,LEONARDO,0,1
CRO,7,Davor SUKER,0,1
