Country,CountryCode,Goals,GoalsAgainst,MatchesPlayed
France,FRA,15,2,7
Brazil,BRA,14,10,7
Netherlands,NED,13,7,7
Croatia,CRO,11,5,7
Argentina,ARG,10,4,5
Denmark,DEN,9,7,5
Spain,ESP,8,4,3
Mexico,MEX,8,7,4
Germany,GER,8,6,5
Italy,ITA,8,3,5
England,ENG,7,4,4
Nigeria,NGA,6,9,4
Morocco,MAR,5,5,3
Chile,CHI,5,8,4
Norway,NOR,5,5,4
Yugoslavia,YUG,5,4,4
Romania,ROU,4,3,4
Austria,AUT,3,4,3
Belgium,BEL,3,3,3
Jamaica,JAM,3,9,3
South Africa,RSA,3,6,3
Paraguay,PAR,3,2,4
Iran,IRN,2,4,3
Korea Republic,KOR,2,9,3
Saudi Arabia,KSA,2,7,3
Cameroon,CMR,2,5,3
Scotland,SCO,2,6,3
Japan,JPN,1,4,3
Tunisia,TUN,1,4,3
Bulgaria,BUL,1,7,3
Colombia,COL,1,3,3
USA,USA,1,5,3
