Age,Country,CountryCode,Player,Position
15 August 1969  ,Argentina,ARG,Carlos ROA,Goalkeeper
14 April 1973  ,Argentina,ARG,Roberto AYALA,Defender
17 May 1969  ,Argentina,ARG,Jose CHAMOT,Defender
13 July 1975  ,Argentina,ARG,Mauricio PINEDA,Defender
21 December 1973  ,Argentina,ARG,Matias ALMEYDA,Midfielder
12 October 1966  ,Argentina,ARG,Roberto SENSINI,Defender
17 July 1974  ,Argentina,ARG,Claudio LOPEZ,Forward
28 April 1970  ,Argentina,ARG,Diego SIMEONE,Midfielder
1 February 1969  ,Argentina,ARG,Gabriel BATISTUTA,Forward
4 March 1974  ,Argentina,ARG,Ariel ORTEGA,Forward
9 March 1975  ,Argentina,ARG,Juan VERON,Midfielder
16 April 1969  ,Argentina,ARG,German BURGOS,Goalkeeper
27 January 1973  ,Argentina,ARG,Pablo PAZ,Defender
18 October 1969  ,Argentina,ARG,Nelson VIVAS,Defender
6 January 1970  ,Argentina,ARG,Leonardo ASTRADA,Midfielder
17 February 1969  ,Argentina,ARG,Sergio BERTI,Midfielder
13 April 1974  ,Argentina,ARG,Pablo CAVALLERO,Goalkeeper
1 June 1966  ,Argentina,ARG,Abel BALBO,Forward
5 July 1975  ,Argentina,ARG,Hernan CRESPO,Forward
18 January 1976  ,Argentina,ARG,Marcelo GALLARDO,Midfielder
24 March 1973  ,Argentina,ARG,Marcelo DELGADO,Forward
10 August 1973  ,Argentina,ARG,Javier ZANETTI,Defender
25 May 1953  ,Argentina,ARG,PASSARELLA Daniel,Coach
6 March 1962  ,Austria,AUT,Michael KONSEL,Goalkeeper
22 February 1974  ,Austria,AUT,Markus SCHOPP,Midfielder
26 March 1967  ,Austria,AUT,Peter SCHOETTEL,Defender
17 August 1965  ,Austria,AUT,Anton PFEFFER,Defender
30 January 1965  ,Austria,AUT,Wolfgang FEIERSINGER,Defender
12 December 1967  ,Austria,AUT,Walter KOGLER,Defender
16 September 1974  ,Austria,AUT,Mario HAAS,Forward
29 December 1966  ,Austria,AUT,Heimo PFEIFENBERGER,Midfielder
29 September 1969  ,Austria,AUT,Ivica VASTIC,Forward
10 September 1968  ,Austria,AUT,Andreas HERZOG,Midfielder
23 July 1974  ,Austria,AUT,Martin AMERHAUSER,Midfielder
11 March 1973  ,Austria,AUT,Martin HIDEN,Defender
