Attendance,AwayCode,AwayScore,AwayTeam,City,Date,Description,HomeCode,HomeScore,HomeTeam,MatchReport,Penalty
62561,SEN,1,Senegal,Seoul,31 May 2002,Group matches - Group A,FRA,0,France,https://www.fifa.com/worldcup/matches/round=43950100/match=43950001/index.html#nosticky,
30157,DEN,2,Denmark,Ulsan,01 June 2002,Group matches - Group A,URU,1,Uruguay,https://www.fifa.com/worldcup/matches/round=43950100/match=43950003/index.html#nosticky,
33679,CMR,1,Cameroon,Niigata,01 June 2002,Group matches - Group E,IRL,1,Republic of Ireland,https://www.fifa.com/worldcup/matches/round=43950100/match=43950002/index.html#nosticky,
32218,KSA,0,Saudi Arabia,Sapporo,01 June 2002,Group matches - Group E,GER,8,Germany,https://www.fifa.com/worldcup/matches/round=43950100/match=43950004/index.html#nosticky,
34050,NGA,0,Nigeria,Ibaraki,02 June 2002,Group matches - Group F,ARG,1,Argentina,https://www.fifa.com/worldcup/matches/round=43950100/match=43950007/index.html#nosticky,
25186,RSA,2,South Africa,Busan,02 June 2002,Group matches - Group B,PAR,2,Paraguay,https://www.fifa.com/worldcup/matches/round=43950100/match=43950006/index.html#nosticky,
52721,SWE,1,Sweden,Saitama,02 June 2002,Group matches - Group F,ENG,1,England,https://www.fifa.com/worldcup/matches/round=43950100/match=43950005/index.html#nosticky,
28598,SVN,1,Slovenia,Gwangju,02 June 2002,Group matches - Group B,ESP,3,Spain,https://www.fifa.com/worldcup/matches/round=43950100/match=43950008/index.html#nosticky,
33842,TUR,1,Turkey,Ulsan,03 June 2002,Group matches - Group C,BRA,2,Brazil,https://www.fifa.com/worldcup/matches/round=43950100/match=43950010/index.html#nosticky,
31081,ECU,0,Ecuador,Sapporo,03 June 2002,Group matches - Group G,ITA,2,Italy,https://www.fifa.com/worldcup/matches/round=43950100/match=43950011/index.html#nosticky,
32239,MEX,1,Mexico,Niigata,03 June 2002,Group matches - Group G,CRO,0,Croatia,https://www.fifa.com/worldcup/matches/round=43950100/match=43950009/index.html#nosticky,
27217,CRC,2,Costa Rica,Gwangju,04 June 2002,Group matches - Group C,CHN,0,China PR,https://www.fifa.com/worldcup/matches/round=43950100/match=43950012/index.html#nosticky,
55256,BEL,2,Belgium,Saitama,04 June 2002,Group matches - Group H,JPN,2,Japan,https://www.fifa.com/worldcup/matches/round=43950100/match=43950013/index.html#nosticky,
48760,POL,0,Poland,Busan,04 June 2002,Group matches - Group D,KOR,2,Korea Republic,https://www.fifa.com/worldcup/matches/round=43950100/match=43950014/index.html#nosticky,
30957,TUN,0,Tunisia,Kobe,05 June 2002,Group matches - Group H,RUS,2,Russia,https://www.fifa.com/worldcup/matches/round=43950100/match=43950015/index.html#nosticky,
37306,POR,2,Portugal,Suwon,05 June 2002,Group matches - Group D,USA,3,USA,https://www.fifa.com/worldcup/matches/round=43950100/match=43950016/index.html#nosticky,
35854,IRL,1,Republic of Ireland,Ibaraki,05 June 2002,Group matches - Group E,GER,1,Germany,https://www.fifa.com/worldcup/matches/round=43950100/match=43950017/index.html#nosticky,
43500,SEN,1,Senegal,Daegu,06 June 2002,Group matches - Group A,DEN,1,Denmark,https://www.fifa.com/worldcup/matches/round=43950100/match=43950020/index.html#nosticky,
52328,KSA,0,Saudi Arabia,Saitama,06 June 2002,Group matches - Group E,CMR,1,Cameroon,https://www.fifa.com/worldcup/matches/round=43950100/match=43950019/index.html#nosticky,
38289,URU,0,Uruguay,Busan,06 June 2002,Group matches - Group A,FRA,0,France,https://www.fifa.com/worldcup/matches/round=43950100/match=43950018/index.html#nosticky,
36194,NGA,1,Nigeria,Kobe,07 June 2002,Group matches - Group F,SWE,2,Sweden,https://www.fifa.com/worldcup/matches/round=43950100/match=43950021/index.html#nosticky,
35927,ENG,1,England,Sapporo,07 June 2002,Group matches - Group F,ARG,0,Argentina,https://www.fifa.com/worldcup/matches/round=43950100/match=43950023/index.html#nosticky,
24000,PAR,1,Paraguay,Jeonju,07 June 2002,Group matches - Group B,ESP,3,Spain,https://www.fifa.com/worldcup/matches/round=43950100/match=43950022/index.html#nosticky,
47226,SVN,0,Slovenia,Daegu,08 June 2002,Group matches - Group B,RSA,1,South Africa,https://www.fifa.com/worldcup/matches/round=43950100/match=43950024/index.html#nosticky,
36750,CHN,0,China PR,Jeju,08 June 2002,Group matches - Group C,BRA,4,Brazil,https://www.fifa.com/worldcup/matches/round=43950100/match=43950026/index.html#nosticky,
36472,CRO,2,Croatia,Ibaraki,08 June 2002,Group matches - Group G,ITA,1,Italy,https://www.fifa.com/worldcup/matches/round=43950100/match=43950025/index.html#nosticky,
42299,TUR,1,Turkey,Incheon,09 June 2002,Group matches - Group C,CRC,1,Costa Rica,https://www.fifa.com/worldcup/matches/round=43950100/match=43950028/index.html#nosticky,
66108,RUS,0,Russia,Yokohama,09 June 2002,Group matches - Group H,JPN,1,Japan,https://www.fifa.com/worldcup/matches/round=43950100/match=43950029/index.html#nosticky,
45610,ECU,1,Ecuador,Rifu,09 June 2002,Group matches - Group G,MEX,2,Mexico,https://www.fifa.com/worldcup/matches/round=43950100/match=43950027/index.html#nosticky,
60778,USA,1,USA,Daegu,10 June 2002,Group matches - Group D,KOR,1,Korea Republic,https://www.fifa.com/worldcup/matches/round=43950100/match=43950030/index.html#nosticky,
31000,POL,0,Poland,Jeonju,10 June 2002,Group matches - Group D,POR,4,Portugal,https://www.fifa.com/worldcup/matches/round=43950100/match=43950032/index.html#nosticky,
39700,BEL,1,Belgium,Oita,10 June 2002,Group matches - Group H,TUN,1,Tunisia,https://www.fifa.com/worldcup/matches/round=43950100/match=43950031/index.html#nosticky,
48100,FRA,0,France,Incheon,11 June 2002,Group matches - Group A,DEN,2,Denmark,https://www.fifa.com/worldcup/matches/round=43950100/match=43950033/index.html#nosticky,
