CountryCode,MatchesPlayed,Player,RedCards,YellowCards
TUR,5,Alpay OZALAN,1,2
SEN,3,Salif DIAO,1,1
PAR,4,Roberto ACUNA,1,1
BRA,5,RONALDINHO,1,1
CRO,1,Boris ZIVKOVIC,1,0
ARG,1,Claudio CANIGGIA,1,0
FRA,2,Thierry HENRY,1,0
CHN,2,SHAO Jiayi,1,0
SVN,2,Nastja CEH,1,0
POR,3,BETO,0,1
POR,3,JOAO PINTO,1,0
ITA,4,Francesco TOTTI,0,1
MEX,4,Rafael MARQUEZ,1,0
GER,6,Michael BALLACK,0,3
TUR,6,Emre BELOZOGLU,0,3
TUR,7,Tugay KERIMOGLU,0,3
FRA,2,Emmanuel PETIT,0,2
POL,2,Piotr SWIERCZEWSKI,0,2
TUR,2,Emre ASIK,0,2
URU,2,Marcelo ROMERO,0,2
TUN,2,Hassan GABSI,0,2
CMR,2,Patrick SUFFO,0,0
RUS,2,Dmitry ALENICHEV,0,2
PAR,2,Carlos PAREDES,0,0
USA,2,Gregg BERHALTER,0,2
SVN,3,Zeljko MILINOVIC,0,2
SVN,3,Miran PAVLIN,0,2
RSA,3,Aaron MOKOENA,0,2
URU,3,Pablo GARCIA,0,2
DEN,3,Christian POULSEN,0,2
USA,3,Pablo MASTROENI,0,2
SVN,3,Amir KARIC,0,2
RUS,3,Andrei SOLOMATIN,0,2
POR,3,JORGE COSTA,0,2
ITA,3,Fabio CANNAVARO,0,2
ECU,3,Clever CHALA,0,2
SEN,4,Khalilou FADIGA,0,2
GER,4,Christian ZIEGE,0,2
TUR,4,Hakan UNSAL,0,0
USA,4,Frankie HEJDUK,0,2
ESP,4,Ruben BARAJA,0,2
SEN,4,Aliou CISSE,0,2
BEL,4,Yves VANDERHAEGHE,0,2
JPN,4,Kazuyuki TODA,0,2
SEN,5,Ferdinand COLY,0,2
SEN,5,Omar DAF,0,2
USA,5,Eddie POPE,0,2
GER,5,Carsten RAMELOW,0,0
TUR,6,Hasan SAS,0,2
GER,6,Didi HAMANN,0,2
BRA,6,ROQUE JUNIOR,0,2
KOR,7,KIM Taeyoung,0,2
POL,1,Radoslaw MAJDAN,0,1
TUN,1,Riadh BOUAZIZI,0,1
POL,1,Cezary KUCHARSKI,0,1
ARG,1,Matias ALMEYDA,0,1
URU,1,Gustavo MENDEZ,0,1
JPN,1,Masashi NAKAYAMA,0,1
ARG,1,Jose CHAMOT,0,1
MEX,1,Alberto GARCIA ASPE,0,1
POL,1,Arkadiusz BAK,0,1
PAR,1,Ricardo TAVARELLI,0,1
ITA,1,Vincenzo MONTELLA,0,1
RSA,1,Pierre ISSA,0,1
GER,1,Frank BAUMANN,0,1
SVN,1,Muamer VUGDALIC,0,1
SEN,1,Pape THIAW,0,1
POR,1,FRECHAUT,0,1
RUS,1,Dmitri SENNIKOV,0,1
TUN,1,Mourad EL MELKI,0,1
IRL,2,Steven REID,0,1
RUS,2,Igor SEMSHOV,0,1
RUS,2,Ruslan PIMENOV,0,1
BEL,2,Peter VAN DER HEYDEN,0,1
CHN,2,YANG Pu,0,1
GER,2,Sebastian KEHL,0,1
USA,2,Josh WOLFF,0,1
RUS,2,Alexei SMERTIN,0,1
ITA,2,Francesco COCO,0,1
ARG,2,Diego SIMEONE,0,1
DEN,2,Jan HEINTZE,0,1
KSA,2,Mohammed NOOR,0,1
ECU,2,Ivan KAVIEDES,0,1
NGA,2,Efetobore SODJE,0,1
RSA,2,Siyabonga NOMVETHE,0,1
BEL,2,Eric VAN MEIR,0,1
IRL,2,Jason McATEER,0,1
PAR,2,Juan Carlos FRANCO,0,1
KOR,2,LEE Min Sung,0,1
TUN,2,Kais GHODHBANE,0,1
NGA,2,Taribo WEST,0,1
POL,2,Tomasz HAJTO,0,1
ARG,3,Cristian GONZALEZ,0,1
CRC,3,Ronald GOMEZ,0,1
CRC,3,Luis MARIN,0,1
MEX,3,Luis HERNANDEZ,0,1
RSA,3,Benni McCARTHY,0,1
CMR,3,Rigobert SONG,0,1
DEN,3,Niclas JENSEN,0,1
GER,3,Carsten JANCKER,0,1
POR,3,RUI JORGE,0,1
MEX,3,Jesus ARELLANO,0,1
FRA,3,Christophe DUGARRY,0,1
PAR,3,Jose CARDOZO,0,1
TUN,3,Khaled BADRA,0,1
SVN,3,Mladen RUDONJA,0,1
SVN,3,Ales CEH,0,1
SVN,3,Sebastijan CIMIROTIC,0,1
RUS,3,Dmitry KHOKHLOV,0,1
URU,3,Dario SILVA,0,1
USA,3,Jeff AGOOS,0,1
URU,3,Sebastian ABREU,0,1
URU,3,Paolo MONTERO,0,1
CMR,3,Raymond KALLA,0,1
CMR,3,Marc-Vivien FOE,0,1
POL,3,Marek KOZMINSKI,0,1
CHN,3,LI Tie,0,1
CMR,3,Pierre WOME,0,1
CRC,3,Mauricio SOLIS,0,1
ECU,3,Jose CEVALLOS,0,1
ECU,3,Ulises DE LA CRUZ,0,1
ECU,3,Agustin DELGADO,0,1
RSA,3,Cyril NZAMA,0,1
ECU,3,Augusto POROSO,0,1
ARG,3,Walter SAMUEL,0,1
URU,3,Fabian CARINI,0,1
URU,3,Dario RODRIGUEZ,0,1
ARG,3,Gabriel BATISTUTA,0,1
RSA,3,Lucas RADEBE,0,1
ITA,3,Cristiano ZANETTI,0,1
CRC,3,Walter CENTENO,0,1
USA,3,Eddie LEWIS,0,1
POL,3,Jacek KRZYNOWEK,0,1
POL,3,Emmanuel OLISADEBE,0,1
CRO,3,Robert KOVAC,0,1
CMR,3,Bill TCHATO,0,1
CMR,3,Salomon OLEMBE,0,1
CMR,3,LAUREN,0,1
DEN,3,Ebbe SAND,0,1
KSA,3,Nawaf AL TEMIYAT,0,1
CRO,3,Stjepan TOMAS,0,1
TUN,3,Hatem TRABELSI,0,1
RSA,3,Bradley CARNELL,0,1
PAR,3,Diego GAVILAN,0,1
USA,3,DaMarcus BEASLEY,0,1
CMR,3,GEREMI,0,1
TUN,3,Zied JAZIRI,0,1
ESP,3,JUANFRAN,0,1
CHN,3,XU Yunlong,0,1
CHN,3,LI Weifeng,0,1
SEN,3,Habib BEYE,0,1
CHN,3,LI Xiaopeng,0,1
POR,3,PETIT,0,1
CRC,3,Gilberto MARTINEZ,0,1
CRC,3,Carlos CASTRO,0,1
RSA,3,Sibusiso ZUMA,0,1
RSA,3,Teboho MOKOENA,0,1
ECU,3,Raul GUERRON,0,1
KSA,3,Al Hasan AL YAMI,0,1
CRO,3,Josip SIMUNIC,0,1
ECU,3,Carlos TENORIO,0,1
KOR,4,CHA Du Ri,0,1
KOR,4,LEE Eul Yong,0,1
PAR,4,Julio Cesar CACERES,0,1
BEL,4,Daniel VAN BUYTEN,0,1
IRL,4,Steve FINNAN,0,1
ESP,4,Juan Carlos VALERON,0,1
ITA,4,Gianluca ZAMBROTTA,0,1
SWE,4,Magnus SVENSSON,0,1
SWE,4,Marcus ALLBACK,0,1
DEN,4,Martin LAURSEN,0,1
MEX,4,Oscar PEREZ,0,1
ESP,4,Fernando HIERRO,0,1
JPN,4,Tsuneyasu MIYAMOTO,0,1
JPN,4,Koji NAKATA,0,1
JPN,4,Junichi INAMOTO,0,1
SWE,4,Henrik LARSSON,0,1
USA,4,Claudio REYNA,0,1
ITA,4,Christian PANUCCI,0,1
MEX,4,Gerardo TORRADO,0,1
IRL,4,Steve STAUNTON,0,1
PAR,4,Roque SANTA CRUZ,0,1
SEN,4,Henri CAMARA,0,1
DEN,4,Thomas HELVEG,0,1
DEN,4,Jon Dahl TOMASSON,0,1
ITA,4,Damiano TOMMASI,0,1
ITA,4,Christian VIERI,0,1
BEL,4,Gert VERHEYEN,0,1
DEN,4,Stig TOFTING,0,1
SWE,4,Niclas ALEXANDERSSON,0,1
SWE,4,Andreas JAKOBSSON,0,1
PAR,4,Francisco ARCE,0,1
ESP,4,DE PEDRO,0,1
MEX,4,Cuauhtemoc BLANCO,0,1
MEX,4,Salvador CARMONA,0,1
PAR,4,Denis CANIZA,0,1
MEX,4,Manuel VIDRIO,0,1
SWE,4,Johan MJALLBY,0,1
ENG,5,Sol CAMPBELL,0,1
TUR,5,Ergun PENBE,0,1
ENG,5,Paul SCHOLES,0,1
SEN,5,El Hadji DIOUF,0,1
BRA,5,DENILSON,0,1
USA,5,Brad FRIEDEL,0,1
ESP,5,Fernando MORIENTES,0,1
ENG,5,Rio FERDINAND,0,1
ENG,5,Emile HESKEY,0,1
ENG,5,Ashley COLE,0,1
KOR,5,KIM Nam Il,0,1
SEN,5,Bouba DIOP,0,1
ENG,5,Danny MILLS,0,1
GER,6,Oliver NEUVILLE,0,1
BRA,6,ROBERTO CARLOS,0,1
KOR,6,CHOI Jin Cheul,0,1
TUR,7,Fatih AKYEL,0,1
KOR,7,YOO Sang Chul,0,1
KOR,7,AHN Jung Hwan,0,1
GER,7,Bernd SCHNEIDER,0,1
TUR,7,Hakan SUKUR,0,1
BRA,7,CAFU (Marcos Evangelista de Moraes),0,1
GER,7,Oliver KAHN,0,1
KOR,7,HONG Myungbo,0,1
GER,7,Jens JEREMIES,0,1
TUR,7,Rustu RECBER,0,1
KOR,7,PARK Ji Sung,0,1
KOR,7,SEOL Ki Hyeon,0,1
KOR,7,LEE Chun Soo,0,1
KOR,7,SONG Chong Gug,0,1
GER,7,Miroslav KLOSE,0,1
GER,7,Torsten FRINGS,0,1
TUR,7,Ilhan MANSIZ,0,1
BRA,7,GILBERTO SILVA,0,1
