CountryCode,Goals,MatchesPlayed,MinutesPlayed,Player
BRA,8,7,553,RONALDO
GER,5,7,567,Miroslav KLOSE
BRA,5,7,612,RIVALDO
DEN,4,4,360,Jon Dahl TOMASSON
ITA,4,4,390,Christian VIERI
GER,3,6,540,Michael BALLACK
TUR,3,7,230,Ilhan MANSIZ
POR,3,3,249,PAULETA
ESP,3,5,338,Fernando MORIENTES
ESP,3,4,342,RAUL
BEL,3,4,360,Marc WILMOTS
SWE,3,4,388,Henrik LARSSON
IRL,3,4,390,Robbie KEANE
SEN,3,5,510,Bouba DIOP
BRA,2,5,336,RONALDINHO
SEN,2,4,351,Henri CAMARA
TUR,2,6,565,Hasan SAS
CRC,2,3,270,Ronald GOMEZ
TUR,2,7,548,Umit DAVALA
PAR,2,2,29,Nelson CUEVAS
JPN,2,4,267,Junichi INAMOTO
MEX,2,4,315,Jared BORGETTI
ENG,2,5,372,Michael OWEN
USA,2,5,375,Brian McBRIDE
ESP,2,4,420,Fernando HIERRO
USA,2,5,435,Landon DONOVAN
KOR,2,7,529,AHN Jung Hwan
ENG,1,5,423,David BECKHAM
GER,1,7,594,Bernd SCHNEIDER
BRA,1,1,90,JUNIOR
RUS,1,3,137,Dmitri SYCHEV
KOR,1,4,333,LEE Eul Yong
RSA,1,2,145,Siyabonga NOMVETHE
SVN,1,3,149,Milenko ACIMOVIC
USA,1,3,204,Clint MATHIS
RSA,1,3,257,Quinton FORTUNE
CMR,1,3,270,Samuel ETOO
BEL,1,3,270,Johan WALEM
CRC,1,3,270,Mauricio WRIGHT
ECU,1,3,270,Agustin DELGADO
SWE,1,4,305,Anders SVENSSON
MEX,1,4,348,Cuauhtemoc BLANCO
PAR,1,4,360,Francisco ARCE
SEN,1,4,390,Khalilou FADIGA
IRL,1,4,390,Matt HOLLAND
USA,1,5,450,John O BRIEN
BRA,1,6,540,EDMILSON
TUR,1,7,592,Hakan SUKUR
CRC,1,2,29,Winston PARKS
URU,1,1,45,Diego FORLAN
URU,1,2,47,Richard MORALES
JPN,1,3,70,Hiroaki MORISHIMA
ARG,1,3,71,Hernan CRESPO
GER,1,5,76,Oliver BIERHOFF
POL,1,3,85,Marcin ZEWLAKOW
ITA,1,3,89,Alessandro DEL PIERO
BEL,1,4,106,Wesley SONCK
POR,1,2,110,RUI COSTA
CRO,1,2,123,Ivica OLIC
SVN,1,3,164,Sebastijan CIMIROTIC
RUS,1,3,178,Vladimir BESCHASTNYKH
BEL,1,2,180,Peter VAN DER HEYDEN
POR,1,3,183,BETO
GER,1,3,186,Carsten JANCKER
ESP,1,3,194,Gaizka MENDIETA
PAR,1,4,197,Jorge CAMPOS
ARG,1,3,199,Gabriel BATISTUTA
CRO,1,3,215,Milan RAPAIC
POL,1,3,224,Pawel KRYSZALOWICZ
CMR,1,3,233,Patrick MBOMA
KOR,1,5,247,HWANG Sun Hong
RSA,1,3,248,Benni McCARTHY
URU,1,3,249,Dario RODRIGUEZ
TUN,1,3,258,Raouf BOUZAIENE
RSA,1,3,260,Lucas RADEBE
CRC,1,3,260,Paulo WANCHOPE
URU,1,3,260,Alvaro RECOBA
RUS,1,3,262,Valeri KARPIN
POL,1,3,266,Emmanuel OLISADEBE
RSA,1,3,270,Teboho MOKOENA
NGA,1,3,270,Julius AGHAHOWA
RUS,1,3,270,Egor TITOV
ECU,1,3,270,Edison MENDEZ
SEN,1,3,290,Salif DIAO
JPN,1,4,296,Takayuki SUZUKI
PAR,1,4,299,Roque SANTA CRUZ
GER,1,6,331,Marco BODE
SWE,1,4,346,Niclas ALEXANDERSSON
MEX,1,4,348,Gerardo TORRADO
JPN,1,4,354,Hidetoshi NAKATA
DEN,1,4,359,Dennis ROMMEDAHL
ENG,1,5,372,Emile HESKEY
ESP,1,4,375,Juan Carlos VALERON
GER,1,6,377,Oliver NEUVILLE
IRL,1,4,390,Damien DUFF
IRL,1,4,390,Gary BREEN
ENG,1,5,450,Sol CAMPBELL
ENG,1,5,450,Rio FERDINAND
TUR,1,6,464,Emre BELOZOGLU
BRA,1,6,540,ROBERTO CARLOS
TUR,1,6,546,Bulent KORKMAZ
KOR,1,7,580,YOO Sang Chul
KOR,1,7,598,SEOL Ki Hyeon
GER,1,7,630,Thomas LINKE
KOR,1,7,638,PARK Ji Sung
KOR,1,7,690,SONG Chong Gug
