Country,CountryCode,MatchesPlayed,RedCards,YellowCards
Turkey,TUR,7,1,18
Paraguay,PAR,4,1,10
Portugal,POR,3,1,7
Senegal,SEN,5,1,14
Slovenia,SVN,3,1,10
Mexico,MEX,4,1,8
Brazil,BRA,7,1,7
Argentina,ARG,3,1,6
China PR,CHN,3,1,5
Croatia,CRO,3,1,3
France,FRA,3,1,3
Germany,GER,7,0,17
Italy,ITA,4,0,11
Cameroon,CMR,3,0,9
USA,USA,5,0,14
Korea Republic,KOR,7,0,14
South Africa,RSA,3,0,10
Uruguay,URU,3,0,10
Ecuador,ECU,3,0,9
Poland,POL,3,0,9
Russia,RUS,3,0,9
Denmark,DEN,4,0,9
Tunisia,TUN,3,0,8
Spain,ESP,5,0,7
Costa Rica,CRC,3,0,6
Japan,JPN,4,0,6
Belgium,BEL,4,0,6
Sweden,SWE,4,0,6
England,ENG,5,0,6
Republic of Ireland,IRL,4,0,4
Saudi Arabia,KSA,3,0,3
Nigeria,NGA,3,0,2
