Country,CountryCode,Goals,GoalsAgainst,MatchesPlayed
Brazil,BRA,18,4,7
Germany,GER,14,3,7
Spain,ESP,10,5,5
Turkey,TUR,10,6,7
Korea Republic,KOR,8,6,7
Senegal,SEN,7,6,5
USA,USA,7,7,5
Portugal,POR,6,4,3
Republic of Ireland,IRL,6,3,4
Belgium,BEL,6,7,4
Paraguay,PAR,6,7,4
England,ENG,6,3,5
Costa Rica,CRC,5,6,3
South Africa,RSA,5,5,3
Japan,JPN,5,3,4
Italy,ITA,5,5,4
Sweden,SWE,5,5,4
Denmark,DEN,5,5,4
Russia,RUS,4,4,3
Uruguay,URU,4,5,3
Mexico,MEX,4,4,4
Poland,POL,3,7,3
Croatia,CRO,2,3,3
Slovenia,SVN,2,7,3
Argentina,ARG,2,2,3
Ecuador,ECU,2,4,3
Cameroon,CMR,2,3,3
Nigeria,NGA,1,3,3
Tunisia,TUN,1,5,3
