Age,Country,CountryCode,Player,Position
16 April 1969  ,Argentina,ARG,German BURGOS,Goalkeeper
14 April 1973  ,Argentina,ARG,Roberto AYALA,Defender
5 May 1976  ,Argentina,ARG,Juan SORIN,Midfielder
2 March 1972  ,Argentina,ARG,Mauricio POCHETTINO,Defender
21 December 1973  ,Argentina,ARG,Matias ALMEYDA,Midfielder
23 March 1978  ,Argentina,ARG,Walter SAMUEL,Defender
17 July 1974  ,Argentina,ARG,Claudio LOPEZ,Forward
10 August 1973  ,Argentina,ARG,Javier ZANETTI,Midfielder
1 February 1969  ,Argentina,ARG,Gabriel BATISTUTA,Forward
4 March 1974  ,Argentina,ARG,Ariel ORTEGA,Midfielder
9 March 1975  ,Argentina,ARG,Juan VERON,Midfielder
13 April 1974  ,Argentina,ARG,Pablo CAVALLERO,Goalkeeper
24 April 1977  ,Argentina,ARG,Diego PLACENTE,Defender
28 April 1970  ,Argentina,ARG,Diego SIMEONE,Midfielder
20 November 1974  ,Argentina,ARG,Claudio HUSAIN,Midfielder
3 November 1979  ,Argentina,ARG,Pablo AIMAR,Midfielder
13 April 1973  ,Argentina,ARG,Gustavo LOPEZ,Forward
4 August 1974  ,Argentina,ARG,Cristian GONZALEZ,Forward
5 July 1975  ,Argentina,ARG,Hernan CRESPO,Forward
18 January 1976  ,Argentina,ARG,Marcelo GALLARDO,Midfielder
9 January 1967  ,Argentina,ARG,Claudio CANIGGIA,Forward
17 May 1969  ,Argentina,ARG,Jose CHAMOT,Defender
24 January 1970  ,Argentina,ARG,Roberto BONANO,Goalkeeper
21 July 1955  ,Argentina,ARG,BIELSA Marcelo,Coach
16 October 1971  ,Belgium,BEL,Geert DE VLIEGER,Goalkeeper
2 August 1973  ,Belgium,BEL,Eric DEFLANDRE,Defender
22 August 1971  ,Belgium,BEL,Glen DE BOECK,Defender
28 February 1968  ,Belgium,BEL,Eric VAN MEIR,Defender
14 December 1970  ,Belgium,BEL,Nico VAN KERCKHOVEN,Defender
11 December 1976  ,Belgium,BEL,Timmy SIMONS,Midfielder
22 February 1969  ,Belgium,BEL,Marc WILMOTS,Forward
9 April 1973  ,Belgium,BEL,Bart GOOR,Midfielder
9 August 1978  ,Belgium,BEL,Wesley SONCK,Forward
1 February 1972  ,Belgium,BEL,Johan WALEM,Midfielder
20 September 1970  ,Belgium,BEL,Gert VERHEYEN,Midfielder
16 July 1976  ,Belgium,BEL,Peter VAN DER HEYDEN,Defender
7 April 1971  ,Belgium,BEL,Franky VANDENDRIESSCHE,Goalkeeper
4 April 1973  ,Belgium,BEL,Sven VERMANT,Midfielder
13 December 1969  ,Belgium,BEL,Jacky PEETERS,Defender
7 February 1978  ,Belgium,BEL,Daniel VAN BUYTEN,Defender
11 June 1976  ,Belgium,BEL,Gaetan ENGLEBERT,Midfielder
30 January 1970  ,Belgium,BEL,Yves VANDERHAEGHE,Midfielder
28 June 1978  ,Belgium,BEL,Bernd THIJS,Midfielder
9 February 1970  ,Belgium,BEL,Branko STRUPAR,Forward
10 July 1965  ,Belgium,BEL,Danny BOFFIN,Midfielder
4 December 1976  ,Belgium,BEL,Mbo MPENZA,Forward
16 August 1974  ,Belgium,BEL,Frederic HERPOEL,Goalkeeper
26 August 1939  ,Belgium,BEL,WASEIGE Robert,Coach
4 August 1973  ,Brazil,BRA,MARCOS,Goalkeeper
7 June 1970  ,Brazil,BRA,CAFU,Defender
8 May 1978  ,Brazil,BRA,LUCIO,Defender
31 August 1976  ,Brazil,BRA,ROQUE JUNIOR,Defender
10 July 1976  ,Brazil,BRA,EDMILSON,Defender
10 April 1973  ,Brazil,BRA,ROBERTO CARLOS,Defender
23 May 1976  ,Brazil,BRA,RICARDINHO,Midfielder
7 October 1976  ,Brazil,BRA,GILBERTO SILVA,Midfielder
22 September 1976  ,Brazil,BRA,RONALDO,Forward
19 April 1972  ,Brazil,BRA,RIVALDO,Midfielder
21 March 1980  ,Brazil,BRA,RONALDINHO,Midfielder
7 October 1973  ,Brazil,BRA,DIDA,Goalkeeper
20 June 1976  ,Brazil,BRA,BELLETTI,Defender
9 February 1979  ,Brazil,BRA,ANDERSON POLGA,Defender
19 June 1979  ,Brazil,BRA,KLEBERSON,Midfielder
20 June 1973  ,Brazil,BRA,JUNIOR,Defender
24 August 1977  ,Brazil,BRA,DENILSON,Forward
13 March 1974  ,Brazil,BRA,VAMPETA,Midfielder
22 February 1973  ,Brazil,BRA,JUNINHO PAULISTA,Midfielder
17 September 1970  ,Brazil,BRA,EDILSON,Forward
14 November 1975  ,Brazil,BRA,LUIZAO,Forward
22 January 1973  ,Brazil,BRA,ROGERIO CENI,Goalkeeper
22 April 1982  ,Brazil,BRA,KAKA,Forward
9 November 1948  ,Brazil,BRA,SCOLARI Luiz Felipe,Coach
3 January 1972  ,Cameroon,CMR,Alioum BOUKAR,Goalkeeper
