Attendance,AwayCode,AwayScore,AwayTeam,City,Date,Description,HomeCode,HomeScore,HomeTeam,MatchReport,Penalty
66000,CRC,2,Costa Rica,Munich,09 June 2006,Group matches - Group A,GER,4,Germany,https://www.fifa.com/worldcup/matches/round=97410100/match=97410001/index.html#nosticky,
52000,ECU,2,Ecuador,Gelsenkirchen,09 June 2006,Group matches - Group A,POL,0,Poland,https://www.fifa.com/worldcup/matches/round=97410100/match=97410002/index.html#nosticky,
48000,PAR,0,Paraguay,Frankfur,10 June 2006,Group matches - Group B,ENG,1,England,https://www.fifa.com/worldcup/matches/round=97410100/match=97410003/index.html#nosticky,
62959,SWE,0,Sweden,Dortmund,10 June 2006,Group matches - Group B,TRI,0,Trinidad and Tobago,https://www.fifa.com/worldcup/matches/round=97410100/match=97410004/index.html#nosticky,
49480,CIV,1,Ivory Coast,Hamburg,10 June 2006,Group matches - Group C,ARG,2,Argentina,https://www.fifa.com/worldcup/matches/round=97410100/match=97410005/index.html#nosticky,
43000,NED,1,Netherlands,Leipzig,11 June 2006,Group matches - Group C,SCG,0,Serbia and Montenegro,https://www.fifa.com/worldcup/matches/round=97410100/match=97410006/index.html#nosticky,
41000,IRN,1,Iran,Nuremberg,11 June 2006,Group matches - Group D,MEX,3,Mexico,https://www.fifa.com/worldcup/matches/round=97410100/match=97410007/index.html#nosticky,
45000,POR,1,Portugal,Cologne,11 June 2006,Group matches - Group D,ANG,0,Angola,https://www.fifa.com/worldcup/matches/round=97410100/match=97410008/index.html#nosticky,
46000,JPN,1,Japan,Kaiserslautern,12 June 2006,Group matches - Group F,AUS,3,Australia,https://www.fifa.com/worldcup/matches/round=97410100/match=97410012/index.html#nosticky,
52000,CZE,3,Czech Republic,Gelsenkirchen,12 June 2006,Group matches - Group E,USA,0,USA,https://www.fifa.com/worldcup/matches/round=97410100/match=97410010/index.html#nosticky,
43000,GHA,0,Ghana,Hanover,12 June 2006,Group matches - Group E,ITA,2,Italy,https://www.fifa.com/worldcup/matches/round=97410100/match=97410009/index.html#nosticky,
48000,TOG,1,Togo,Frankfur,13 June 2006,Group matches - Group G,KOR,2,Korea Republic,https://www.fifa.com/worldcup/matches/round=97410100/match=97410014/index.html#nosticky,
52000,SUI,0,Switzerland,Stuttgart,13 June 2006,Group matches - Group G,FRA,0,France,https://www.fifa.com/worldcup/matches/round=97410100/match=97410013/index.html#nosticky,
72000,CRO,0,Croatia,Berlin,13 June 2006,Group matches - Group F,BRA,1,Brazil,https://www.fifa.com/worldcup/matches/round=97410100/match=97410011/index.html#nosticky,
43000,UKR,0,Ukraine,Leipzig,14 June 2006,Group matches - Group H,ESP,4,Spain,https://www.fifa.com/worldcup/matches/round=97410100/match=97410015/index.html#nosticky,
66000,KSA,2,Saudi Arabia,Munich,14 June 2006,Group matches - Group H,TUN,2,Tunisia,https://www.fifa.com/worldcup/matches/round=97410100/match=97410016/index.html#nosticky,
65000,POL,0,Poland,Dortmund,14 June 2006,Group matches - Group A,GER,1,Germany,https://www.fifa.com/worldcup/matches/round=97410100/match=97410017/index.html#nosticky,
50000,CRC,0,Costa Rica,Hamburg,15 June 2006,Group matches - Group A,ECU,3,Ecuador,https://www.fifa.com/worldcup/matches/round=97410100/match=97410018/index.html#nosticky,
41000,TRI,0,Trinidad and Tobago,Nuremberg,15 June 2006,Group matches - Group B,ENG,2,England,https://www.fifa.com/worldcup/matches/round=97410100/match=97410019/index.html#nosticky,
72000,PAR,0,Paraguay,Berlin,15 June 2006,Group matches - Group B,SWE,1,Sweden,https://www.fifa.com/worldcup/matches/round=97410100/match=97410020/index.html#nosticky,
52000,SCG,0,Serbia and Montenegro,Gelsenkirchen,16 June 2006,Group matches - Group C,ARG,6,Argentina,https://www.fifa.com/worldcup/matches/round=97410100/match=97410021/index.html#nosticky,
52000,CIV,1,Ivory Coast,Stuttgart,16 June 2006,Group matches - Group C,NED,2,Netherlands,https://www.fifa.com/worldcup/matches/round=97410100/match=97410022/index.html#nosticky,
43000,ANG,0,Angola,Hanover,16 June 2006,Group matches - Group D,MEX,0,Mexico,https://www.fifa.com/worldcup/matches/round=97410100/match=97410023/index.html#nosticky,
48000,IRN,0,Iran,Frankfur,17 June 2006,Group matches - Group D,POR,2,Portugal,https://www.fifa.com/worldcup/matches/round=97410100/match=97410024/index.html#nosticky,
