CountryCode,MatchesPlayed,Player,RedCards,YellowCards
FRA,6,Zinedine ZIDANE,1,3
GHA,3,Asamoah GYAN,0,2
ITA,3,Daniele DE ROSSI,1,1
POR,5,COSTINHA,0,2
SCG,2,Mateja KEZMAN,1,0
CZE,2,Tomas UJFALUSI,1,0
ANG,2,ANDRE,0,1
USA,2,Pablo MASTROENI,1,0
ARG,2,Leandro CUFRE,1,0
UKR,3,Vyacheslav SVIDERSKYI,0,3
AUS,3,Brett EMERTON,0,1
TUN,3,Zied JAZIRI,0,1
GHA,3,Sulley MUNTARI,0,3
SCG,3,Albert NADJ,0,1
UKR,3,Vladyslav VASHCHUK,1,0
NED,3,Giovanni VAN BRONCKHORST,0,1
NED,4,Khalid BOULAHROUZ,0,1
ENG,4,Wayne ROONEY,1,0
POR,4,DECO,0,1
ITA,4,Marco MATERAZZI,1,0
SWE,4,Teddy LUCIC,0,1
ITA,6,Gianluca ZAMBROTTA,0,3
FRA,7,Willy SAGNOL,0,3
CIV,1,Cyrille DOMORAUD,0,0
TOG,2,Jean-Paul ABALO,0,0
CZE,2,Vratislav LOKVENC,0,2
TRI,2,Avery JOHN,0,0
USA,2,Eddie POPE,0,0
CRO,2,Robert KOVAC,0,2
MEX,2,Luis PEREZ,0,0
JPN,2,Tsuneyasu MIYAMOTO,0,2
IRN,2,Javad NEKOUNAM,0,2
SCG,2,Ognjen KOROMAN,0,2
POL,2,Radoslaw SOBOLEWSKI,0,0
TOG,2,Alaixys ROMAO,0,2
CIV,2,Didier DROGBA,0,2
TUN,3,Riadh BOUAZIZI,0,2
ANG,3,LOCO,0,2
FRA,3,Louis SAHA,0,2
ANG,3,ZE KALANGA,0,2
POL,3,Artur BORUC,0,2
SCG,3,Goran GAVRANCIC,0,2
CRO,3,Josip SIMUNIC,0,0
IRN,3,Mehrzad MADANCHI,0,2
KOR,3,LEE Chun Soo,0,2
ESP,3,Carles PUYOL,0,2
CZE,3,Jan POLAK,0,0
NED,3,Mark VAN BOMMEL,0,2
TRI,3,Aurtis WHITLEY,0,2
TUN,3,Radhi JAIDI,0,2
CRC,3,Luis MARIN,0,2
PAR,3,Carlos PAREDES,0,2
GHA,3,Michael ESSIEN,0,2
CRO,3,Dario SIMIC,0,0
CRO,3,Igor TUDOR,0,2
