Country,CountryCode,MatchesPlayed,RedCards,YellowCards
Italy,ITA,7,2,11
Serbia and Montenegro,SCG,3,1,11
Czech Republic,CZE,3,1,6
USA,USA,3,1,4
France,FRA,7,1,16
Ukraine,UKR,5,1,12
Argentina,ARG,5,1,12
England,ENG,5,1,9
Portugal,POR,7,0,22
Netherlands,NED,4,0,14
Croatia,CRO,3,0,9
Ghana,GHA,4,0,17
Tunisia,TUN,3,0,13
Mexico,MEX,4,0,11
Angola,ANG,3,0,10
Australia,AUS,4,0,10
Poland,POL,3,0,9
Togo,TOG,3,0,9
Trinidad and Tobago,TRI,3,0,9
Sweden,SWE,4,0,9
Ivory Coast,CIV,3,0,8
Switzerland,SUI,4,0,12
Germany,GER,7,0,12
Brazil,BRA,5,0,11
Korea Republic,KOR,3,0,9
Ecuador,ECU,4,0,9
Paraguay,PAR,3,0,8
Costa Rica,CRC,3,0,8
Iran,IRN,3,0,8
Japan,JPN,3,0,7
Spain,ESP,4,0,6
Saudi Arabia,KSA,3,0,5
