CountryCode,MatchesPlayed,Player,RedCards,YellowCards
BRA,4,FELIPE MELO,1,1
AUS,1,Harry KEWELL,1,0
SUI,1,Valon BEHRAMI,1,0
NGA,2,Sani KAITA,1,0
SRB,2,Aleksandar LUKOVIC,0,1
FRA,2,Yoann GOURCUFF,1,0
RSA,2,Itumeleng KHUNE,1,0
POR,2,RICARDO COSTA,1,0
AUS,2,Tim CAHILL,1,0
BRA,4,KAKA,0,1
PAR,4,Victor CACERES,0,3
NED,5,Gregory VAN DER WIEL,0,3
URU,6,Luis SUAREZ,1,0
NED,6,Nigel DE JONG,0,3
NED,7,John HEITINGA,0,1
CHI,1,Marco ESTRADA,0,0
RSA,2,Kagisho DIKGACOI,0,2
ALG,2,Abdelkader GHEZZAL,0,0
DEN,2,Simon KJAER,0,2
FRA,2,Jeremy TOULALAN,0,2
CHI,2,Matias FERNANDEZ,0,2
ENG,2,Jamie CARRAGHER,0,2
AUS,2,Craig MOORE,0,2
ALG,3,Hassan YEBDA,0,2
SVK,3,Zdenko STRBA,0,2
ALG,3,Anther YAHIA,0,0
HON,3,Wilson PALACIOS,0,2
NGA,3,Chinedu OGBUKE OBASI,0,2
CMR,3,Stephane MBIA,0,2
CHI,3,Waldo PONCE,0,2
ARG,3,Jonas GUTIERREZ,0,2
NZL,3,Ryan NELSEN,0,2
CHI,3,Carlos CARMONA,0,2
CHI,3,Gary MEDEL,0,2
MEX,3,Efrain JUAREZ,0,2
GHA,3,Jonathan MENSAH,0,2
URU,3,Nicolas LODEIRO,0,0
SVN,3,Bojan JOKIC,0,2
CMR,3,Nicolas NKOULOU,0,2
USA,3,Robbie FINDLEY,0,2
ALG,3,Medhi LACEN,0,2
GHA,4,Andre AYEW,0,2
JPN,4,Yuto NAGATOMO,0,2
BRA,4,RAMIRES,0,2
GER,4,CACAU,0,2
ENG,4,Glen JOHNSON,0,2
POR,4,TIAGO,0,2
USA,4,Steve CHERUNDOLO,0,2
ARG,4,Javier MASCHERANO,0,2
JPN,4,Yasuhito ENDO,0,2
GER,5,Miroslav KLOSE,0,0
NED,5,Arjen ROBBEN,0,2
URU,5,Jorge FUCILE,0,2
GER,6,Thomas MUELLER,0,2
NED,7,Robin VAN PERSIE,0,2
NED,7,Mark VAN BOMMEL,0,2
NED,7,Giovanni VAN BRONCKHORST,0,2
URU,7,Diego PEREZ,0,2
GER,7,Arne FRIEDRICH,0,2
GER,1,Dennis AOGO,0,1
AUS,1,Michael BEAUCHAMP,0,1
NED,1,Andre OOIJER,0,1
USA,1,DaMarcus BEASLEY,0,1
CHI,1,Ismael FUENTES,0,1
MEX,1,Israel CASTRO,0,1
DEN,1,Per KROLDRUP,0,1
NGA,1,Yussuf AYILA,0,1
ITA,1,Fabio QUAGLIARELLA,0,1
GRE,2,Sokratis PAPASTATHOPOULOS,0,1
ARG,2,Mario BOLATTI,0,1
POR,2,PEPE,0,1
PAR,2,Jonathan SANTANA,0,1
GHA,2,Isaac VORSAH,0,1
NGA,2,Lukman HARUNA,0,1
SRB,2,Aleksandar KOLAROV,0,1
CMR,2,Sebastien BASSONG,0,1
MEX,2,Hector MORENO,0,1
URU,2,Martin CACERES,0,1
SRB,2,Neven SUBOTIC,0,1
HON,2,Emilio IZAGUIRRE,0,1
SRB,2,Milos NINKOVIC,0,1
CIV,2,Guy DEMEL,0,1
ITA,2,Mauro CAMORANESI,0,1
POR,2,HUGO ALMEIDA,0,1
FRA,2,Eric ABIDAL,0,1
NED,2,Khalid BOULAHROUZ,0,1
SUI,2,Hakan YAKIN,0,1
HON,2,Danilo TURCIOS,0,1
HON,2,David SUAZO,0,1
CIV,2,Siaka TIENE,0,1
FRA,2,Patrice EVRA,0,1
USA,2,Ricardo CLARK,0,1
SVK,2,Kamil KOPUNEK,0,1
HON,2,Hendry THOMAS,0,1
CHI,2,Humberto SUAZO,0,1
POR,2,DUDA,0,1
SVN,2,Andrej KOMAC,0,1
SVN,3,Bostjan CESAR,0,1
DEN,3,Christian POULSEN,0,1
SVN,3,Aleksandar RADOSAVLJEVIC,0,1
KOR,3,KIM Nam Il,0,1
KOR,3,CHA Du Ri,0,1
NGA,3,Vincent ENYEAMA,0,1
RSA,3,Steven PIENAAR,0,1
SUI,3,Diego BENAGLIO,0,1
SRB,3,Zdravko KUZMANOVIC,0,1
ENG,3,James MILNER,0,1
PRK,3,PAK Chol Jin,0,1
PRK,3,HONG Yong Jo,0,1
SUI,3,Tranquillo BARNETTA,0,1
ITA,3,Fabio CANNAVARO,0,1
DEN,3,Thomas SORENSEN,0,1
NZL,3,Tony LOCHHEAD,0,1
CIV,3,Didier ZOKORA,0,1
CIV,3,Kader KEITA,0,1
SUI,3,Blaise NKUFO,0,1
AUS,3,Brett EMERTON,0,1
AUS,3,Lucas NEILL,0,1
CHI,3,Rodrigo MILLAR,0,1
AUS,3,Luke WILKSHIRE,0,1
AUS,3,Carl VALERI,0,1
SVN,3,Zlatko DEDIC,0,1
SUI,3,Reto ZIEGLER,0,1
SUI,3,Gelson FERNANDES,0,1
SRB,3,Nikola ZIGIC,0,1
SUI,3,Stephane GRICHTING,0,1
GRE,3,Konstantinos KATSOURANIS,0,1
ITA,3,Giorgio CHIELLINI,0,1
SRB,3,Branislav IVANOVIC,0,1
SVK,3,Stanislav SESTAK,0,1
GRE,3,Vasileios TOROSIDIS,0,1
GRE,3,Alexandros TZIOLIS,0,1
SUI,3,Gokhan INLER,0,1
ITA,3,Simone PEPE,0,1
DEN,3,Nicklas BENDTNER,0,1
FRA,3,Franck RIBERY,0,1
GHA,3,Prince TAGOE,0,1
