CountryCode,Goals,MatchesPlayed,MinutesPlayed,Player
GER,5,6,473,Thomas MUELLER
ESP,5,7,634,David VILLA
NED,5,7,652,Wesley SNEIJDER
URU,5,7,654,Diego FORLAN
ARG,4,4,341,Gonzalo HIGUAIN
SVK,4,4,353,Robert VITTEK
GER,4,5,357,Miroslav KLOSE
URU,3,6,543,Luis SUAREZ
USA,3,4,390,Landon DONOVAN
BRA,3,5,418,LUIS FABIANO
GHA,3,5,501,Asamoah GYAN
GER,2,6,531,Lukas PODOLSKI
BRA,2,2,140,ELANO
POR,2,4,298,TIAGO
BRA,2,4,354,ROBINHO
NED,2,5,387,Arjen ROBBEN
JPN,2,4,390,Keisuke HONDA
AUS,2,3,137,Brett HOLMAN
MEX,2,4,169,Javier HERNANDEZ
NGA,2,3,195,Kalu UCHE
CMR,2,3,270,Samuel ETOO
ARG,2,4,324,Carlos TEVEZ
KOR,2,4,359,LEE Chungyong
KOR,2,4,360,LEE Jung Soo
ESP,2,6,557,Andres INIESTA
GER,1,7,586,Mesut OEZIL
NED,1,7,587,Dirk KUYT
NED,1,7,599,Robin VAN PERSIE
POR,1,3,121,LIEDSON
DEN,1,3,242,Nicklas BENDTNER
SVN,1,3,261,Valter BIRSA
RSA,1,3,270,Siphiwe TSHABALALA
DEN,1,3,270,Dennis ROMMEDAHL
CIV,1,3,270,Yaya TOURE
NZL,1,3,270,Shane SMELTZ
ITA,1,3,270,Daniele DE ROSSI
POR,1,4,329,RAUL MEIRELES
POR,1,4,360,CRISTIANO RONALDO
MEX,1,4,360,Rafael MARQUEZ
ENG,1,4,360,Steven GERRARD
BRA,1,5,450,MAICON
URU,1,6,523,Edinson CAVANI
ARG,1,1,10,Martin PALERMO
SVK,1,2,22,Kamil KOPUNEK
ITA,1,1,45,Fabio QUAGLIARELLA
NED,1,4,48,Klaas Jan HUNTELAAR
CIV,1,3,98,ROMARIC
JPN,1,4,105,Shinji OKAZAKI
MEX,1,3,112,Cuauhtemoc BLANCO
SRB,1,2,113,Marko PANTELIC
GRE,1,2,121,Dimitrios SALPINGIDIS
CHI,1,3,125,Rodrigo MILLAR
GHA,1,4,134,Sulley MUNTARI
POR,1,2,135,HUGO ALMEIDA
CHI,1,4,138,Mark GONZALEZ
AUS,1,2,146,Tim CAHILL
FRA,1,3,150,Florent MALOUDA
ITA,1,3,153,Antonio DI NATALE
GER,1,4,154,Marcell JANSEN
CIV,1,3,160,Salomon KALOU
SVN,1,3,173,Zlatan LJUBIJANKIC
ENG,1,3,173,Jermain DEFOE
DEN,1,2,176,Jon Dahl TOMASSON
ENG,1,2,180,Matt UPSON
CIV,1,3,204,Didier DROGBA
GER,1,4,205,CACAU
SUI,1,3,212,Gelson FERNANDES
POR,1,4,217,SIMAO
GRE,1,3,235,Vasileios TOROSIDIS
SRB,1,3,245,Milan JOVANOVIC
NGA,1,3,250,Yakubu AYEGBENI
PRK,1,3,270,JI Yun Nam
SVN,1,3,270,Robert KOREN
RSA,1,3,270,Bongani KHUMALO
NZL,1,3,270,Winston REID
RSA,1,3,270,Katlego MPHELA
ITA,1,3,270,Vincenzo IAQUINTA
KOR,1,4,347,PARK Chuyoung
ARG,1,4,360,Gabriel HEINZE
CHI,1,4,360,Jean BEAUSEJOUR
KOR,1,4,360,PARK Ji Sung
JPN,1,4,389,Yasuhito ENDO
USA,1,4,390,Clint DEMPSEY
USA,1,4,390,Michael BRADLEY
PAR,1,4,390,Antolin ALCARAZ
URU,1,5,409,Alvaro PEREIRA
PAR,1,5,414,Enrique VERA
ARG,1,5,450,Martin DEMICHELIS
BRA,1,5,450,JUAN
GHA,1,5,464,Kevin Prince BOATENG
PAR,1,5,480,Cristian RIVEROS
GER,1,7,608,Sami KHEDIRA
GER,1,7,630,Arne FRIEDRICH
NED,1,7,645,Giovanni VAN BRONCKHORST
ESP,1,7,654,Carles PUYOL
URU,1,7,660,Maximiliano PEREIRA
