Country,CountryCode,Goals,GoalsAgainst,MatchesPlayed
Germany,GER,16,5,7
Netherlands,NED,12,6,7
Uruguay,URU,11,8,7
Argentina,ARG,10,6,5
Brazil,BRA,9,4,5
Spain,ESP,8,2,7
Portugal,POR,7,1,4
Korea Republic,KOR,6,8,4
USA,USA,5,5,4
Slovakia,SVK,5,7,4
Ghana,GHA,5,4,5
Ivory Coast,CIV,4,3,3
Italy,ITA,4,5,3
Mexico,MEX,4,5,4
Japan,JPN,4,2,4
Nigeria,NGA,3,5,3
South Africa,RSA,3,5,3
Australia,AUS,3,6,3
Slovenia,SVN,3,3,3
Denmark,DEN,3,6,3
England,ENG,3,5,4
Chile,CHI,3,5,4
Paraguay,PAR,3,2,5
Cameroon,CMR,2,5,3
Greece,GRE,2,5,3
New Zealand,NZL,2,2,3
Serbia,SRB,2,3,3
Switzerland,SUI,1,1,3
France,FRA,1,4,3
Korea DPR,PRK,1,12,3
