Age,Country,CountryCode,Player,Position
28 September 1977  ,Algeria,ALG,Lounes GAOUAOUI,Goalkeeper
7 October 1982  ,Algeria,ALG,Madjid BOUGUERRA,Defender
18 June 1982  ,Algeria,ALG,Nadir Belhadj,Defender
21 March 1982  ,Algeria,ALG,Anther YAHIA,Defender
2 September 1986  ,Algeria,ALG,Rafik HALLICHE,Defender
25 February 1978  ,Algeria,ALG,Yazid MANSOURI,Midfielder
19 February 1990  ,Algeria,ALG,Ryad Boudebouz,Midfielder
15 March 1984  ,Algeria,ALG,Medhi LACEN,Midfielder
5 December 1984  ,Algeria,ALG,Abdelkader GHEZZAL,Forward
7 February 1975  ,Algeria,ALG,Rafik SAIFI,Forward
8 March 1984  ,Algeria,ALG,Rafik DJEBBOUR,Forward
28 March 1986  ,Algeria,ALG,Habib BELLAID,Defender
25 June 1985  ,Algeria,ALG,Karim MATMOUR,Midfielder
29 July 1981  ,Algeria,ALG,Abdelkader LAIFAOUI,Defender
17 August 1982  ,Algeria,ALG,Karim ZIANI,Midfielder
5 December 1984  ,Algeria,ALG,Faouzi CHAOUCHI,Goalkeeper
12 November 1985  ,Algeria,ALG,Adlane GUEDIOURA,Midfielder
15 May 1985  ,Algeria,ALG,Carl MEDJANI,Defender
14 May 1984  ,Algeria,ALG,Hassan YEBDA,Midfielder
9 October 1984  ,Algeria,ALG,Djamel MESBAH,Defender
5 December 1983  ,Algeria,ALG,Foued KADIR,Midfielder
14 February 1986  ,Algeria,ALG,Djamel Abdoun,Midfielder
25 April 1986  ,Algeria,ALG,Rais MBOLHI,Goalkeeper
3 May 1946  ,Algeria,ALG,SAADANE Rabah,Coach
16 February 1978  ,Argentina,ARG,Diego POZO,Goalkeeper
20 December 1980  ,Argentina,ARG,Martin DEMICHELIS,Defender
31 July 1981  ,Argentina,ARG,Clemente RODRIGUEZ,Defender
12 April 1981  ,Argentina,ARG,Nicolas BURDISSO,Defender
17 February 1985  ,Argentina,ARG,Mario Bolatti,Midfielder
19 April 1978  ,Argentina,ARG,Gabriel HEINZE,Defender
14 February 1988  ,Argentina,ARG,Angel DI MARIA,Midfielder
9 March 1975  ,Argentina,ARG,Juan VERON,Midfielder
10 December 1987  ,Argentina,ARG,Gonzalo HIGUAIN,Forward
24 June 1987  ,Argentina,ARG,Lionel MESSI,Forward
5 February 1984  ,Argentina,ARG,Carlos TEVEZ,Forward
14 July 1979  ,Argentina,ARG,Ariel GARCE,Defender
23 March 1978  ,Argentina,ARG,Walter SAMUEL,Defender
8 June 1984  ,Argentina,ARG,Javier MASCHERANO,Midfielder
12 February 1988  ,Argentina,ARG,Nicolas OTAMENDI,Defender
2 June 1988  ,Argentina,ARG,Sergio AGUERO,Forward
5 July 1983  ,Argentina,ARG,JonÃ¡s GUTIÃRREZ,Midfielder
7 November 1973  ,Argentina,ARG,Martin PALERMO,Forward
12 June 1979  ,Argentina,ARG,Diego Milito,Forward
2 January 1981  ,Argentina,ARG,Maxi RODRIGUEZ,Midfielder
30 July 1983  ,Argentina,ARG,Mariano ANDUJAR,Goalkeeper
22 February 1987  ,Argentina,ARG,Sergio ROMERO,Goalkeeper
20 June 1989  ,Argentina,ARG,Javier PASTORE,Midfielder
30 October 1960  ,Argentina,ARG,MARADONA Diego,Coach
6 October 1972  ,Australia,AUS,Mark SCHWARZER,Goalkeeper
9 March 1978  ,Australia,AUS,Lucas NEILL,Defender
12 December 1975  ,Australia,AUS,Craig MOORE,Defender
6 December 1979  ,Australia,AUS,Tim CAHILL,Forward
5 August 1980  ,Australia,AUS,Jason CULINA,Midfielder
8 March 1981  ,Australia,AUS,Michael BEAUCHAMP,Defender
22 February 1979  ,Australia,AUS,Brett EMERTON,Midfielder
2 October 1981  ,Australia,AUS,Luke WILKSHIRE,Defender
20 August 1982  ,Australia,AUS,Joshua KENNEDY,Forward
22 September 1978  ,Australia,AUS,Harry KEWELL,Forward
30 December 1975  ,Australia,AUS,Scott CHIPPERFIELD,Defender
31 January 1985  ,Australia,AUS,Adam FEDERICI,Goalkeeper
5 October 1979  ,Australia,AUS,Vince GRELLA,Midfielder
27 March 1984  ,Australia,AUS,Brett HOLMAN,Forward
3 August 1984  ,Australia,AUS,Mile JEDINAK,Midfielder
14 August 1984  ,Australia,AUS,Carl VALERI,Midfielder
22 June 1987  ,Australia,AUS,Nikita RUKAVYTSYA,Forward
12 June 1981  ,Australia,AUS,Eugen GALEKOVIC,Goalkeeper
4 September 1981  ,Australia,AUS,Richard Garcia,Forward
4 August 1985  ,Australia,AUS,Mark MILLIGAN,Defender
30 November 1983  ,Australia,AUS,David CARNEY,Defender
8 April 1987  ,Australia,AUS,Dario Vidosic,Midfielder
11 February 1980  ,Australia,AUS,Mark BRESCIANO,Forward
12 March 1956  ,Australia,AUS,VERBEEK Pim,Coach
3 September 1979  ,Brazil,BRA,JULIO CESAR,Goalkeeper
26 July 1981  ,Brazil,BRA,MAICON,Defender
8 May 1978  ,Brazil,BRA,LUCIO,Defender
1 February 1979  ,Brazil,BRA,JUAN,Defender
26 June 1983  ,Brazil,BRA,Felipe Melo,Midfielder
2 August 1983  ,Brazil,BRA,Michel Bastos,Defender
14 June 1981  ,Brazil,BRA,ELANO,Midfielder
7 October 1976  ,Brazil,BRA,GILBERTO SILVA,Midfielder
8 November 1980  ,Brazil,BRA,LUIS FABIANO,Forward
22 April 1982  ,Brazil,BRA,KAKA,Midfielder
25 January 1984  ,Brazil,BRA,ROBINHO,Forward
15 February 1981  ,Brazil,BRA,GOMES,Goalkeeper
6 May 1983  ,Brazil,BRA,DANI ALVES,Defender
13 February 1981  ,Brazil,BRA,LUISAO,Defender
22 September 1984  ,Brazil,BRA,THIAGO SILVA,Defender
25 April 1976  ,Brazil,BRA,GILBERTO MELO,Defender
19 July 1979  ,Brazil,BRA,JOSUÃ,Midfielder
24 March 1987  ,Brazil,BRA,RAMIRES,Midfielder
1 October 1981  ,Brazil,BRA,JULIO BAPTISTA,Midfielder
19 June 1979  ,Brazil,BRA,KLEBERSON,Midfielder
14 July 1984  ,Brazil,BRA,NILMAR,Forward
22 October 1979  ,Brazil,BRA,DONI,Goalkeeper
2 April 1979  ,Brazil,BRA,Grafite,Forward
31 October 1963  ,Brazil,BRA,DUNGA,Coach
18 February 1984  ,Cameroon,CMR,Carlos KAMENI,Goalkeeper
24 March 1984  ,Cameroon,CMR,Benoit ASSOU-EKOTTO,Defender
27 March 1990  ,Cameroon,CMR,Nicolas N'KOULOU,Defender
1 July 1976  ,Cameroon,CMR,Rigobert SONG,Defender
9 July 1986  ,Cameroon,CMR,SÃ©bastien Bassong,Defender
9 September 1987  ,Cameroon,CMR,Alexandre SONG,Midfielder
28 November 1985  ,Cameroon,CMR,Landry NGUEMO,Midfielder
20 December 1978  ,Cameroon,CMR,GEREMI,Defender
10 March 1981  ,Cameroon,CMR,Samuel ETOO,Forward
5 June 1982  ,Cameroon,CMR,Achille EMANA,Forward
29 May 1983  ,Cameroon,CMR,Jean Makoun,Midfielder
25 April 1988  ,Cameroon,CMR,Gaetan BONG,Defender
23 March 1989  ,Cameroon,CMR,Eric Maxim Choupo-Moting,Forward
20 June 1985  ,Cameroon,CMR,AurÃ©lien Chedjou,Defender
20 January 1982  ,Cameroon,CMR,Pierre WebÃ³,Forward
22 November 1973  ,Cameroon,CMR,Hamidou SOULEYMANOU,Goalkeeper
8 March 1980  ,Cameroon,CMR,Mohamadou IDRISSOU,Forward
23 March 1986  ,Cameroon,CMR,Eyong Enoh,Midfielder
20 May 1986  ,Cameroon,CMR,Stephane MBIA,Defender
9 December 1988  ,Cameroon,CMR,Georges MANDJECK,Midfielder
8 August 1991  ,Cameroon,CMR,Joel Matip,Midfielder
28 February 1986  ,Cameroon,CMR,Guy N'DY ASSEMBÃ,Goalkeeper
22 January 1992  ,Cameroon,CMR,Vincent Aboubakar,Forward
1 March 1964  ,Cameroon,CMR,LE GUEN Paul,Coach
13 April 1983  ,Chile,CHI,Claudio BRAVO,Goalkeeper
4 August 1981  ,Chile,CHI,Ismael FUENTES,Defender
4 December 1982  ,Chile,CHI,Waldo Ponce,Defender
12 June 1988  ,Chile,CHI,Mauricio ISLA,Defender
11 September 1978  ,Chile,CHI,Pablo CONTRERAS,Defender
21 February 1987  ,Chile,CHI,Carlos CARMONA,Midfielder
19 December 1988  ,Chile,CHI,Alexis SANCHEZ,Forward
22 May 1987  ,Chile,CHI,Arturo VIDAL,Midfielder
10 May 1981  ,Chile,CHI,Humberto SUAZO,Forward
19 October 1983  ,Chile,CHI,Jorge VALDIVIA,Midfielder
