CountryCode,MatchesPlayed,Player,RedCards,YellowCards
ECU,3,Antonio VALENCIA,1,1
BEL,1,Steven DEFOUR,1,0
CMR,2,Alexandre SONG,1,0
POR,2,PEPE,1,0
URU,3,Maximiliano PEREIRA,1,0
ITA,3,Claudio MARCHISIO,1,0
CRO,3,Ante REBIC,1,0
BRA,6,Thiago Silva,0,3
URU,1,Diego LUGANO,0,2
HON,2,Wilson PALACIOS,0,0
AUS,2,Tim CAHILL,0,2
CIV,2,Didier ZOKORA,0,2
GHA,2,Sulley Muntari,0,2
NED,3,Klaas Jan HUNTELAAR,0,2
AUS,3,Mile JEDINAK,0,2
GRE,3,Konstantinos KATSOURANIS,0,0
CHI,3,Francisco SILVA,0,2
NED,3,Jonathan de Guzman,0,2
ITA,3,Mario BALOTELLI,0,2
MEX,3,Jose VAZQUEZ,0,2
BEL,4,Toby ALDERWEIRELD,0,2
CRC,4,Ãscar Duarte,0,0
CHI,4,Eugenio MENA,0,2
FRA,4,Yohan Cabaye,0,2
MEX,4,Rafael MARQUEZ,0,2
MEX,4,Paul Aguilar,0,2
CRC,5,Giancarlo GONZALEZ,0,2
NED,6,Robin VAN PERSIE,0,2
GER,6,Bastian SCHWEINSTEIGER,0,2
BRA,6,LUIZ GUSTAVO,0,2
NED,6,Bruno MARTINS INDI,0,2
ARG,6,Marcos ROJO,0,2
GER,7,Benedikt HOEWEDES,0,2
CRC,0,Esteban Granados,0,1
ALG,0,Liassine CADAMURO,0,1
IRN,1,Karim ANSARI FARD,0,1
ITA,1,Mattia DE SCIGLIO,0,1
GHA,1,Abdul MAJEED WARIS,0,1
HON,1,Jerry Palacios,0,1
CRO,1,EDUARDO,0,1
AUS,1,Mark MILLIGAN,0,1
SUI,1,Gelson FERNANDES,0,1
URU,1,Walter GARGANO,0,1
JPN,1,Masato Morishige,0,1
BRA,1,DANTE,0,1
HON,2,Luis GARRIDO,0,1
BIH,2,Haris MEDUNJANIN,0,1
CMR,2,Dany Nounkeu,0,1
JPN,2,Yasuyuki KONNO,0,1
ESP,2,Iker CASILLAS,0,1
RUS,2,Aleksey KOZLOV,0,1
GRE,2,Andreas SAMARIS,0,1
CMR,2,Edgar SALLI,0,1
CRC,2,Johnny ACOSTA,0,1
BEL,2,Moussa DEMBELE,0,1
GHA,2,Harrison Afful,0,1
ALG,2,Djamel MESBAH,0,1
HON,3,Jerry BENGTSON,0,1
USA,3,Geoff CAMERON,0,1
CMR,3,Eyong ENOH,0,1
GHA,3,Mohammed RABIU,0,1
CRO,3,Dejan LOVREN,0,1
KOR,3,HONG Jeongho,0,1
KOR,3,SON Heungmin,0,1
KOR,3,KOO Jacheol,0,1
CIV,3,Ismael TIOTE,0,1
ECU,3,Jefferson MONTERO,0,1
CRO,3,Ivan Rakitic,0,1
CRO,3,Vedran Corluka,0,1
RUS,3,Dmitry Kombarov,0,1
ENG,3,Raheem Sterling,0,1
ECU,3,Juan PAREDES,0,1
ECU,3,Frickson ERAZO,0,1
GHA,3,Jordan Ayew,0,1
KOR,3,LEE Yong,0,1
ENG,3,Adam Lallana,0,1
RUS,3,Oleg Shatov,0,1
RUS,3,Denis Glushakov,0,1
BIH,3,Muhamed BESIC,0,1
ENG,3,Ross Barkley,0,1
ECU,3,Enner Valencia,0,1
CIV,3,Serey DIE,0,1
URU,3,JosÃ© MarÃ­a GimÃ©nez,0,1
ALG,3,Nabil GHILAS,0,1
USA,3,Kyle BECKERMAN,0,1
IRN,3,Javad NEKOUNAM,0,1
COL,3,Fredy GUARIN,0,1
POR,3,JOAO MOUTINHO,0,1
CMR,3,StÃ©phane M'Bia,0,1
CHI,3,Mauricio Pinilla,0,1
ESP,3,Xabi Alonso,0,1
CIV,3,Souleymane BAMBA,0,1
POR,3,JOAO PEREIRA,0,1
CIV,3,Didier Drogba,0,1
ENG,3,Steven Gerrard,0,1
ALG,3,Madjid BOUGUERRA,0,1
IRN,3,Masoud Shojaei,0,1
HON,3,Victor BERNARDEZ,0,1
HON,3,Maynor FIGUEROA,0,1
ARG,3,MartÃ­n Demichelis,0,1
USA,3,Omar Gonzalez,0,1
HON,3,Boniek GARCIA,0,1
IRN,3,Andranik TIMOTIAN,0,1
AUS,3,Matthew SPIRANOVIC,0,1
CIV,3,Salomon Kalou,0,1
ESP,3,Sergio RAMOS,0,1
BIH,3,Emir SPAHIC,0,1
BRA,3,JÃ,0,1
KOR,3,KI Sungyueng,0,1
CHI,3,Arturo VIDAL,0,1
JPN,3,Makoto HASEBE,0,1
JPN,3,Maya YOSHIDA,0,1
KOR,3,Han Kook-Young,0,1
ALG,3,Nabil BENTALEB,0,1
CRC,4,Jose CUBERO,0,1
COL,4,Carlos SANCHEZ,0,1
URU,4,Egidio AREVALO,0,1
URU,4,Martin CACERES,0,1
MEX,4,Andres GUARDADO,0,1
GRE,4,Vasileios TOROSIDIS,0,1
SUI,4,Johan DJOUROU,0,1
URU,4,Fernando MUSLERA,0,1
URU,4,Diego GODIN,0,1
MEX,4,Hector MORENO,0,1
NGA,4,John Obi MIKEL,0,1
FRA,4,Patrice Evra,0,1
CRC,4,Michael UMANA,0,1
GRE,4,Dimitrios SALPINGIDIS,0,1
BEL,4,Vincent KOMPANY,0,1
USA,4,Jermaine JONES,0,1
BRA,4,Dani ALVES,0,1
COL,4,Mario YEPES,0,1
NGA,4,Juwon OSHANIWA,0,1
GRE,4,Sokratis PAPASTATHOPOULOS,0,1
GRE,4,Georgios SAMARAS,0,1
ALG,4,Rafik HALLICHE,0,1
BEL,4,Axel WITSEL,0,1
GRE,4,Konstantinos MANOLAS,0,1
CHI,4,Charles ARANGUIZ,0,1
SUI,4,Granit XHAKA,0,1
NGA,4,Kenneth OMERUO,0,1
BRA,5,Neymar,0,1
CRC,5,Yeltsin TEJEDA,0,1
BEL,5,Jan VERTONGHEN,0,1
FRA,5,Blaise Matuidi,0,1
FRA,5,Paul Pogba,0,1
GER,5,Sami KHEDIRA,0,1
CRC,5,Bryan RUIZ,0,1
CRC,5,Junior DÃ­az,0,1
BRA,5,FERNANDINHO,0,1
COL,5,Pablo ARMERO,0,1
CRC,5,Keylor NAVAS,0,1
ARG,5,Sergio AgÃ¼ero,0,1
ARG,5,Angel DI MARIA,0,1
COL,5,James RODRIGUEZ,0,1
BEL,5,Eden HAZARD,0,1
BRA,6,Hulk,0,1
NED,7,Daley Blind,0,1
BRA,7,Oscar,0,1
NED,7,Stefan DE VRIJ,0,1
BRA,7,Ramires,0,1
ARG,7,Ezequiel GARAY,0,1
ARG,7,Lucas BIGLIA,0,1
GER,7,Philipp LAHM,0,1
NED,7,Arjen ROBBEN,0,1
BRA,7,JULIO CESAR,0,1
ARG,7,Javier MASCHERANO,0,1
USA,1,Brad DAVIS,0,0
CIV,1,Kolo TOURÃ,0,0
GHA,1,Michael ESSIEN,0,0
CMR,1,Samuel ETOO,0,0
ENG,1,Frank Lampard,0,0
CRC,1,Roy MILLER,0,0
ALG,1,Hassan Yebda,0,0
CMR,1,Jean MAKOUN,0,0
POR,1,VIEIRINHA,0,0
ESP,1,JUANFRAN,0,0
ENG,1,James Milner,0,0
BRA,1,MAXWELL,0,0
CMR,1,Landry N'GuÃ©mo,0,0
BEL,1,Anthony Vanden Borre,0,0
FRA,1,Rio Mavuba,0,0
JPN,1,Toshihiro AOYAMA,0,0
URU,1,Jorge FUCILE,0,0
GHA,1,Daniel Opare,0,0
POR,1,FABIO COENTRAO,0,0
ESP,1,Javi MARTÃNEZ,0,0
ESP,1,Juan Mata,0,0
ENG,1,Ben FOSTER,0,0
NED,1,Paul Verhaegh,0,0
FRA,1,Bacary SAGNA,0,0
ITA,1,Ignazio ABATE,0,0
COL,1,Carlos VALDES,0,0
BEL,1,Nicolas LOMBAERTS,0,0
BEL,1,Thomas VERMAELEN,0,0
ESP,1,Gerard PiquÃ©,0,0
CRC,1,Dave MYRIE,0,0
ESP,1,David Villa,0,0
POR,1,Ruben AMORIM,0,0
MEX,1,Carlos PeÃ±a,0,0
ECU,1,Joao Rojas,0,0
HON,1,Mario MARTINEZ,0,0
HON,1,Osman CHAVEZ,0,0
SUI,1,Valentin STOCKER,0,0
CIV,1,Didier Konan,0,0
NED,1,Leroy FER,0,0
ITA,1,Leonardo BONUCCI,0,0
CMR,1,Henri BEDIMO,0,0
NGA,1,Ramon AZEEZ,0,0
FRA,1,Lucas DIGNE,0,0
USA,1,John Brooks,0,0
BIH,1,Anel HADZIC,0,0
ENG,1,Rickie Lambert,0,0
COL,1,Eder BALANTA,0,0
