Country,CountryCode,Goals,GoalsAgainst,MatchesPlayed
Germany,GER,18,4,7
Netherlands,NED,15,4,7
Colombia,COL,12,4,5
Brazil,BRA,11,14,7
France,FRA,10,3,5
Argentina,ARG,8,4,7
Algeria,ALG,7,7,4
Switzerland,SUI,7,7,4
Croatia,CRO,6,6,3
Chile,CHI,6,4,4
Belgium,BEL,6,3,5
Mexico,MEX,5,3,4
USA,USA,5,6,4
Costa Rica,CRC,5,2,5
Bosnia and Herzegovina,BIH,4,4,3
Ivory Coast,CIV,4,5,3
Ghana,GHA,4,6,3
Spain,ESP,4,7,3
Portugal,POR,4,7,3
Uruguay,URU,4,6,4
Ecuador,ECU,3,3,3
Korea Republic,KOR,3,6,3
Australia,AUS,3,9,3
Greece,GRE,3,5,4
Nigeria,NGA,3,5,4
Italy,ITA,2,3,3
Russia,RUS,2,3,3
England,ENG,2,4,3
Japan,JPN,2,6,3
Iran,IRN,1,4,3
Honduras,HON,1,8,3
Cameroon,CMR,1,9,3
